"player","team"
"George Anderson","Airdrieonians F.C."
"Samuel Young","Ireland national football team"
"James Price","Airdrieonians F.C."
"Bobby Howe","Seattle Sounders"
"Alfred Brown","Rotherham Town F.C."
"Tom Taylor","Portland Timbers"
"John Miller","Airdrieonians F.C."
"James Hopkins","Ireland national football team"
"John Gardiner","Airdrieonians F.C."
"Baden Powell","South Shields F.C."
"Bojan Vučković","St. Louis Steamers"
"David Butler","Seattle Sounders"
"Gareth Williams","Ilkeston Town F.C."
"Gordon Harris","South Shields F.C."
"Paul Keegan","Boston Bulldogs"
"Alexander Wood","Airdrieonians F.C."
"Pat McMahon","Portland Timbers"
"David Rooney","St. John's GAA"
"John Hinton","Thornycrofts"
"George Brown","Airdrieonians F.C."
"Colin McDonald","Airdrieonians F.C."
"Colin Campbell","Airdrieonians F.C."
"Richard Boucher","Toulouse FC"
"George Forbes","Ireland national football team"
"John Edgar","Airdrieonians F.C."
"John Dempsey","Philadelphia Fury"
"Hiroshi Saito","Esporte Clube XV de Novembro"
"Simon Thomas","Vancouver Whitecaps"
"Boris Nikolov","Galatasaray S.K."
"Steve Reid","Philadelphia Fury"
"Craig Nelson","Airdrieonians F.C."
"Barry Powell","Portland Timbers"
"James Brown","Cape Town City F.C."
"Ian Cameron","Airdrieonians F.C."
"Peter Boyle","Ireland national football team"
"John Meredith","Hastings United F.C."
"David Bradford","Seattle Sounders"
"Brian Lewis","Hastings United F.C."
"Joe Clarke","St. Louis Stars"
"John Kennedy","Detroit Cougars"
"Ryan Ford","Ilkeston Town F.C."
"Patrick Cassidy","South Shields F.C."
"John Anton","Edmonton Drillers"
"Robert Reilly","Airdrieonians F.C."
"Jean Laurent","Toulouse FC"
"David Morris","Vancouver Whitecaps"
"Samuel Young","Airdrieonians F.C."
"Alex Weir","New York Americans"
"Owen Madden","Cork United F.C."
"Gordon McLeod","Airdrieonians F.C."
"Robert Scott","Airdrieonians F.C."
"Juan Cano","New Jersey Americans"
"Justin Jackson","Ilkeston Town F.C."
"John Murdoch","Airdrieonians F.C."
"Charles Webb","Airdrieonians F.C."
"John Brooks","San Francisco Fog"
"Tony Johnson","Houston Express"
"Greg Shaw","Airdrieonians F.C."
"James Sheridan","Ireland national football team"
"Michael Good","Airdrieonians F.C."
"Paul Hammond","Seattle Sounders"
"Willie McLean","Airdrieonians F.C."
"John MacDonald","Airdrieonians F.C."
"James Duncan","Strathmore F.C."
"Keith Alexander","Ilkeston Town F.C."
"Adriano Facchini","Associação Atlética Portuguesa"
"John Hill","Airdrieonians F.C."
"John Bain","Seattle Sounders"
"Ian Clarke","Montreal Impact"
"Gary Collier","Portland Timbers"
"Matthew Turner","Ilkeston Town F.C."
"Arthur Stewart","Detroit Cougars"
"John Rowlands","Seattle Sounders"
"David Dixon","South Shields F.C."
"Alexander Thomson","Airdrieonians F.C."
"Allan Taylor","South Shields F.C."
"David Butler","Portland Timbers"
"David Doyle","Dallas Sidekicks"
"Kevin Ellis","Orlando City SC"
"Brandon McDonald","Rovers FC"
"John Rowlands","Cape Town City F.C."
"Cliff Brown","Seattle Sounders"
"Cem Sultan","Galatasaray S.K."
"John Page","Hastings United F.C."
"Scott Barrett","Ilkeston Town F.C."
"Saša Ilić","Galatasaray S.K."
"Peter Neilson","Airdrieonians F.C."
"John Caulfield","Avondale United F.C."
"William Wilkinson","Rotherham Town F.C."
"John Best","Seattle Sounders"
"James Connor","Airdrieonians F.C."
"Charles Elliott","Rotherham Town F.C."
"John Henry","Airdrieonians F.C."
"David Ellis","Airdrieonians F.C."
"Alexander Thom","Airdrieonians F.C."
"Alan Thompson","Portland Timbers"
"Chad Brown","Seattle Sounders"
"Trevor Thompson","Detroit Cougars"
"John Flood","Airdrieonians F.C."
"William Wilson","South Shields F.C."
"Harold Hall","Rotherham Town F.C."
"Caroline Müller","Grasshopper Club Zürich"
"John Lapsley","Airdrieonians F.C."
"Percy Watson","Rotherham Town F.C."
"Ian Reid","Airdrieonians F.C."
"Rezaul Karim","Abahani Limited"
"Paweł Kaczmarek","Stomil Olsztyn"
"John Ackroyd","Rotherham Town F.C."
"John Findlay","Airdrieonians F.C."
"Ryan Edwards","Seattle Sounders"
"John Tudor","Ilkeston Town F.C."
"Jack Connor","Airdrieonians F.C."
"John Webb","Edmonton Drillers"
"Ryan Harper","CD Guadalajara"
"Leon Kelly","Ilkeston Town F.C."
"Robert Dunn","Airdrieonians F.C."
"Brian Haynes","Seattle Sounders"
"Ian Chandler","South Shields F.C."
"Neil MacFarlane","Airdrieonians F.C."
"John Middleton","South Shields F.C."
"William Glen","Ireland national football team"
"Rónán O'Connor","Ballyduff GAA"
"Barry Elliot","Airdrieonians F.C."
"Jorge Flores","Boston Bulldogs"
"Tommy Walker","Airdrieonians F.C."
"Jim McIntyre","Airdrieonians F.C."
"George Whitworth","South Shields F.C."
"Hugh Gallacher","South Shields F.C."
"Alan Davidson","Airdrieonians F.C."
"George Brown","New York Americans"
"James Hamilton","Airdrieonians F.C."
"Peter Bennett","St. Louis Stars"
"Walter Bruce","Detroit Cougars"
"Russell Payne","Boston Bulldogs"
"Tony Powell","Seattle Sounders"
"George Scott","South Shields F.C."
"Stephen Grant","Boston Bulldogs"
