"goalkeeper","birthPlace","team","ground"
"(권정혁)","South Korea","Football Club Seoul","Seoul World Cup Stadium서울월드컵경기장"
"(권정혁)","South Korea","FC 서울","Seoul World Cup Stadium서울월드컵경기장"
"(권정혁)","South Korea","FC Seoul","Seoul World Cup Stadium서울월드컵경기장"
"(김용대)","South Korea","FC Seoul","Seoul World Cup Stadium서울월드컵경기장"
"(김용대)","South Korea","Football Club Seoul","Seoul World Cup Stadium서울월드컵경기장"
"(김용대)","South Korea","FC 서울","Seoul World Cup Stadium서울월드컵경기장"
"(오연교)","South Korea","제주 유나이티드 FC","Jeju World Cup Stadium"
"(오연교)","South Korea","제주 유나이티드","Jeju World Cup Stadium"
"(오연교)","South Korea","Jeju United Football Club","Jeju World Cup Stadium"
"(오연교)","South Korea","Jeju United","Jeju World Cup Stadium"
"Abderaouf Natèche","Algeria","Mouloudia Club d'Oran","Stade Ahmed Zabana"
"Abderaouf Natèche","Algeria","Mouloudia Club d'Oran","ملعب أحمد زبانة"
"Abderaouf Natèche","Algeria","Mouloudia d'Oran","Stade Ahmed Zabana"
"Abderaouf Natèche","Algeria","Mouloudia d'Oran","ملعب أحمد زبانة"
"Abderaouf Natèche","Algeria","مولودية وهران","Stade Ahmed Zabana"
"Abderaouf Natèche","Algeria","مولودية وهران","ملعب أحمد زبانة"
"Abderaouf Natèche","Algeria","نادي مولودية وهران","Stade Ahmed Zabana"
"Abderaouf Natèche","Algeria","نادي مولودية وهران","ملعب أحمد زبانة"
"Abdesslam Benabdellah","Algeria","Mouloudia Club d'Oran","Stade Ahmed Zabana"
"Abdesslam Benabdellah","Algeria","Mouloudia Club d'Oran","ملعب أحمد زبانة"
"Abdesslam Benabdellah","Algeria","Mouloudia d'Oran","Stade Ahmed Zabana"
"Abdesslam Benabdellah","Algeria","Mouloudia d'Oran","ملعب أحمد زبانة"
"Abdesslam Benabdellah","Algeria","مولودية وهران","Stade Ahmed Zabana"
"Abdesslam Benabdellah","Algeria","مولودية وهران","ملعب أحمد زبانة"
"Abdesslam Benabdellah","Algeria","نادي مولودية وهران","Stade Ahmed Zabana"
"Abdesslam Benabdellah","Algeria","نادي مولودية وهران","ملعب أحمد زبانة"
"Abdoulaye Keita","France","Bordeaux","Matmut Atlantique"
"Abdoulaye Keita","France","Girondins de Bordeaux","Matmut Atlantique"
"Abdoulaye Keita","France","Football Club des","Matmut Atlantique"
"Abhijit Das","West Bengal","Southern Samity","Salt Lake Stadium"
"Abhijit Das","West Bengal","Southern Samity","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Abhijit Das","West Bengal","Southern Samity","Vivekananda Yuva Bharati Krirangan"
"Abhijit Das","West Bengal","Southern Samity","সল্ট লেক স্টেডিয়াম"
"Abhijit Mondal","West Bengal","East Bengal Football Club","Salt Lake Stadium"
"Abhijit Mondal","West Bengal","East Bengal Football Club","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Abhijit Mondal","West Bengal","East Bengal Football Club","Vivekananda Yuva Bharati Krirangan"
"Abhijit Mondal","West Bengal","East Bengal Football Club","সল্ট লেক স্টেডিয়াম"
"Adel Nefzi","Tunisia","Club Africain","Stade Olympique de Radès"
"Adriano Bonaiuti","Italy","Juventus","Juventus Stadium"
"Adriano Bonaiuti","Italy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Ahmed Fellah","Algeria","Mouloudia Club d'Oran","Stade Ahmed Zabana"
"Ahmed Fellah","Algeria","Mouloudia Club d'Oran","ملعب أحمد زبانة"
"Ahmed Fellah","Algeria","Mouloudia d'Oran","Stade Ahmed Zabana"
"Ahmed Fellah","Algeria","Mouloudia d'Oran","ملعب أحمد زبانة"
"Ahmed Fellah","Algeria","مولودية وهران","Stade Ahmed Zabana"
"Ahmed Fellah","Algeria","مولودية وهران","ملعب أحمد زبانة"
"Ahmed Fellah","Algeria","نادي مولودية وهران","Stade Ahmed Zabana"
"Ahmed Fellah","Algeria","نادي مولودية وهران","ملعب أحمد زبانة"
"Airton","Brazil","Esporte Clube Juventude","Estádio Alfredo Jaconi"
"Airton","Brazil","Juventude","Estádio Alfredo Jaconi"
"Airton Moraes","Brazil","Esporte Clube Juventude","Estádio Alfredo Jaconi"
"Airton Moraes","Brazil","Juventude","Estádio Alfredo Jaconi"
"Airton Moraes Michellon","Brazil","Esporte Clube Juventude","Estádio Alfredo Jaconi"
"Airton Moraes Michellon","Brazil","Juventude","Estádio Alfredo Jaconi"
"Akbar Turaev","Uzbekistan","Bunyodkor","Bunyodkor Stadioni (official name)"
"Akbar Turaev","Uzbekistan","Football Club Bunyodkor","Bunyodkor Stadioni (official name)"
