"Country","Country_misspelled"
"AAlabama","Allabama"
"Alabbama","Alabamma"
"Alaskaa","Alsaka"
"Arrizona","Arizonia"
"Arizona","Arzinoa"
"Californiaa","Califronia"
"Coloradoo","Calorado"
"Coloradoo","Colarado"
"Connecticut","connecticutt"
"Connecticutt","conneticutt"
"Connecticutt","connetticut"
"Connecticut","connetticutt"
"Connecticutt","conneticut"
"Delaware","Delawere"
"Floridaa","Floridas"
"Florida","Floryda"
"Fllorida","Florda"
"Floridaa","Flordia"
"GGeorgia","Georgeia"
"Georgiaa","Georgea"
"Hawaiii","Hawai"
"Hawaiii","Howaii"
"Hawaii","Hawii"
"Hawaiii","Hawaai"
"IIdaho","Idahoe"
"Idahoo","Ideho"
"Illinoiss","Illanoise"
"Iowwa","Iowha"
"Iowa","Ioaw"
"Iowaa","Iwoa"
"Kentuckyy","kentuky"
"Kentucky","kentucy"
"Louisianaa","Louiseiana"
"Maine","main"
"Maine","miane"
"Maryland","mary land"
"Marylandd","marryland"
"Massachusetts","Massachussetts"
"Massachusettss","Masachusetts"
"Massachusetts","Masachusets"
"Massachusetts","Massachussets"
"Micchigan","michgan"
"Michigan","michagin"
"Michhigan","michagan"
"Minnesota","Minesota"
"Mississippii","Mississipi"
"Mississsippi","Misouri"
"Mississiippi","Missisipi"
"Misssissippi","Missoury"
"Mississippi","Missisippi"
"Nebraskka","Nebrascka"
"Nevada","Nevadaa"
"Nevvada","Newvada"
"Nevaada","Navada"
"New Haampshire","NewHampshire"
"New Jersey","newjersey"
"New MMexico","NewMexico"
"New Yorkk","Newyork"
"North Carolinaa","North Caroleina"
"North Dakota","n.dak"
"North Dakota","northdakota"
"North Dakota","ndak"
"Ohio","Oiho"
"Oklahoma","Okalahoma"
"Oregonn","Orgon"
"Pennsylvania","Pensylvania"
"Rhode Island","road island"
"Rhode Islandd","rhodeisland"
"Rhode Island","rode island"
"Rhode Islandd","rhod island"
"South Carolina","southcarolina"
"South Carollina","sout carolin"
"South Carolinaa","south carolna"
"South Carolinaa","souh carolia"
"South Carolinaa","south carolina"
"South Dakotaa","southdakota"
"Tennessee","Tennesee"
"Tennessee","Tennisse"
"Tennessee","Tennissee"
"Tennessee","Tennisee"
"Texass","texes"
"Texas","texis"
"Utahh","Utes"
"Utahh","Utar"
"West Virginia","West Virgina"
"West Virginiia","West Virgnia"
"Wyoming","Whyoming"
"Wyyoming","Wioming"
"Wyomingg","Wisconson"
