"???O","???[?O","?`?[??","????","?N","??"
"Jeff Bagwell","NL","Astros","07-18","2001","."
"John Olerud","AL","Mariners","06-17","2001","??2"
"Luis Gonzalez","?m?k","Diamondbacks","07-05","2000","."
"Eric Chavez","?`?k","Athletics","06-21","2000","."
"Mike Lansing","?m?k","Rockies","06-18","2000","."
"Jason Kendall","?m?k","Pirates","05-19","2000","."
"Jose Valentin","?`?k","White Sox","04-27","2000","."
"Chris Singleton","?`?k","White Sox","07-06","1999","."
"Todd Helton","?m?k","Rockies","06-19","1999","."
"Jeff Kent","?m?k","Giants","05-03","1999","."
"Neifi Perez","?m?k","Rockies","07-25","1998","."
"Dante Bichette","?m?k","Rockies","06-10","1998","."
"Mike Blowers","?`?k","Athletics","05-18","1998","."
"John Olerud","?m?k","Mets","09-11","1997","??1"
"Alex Rodriguez","?`?k","Mariners","06-05","1997","."
"Alex Ochoa","?m?k","Mets","07-03","1996","."
"John Valentin","?`?k","Red Sox","06-06","1996","."
"John Mabry","?m?k","Cardinals","05-18","1996","."
"Tony Fernandez","?`?k","Yankees","09-03","1995","."
"Gregg Jefferies","?m?k","Phillies","08-25","1995","."
"Rondell White","?m?k","Expos","06-11","1995","."
"Scott Cooper","?`?k","Red Sox","04-12","1994","."
"Travis Fryman","?`?k","Tigers","07-28","1993","."
"Jay Buhner","?`?k","Mariners","07-23","1993","."
"Mark Grace","?m?k","Cubs","05-09","1993","."
"Andujar Cedeno","?m?k","Astros","08-25","1992","."
"Ray Lankford","?m?k","Cardinals","09-15","1991","."
"Dave Winfield","?`?k","Angels","06-24","1991","."
"Paul Molitor","?`?k","Brewers","05-15","1991","."
"Robby Thompson","?m?k","Giants","04-22","1991","."
"George Brett","?`?k","Royals","07-25","1990","2"
"Gary Redus","?m?k","Pirates","08-25","1989","."
"Kevin McReynolds","?m?k","Mets","08-01","1989","."
"Eric Davis","?m?k","Reds","06-02","1989","."
"Kelly Gruber","?`?k","Blue Jays","04-16","1989","."
"Mike Greenwell","?`?k","Red Sox","09-14","1988","."
"Chris Speier","?m?k","Giants","07-09","1988","2"
"Robin Yount","?`?k","Brewers","06-12","1988","."
"Albert Hall","?m?k","Braves","09-23","1987","."
"Tim Raines","?m?k","Expos","08-16","1987","."
"Candy Maldonado","?m?k","Giants","05-04","1987","."
"Andre Dawson","?m?k","Cubs","04-29","1987","."
"Kirby Puckett","?`?k","Twins","08-01","1986","."
"Tony Phillips","?`?k","Athletics","05-16","1986","."
"Rich Gedman","?`?k","Red Sox","09-18","1985","."
"Oddibe McDowell","?`?k","Rangers","07-23","1985","."
"Keith Hernandez","?m?k","Mets","07-04","1985","."
"Jeff Leonard","?m?k","Giants","06-27","1985","."
"Dwight Evans","?`?k","Red Sox","06-28","1984","."
"Willie McGee","?m?k","Cardinals","06-23","1984","."
"Carlton Fisk","?`?k","White Sox","05-16","1984","."
"Cal Ripken, Jr.","?`?k","Orioles","05-06","1984","."
"Frank White","?`?k","Royals","08-03","1982","2"
"Charlie Moore","?`?k","Brewers","10-01","1980","."
"Gary Ward","?`?k","Twins","09-18","1980","."
"Mike Easler","?m?k","Pirates","06-12","1980","."
"Fred Lynn","?`?k","Red Sox","05-13","1980","."
"Ivan DeJesus","?m?k","Cubs","04-22","1980","."
"Frank White","?`?k","Royals","09-26","1979","1"
"Bob Watson","?`?k","Red Sox","09-15","1979","??2"
"Dan Ford","?`?k","Angels","08-10","1979","."
"George Brett","?`?k","Royals","05-28","1979","1"
"Mike Cubbage","?`?k","Twins","07-27","1978","."
"Chris Speier","?m?k","Expos","07-20","1978","1"
"Andre Thornton","?`?k","Indians","04-22","1978","."
"Jack Brohamer","?`?k","White Sox","09-24","1977","."
"John Mayberry","?`?k","Royals","08-05","1977","."
"Bob Watson","?m?k","Astros","06-24","1977","??1"
"Mike Hegan","?`?k","Brewers","09-03","1976","."
