"Medicine","Trade","ATC Code","Route of administration"
"acetomenophen","Tylenol","N02BE01","Rectal"
"aspirine","Bayer Aspirin","A01AD05","By mouth"
"asperin","Bayer Aspirin","A01AD05","By mouth"
"aspren","Bayer Aspirin","A01AD05","By mouth"
"ibuprofin","Advil","C01EB16","Intravenous"
"ibprophen","Advil","C01EB16","Intravenous"
"ibuprophen","Advil","C01EB16","Intravenous"
"ibprofien","Advil","C01EB16","Intravenous"
"ibproufen","Advil","C01EB16","Intravenous"
"ibeprofen","Advil","C01EB16","Intravenous"
"ibubrofen","Advil","C01EB16","Intravenous"
"ibuprofins","Advil","C01EB16","Intravenous"
"ibroprofen","Advil","C01EB16","Intravenous"
"iboprofen","Advil","C01EB16","Intravenous"
"ibprofens","Advil","C01EB16","Intravenous"
"ibprophin","Advil","C01EB16","Intravenous"
"ibprouphen","Advil","C01EB16","Intravenous"
"ibuprohen","Advil","C01EB16","Intravenous"
"aspirin","Bayer Aspirin","A01AD05","By mouth"
"ibuprofen","Advil","C01EB16","Intravenous"
"naproxen","Anaprox","G02CC02","By mouth"
"sertraline","Zoloft","N06AB06","By mouth"
