"city","state"
"Abbevile","Georgia, GA"
"Abeville","Georgia, GA"
"Abiline","Texas, TX"
"Adamsvile","Tennessee, TN"
"Acron","Ohio, OH"
"Alabastre","Alabama, AL"
"Alamusa","Colorado, CO"
"Albanee","Oregon, OR"
"Albny","Oregon, OR"
"Allbany","New York, NY"
"Albertvile","Alabama, AL"
"Abaquerque","New Mexico, NM"
"Albequerque","New Mexico, NM"
"Albuqerque","New Mexico, NM"
"Albuquerqe","New Mexico, NM"
"Allgona","Washington, WA"
"Algonkwen","Illinois, IL"
"Algonkwin","Illinois, IL"
"Algonquen","Illinois, IL"
"Alentown","Pennsylvania, PA"
"Amla","Arkansas, AR"
"Andarson","South Carolina, SC"
"An Arbor","Michigan, MI"
"Anapolis","Maryland, MD"
"Aniston","Alabama, AL"
"Annoka","Minnesota, MN"
"Anthoy","New Mexico, NM"
"Apach Junction","Arizona, AZ"
"Apache Junktion","Arizona, AZ"
"Apexs","North Carolina, NC"
"Artesea","Mississippi, MS"
"Avrada","Colorado, CO"
"Rvada","Colorado, CO"
"Ashtown","Idaho, ID"
"Aspin","Colorado, CO"
"Athins","Georgia, GA"
"Atthol","Massachusetts, MA"
"Altanta","Georgia, GA"
"Aburn","Alabama, AL"
"Aubern","Washington, WA"
"Uaburn","Washington, WA"
"Alt","Colorado, CO"
"Ult","Colorado, CO"
"Arora","Colorado, CO"
"Uarora","Illinois, IL"
"Bakersfeild","California, CA"
"Baltimor","Maryland, MD"
"Bandere","Texas, TX"
"Bandira","Texas, TX"
"Bare","Vermont, VT"
"Batevia","Illinois, IL"
"Bakster Springs","Kansas, KS"
"Bayo La Bater","Alabama, AL"
"Bayo La Batre","Alabama, AL"
"Bayou La Bater","Alabama, AL"
"Bayuo La Batre","Alabama, AL"
"Boyu La Bater","Alabama, AL"
"Boyu La Batre","Alabama, AL"
"Baerdstown","Illinois, IL"
"Baettie","Kansas, KS"
"Beatie","Kansas, KS"
"Beever","Oklahoma, OK"
"Bever","Oklahoma, OK"
"Belleveu","Washington, WA"
"Belingham","Washington, WA"
"Belinghem","Washington, WA"
"Belsoni","Mississippi, MS"
"Bemedji","Minnesota, MN"
"Bemidje","Minnesota, MN"
"Bemidjee","Minnesota, MN"
"Berae","Kentucky, KY"
"Berkley","California, CA"
"Berklui","California, CA"
"Berkly","California, CA"
"Berlen","New Hampshire, NH"
"Burlin","New Hampshire, NH"
"Berian Springs","Michigan, MI"
"Brerrian Springs","Michigan, MI"
"Berryvile","Arkansas, AR"
"Burthoud","Colorado, CO"
"Bertrim","Texas, TX"
"Besemer","Alabama, AL"
"Bethleham","Connecticut, CT"
"Bethleham","Pennsylvania, PA"
"Bilcksi","Mississippi, MS"
"Bilocksi","Mississippi, MS"
"Bimghamton","New York, NY"
"Bermingham","Alabama, AL"
"Berminghum","Alabama, AL"
"Birminghum","Alabama, AL"
"Brimingham","Alabama, AL"
"Bisshop","California, CA"
"Bloomingtown","Illinois, IL"
"Bluefeild","West Virginia, WV"
"Bonne","North Carolina, NC"
"Bothel","Washington, WA"
"Bolder","Colorado, CO"
"Bozman","Montana, MT"
"Braeux Bridge","Louisiana, LA"
"Brekenridge","Colorado, CO"
"Breverd","North Carolina, NC"
"Brigdeport","Connecticut, CT"
"Brinckley","Arkansas, AR"
"Bristal","Connecticut, CT"
"Bristel","Tennessee, TN"
"Bristel","Connecticut, CT"
"Bristel","Virginia, VA"
"Bristil","Tennessee, TN"
"Brocktun","Massachusetts, MA"
"Brocton","Massachusetts, MA"
"Brokton","Massachusetts, MA"
