"name","birthDate","birthPlace","region","country"
"William Austin","1884-06-12","Georgetown","Demerara-Mahaica","Guyana"
"Gauge","1980-07-24","Hot Springs","Arkansas","United States"
"Savannah","1970-10-09","Mission Viejo","California","United States"
"Obsession","1976-09-29","Portland","Clackamas County, Oregon","United States"
"Kirsten Price","1981-11-13","Providence","Providence County, Rhode Island","United States"
"Viper","1959-09-12","Oak Ridge","Anderson County, Tennessee","United States"
"Nikki Randall","1964-08-11","Macon","Georgia (U.S. state)","United States"
"Nikki Randall","1964-08-11","Macon","Bibb County, Georgia","United States"
"Obsession","1976-09-29","Portland","Oregon","United States"
"Houston","1969-03-24","Long Beach","California","United States"
"Obsession","1976-09-29","Portland","Washington County, Oregon","United States"
"Belladonna","1981-05-21","Biloxi","Harrison County, Mississippi","United States"
"Gauge","1980-07-24","Hot Springs","Garland County, Arkansas","United States"
"Missy","1967-09-24","Burbank","California","United States"
"Obsession","1976-09-29","Portland","Multnomah County, Oregon","United States"
"Belladonna","1981-05-21","Biloxi","Mississippi","United States"
"Jill Kelly","1971-02-01","Pomona","California","United States"
"Midori","1968-07-19","Durham","North Carolina","United States"
"Kirsten Price","1981-11-13","Providence","Rhode Island","United States"
"Mark Dalton","1980-03-06","Denton","Denton County, Texas","United States"
"Viper","1959-09-12","Oak Ridge","Roane County, Tennessee","United States"
"Mark Dalton","1980-03-06","Denton","Texas","United States"
"Midori","1968-07-19","Durham","Durham County, North Carolina","United States"
"Midori","1968-07-19","Durham","Orange County, North Carolina","United States"
"Viper","1959-09-12","Oak Ridge","Tennessee","United States"
"Midori","1968-07-19","Durham","Wake County, North Carolina","United States"
"Wayne Stevens","1936-06-19","Chillicothe","Ross County, Ohio","United States"
"James Whitley","1979-05-13","Decatur","Illinois","United States"
"Kevin McKee","1990-02-11","Davenport","Scott County, Iowa","United States"
"Wayne Stevens","1936-06-19","Chillicothe","Ohio","United States"
"Kevin McKee","1990-02-11","Davenport","Iowa","United States"
"James Whitley","1979-05-13","Decatur","Macon County, Illinois","United States"
"Michael Simms","1974-07-26","Sacramento","California","United States"
"James McBride","1802-02-09","Nashville","Tennessee","United States"
"James McBride","1802-02-09","Nashville","Davidson County, Tennessee","United States"
"Joe Harris","1952-12-06","Fayetteville","North Carolina","United States"
"George Benson","1919-05-07","Madison","Jefferson County, Indiana","United States"
"Leonard Johnson","1990-03-30","Clearwater","Florida","United States"
"Robert Thomas","1974-12-01","Jacksonville","Arkansas","United States"
"John Kirby","1942-05-30","David City","Nebraska","United States"
"Mark Murphy","1958-04-22","Canton","Ohio","United States"
"Robert Baker","1976-03-14","Gainesville","Alachua County, Florida","United States"
"Scott Adams","1966-09-28","Lake City","Florida","United States"
"James Joseph","1967-10-28","Phenix City","Alabama","United States"
"Ed Shaw","1895-08-07","Tecumseh","Johnson County, Nebraska","United States"
"George Foster","1980-06-09","Macon","Georgia (U.S. state)","United States"
