"musician","genre","instrument","band"
"Achim Reichel","Psychedelic rock","Piano","The Rattles"
"Achim Reichel","Psychedelic rock","Guitar","The Rattles"
"Achim Reichel","Psychedelic rock","Singing","The Rattles"
"Achim Reichel","Krautrock","Piano","The Rattles"
"Achim Reichel","Krautrock","Singing","The Rattles"
"Achim Reichel","Krautrock","Guitar","The Rattles"
"Alex Holzwarth","Power metal","Drums","Avantasia"
"Alex Holzwarth","Power metal","Drums","Avalon (Finnish band)"
"Alex Holzwarth","Power metal","Drums","Sieges Even"
"Alex Holzwarth","Power metal","Drums","Blind Guardian"
"Alex Holzwarth","Power metal","Drums","Rhapsody of Fire"
"Alex Holzwarth","Neoclassical metal","Drums","Sieges Even"
"Alex Holzwarth","Neoclassical metal","Drums","Avantasia"
"Alex Holzwarth","Neoclassical metal","Drums","Rhapsody of Fire"
"Alex Holzwarth","Neoclassical metal","Drums","Blind Guardian"
"Alex Holzwarth","Neoclassical metal","Drums","Avalon (Finnish band)"
"Alex Holzwarth","Progressive metal","Drums","Blind Guardian"
"Alex Holzwarth","Progressive metal","Drums","Avalon (Finnish band)"
"Alex Holzwarth","Progressive metal","Drums","Sieges Even"
"Alex Holzwarth","Progressive metal","Drums","Avantasia"
"Alex Holzwarth","Progressive metal","Drums","Rhapsody of Fire"
"Alex Holzwarth","Symphonic metal","Drums","Avalon (Finnish band)"
"Alex Holzwarth","Symphonic metal","Drums","Blind Guardian"
"Alex Holzwarth","Symphonic metal","Drums","Avantasia"
"Alex Holzwarth","Symphonic metal","Drums","Sieges Even"
"Alex Holzwarth","Symphonic metal","Drums","Rhapsody of Fire"
"Alexander Hacke","Electronic music","Guitar","Einstürzende Neubauten"
"Alexander Hacke","Electronic music","Bass guitar","Einstürzende Neubauten"
"Alexander Hacke","Electronic music","Singing","Einstürzende Neubauten"
"Alexander Hacke","Industrial music","Bass guitar","Einstürzende Neubauten"
"Alexander Hacke","Industrial music","Singing","Einstürzende Neubauten"
"Alexander Hacke","Industrial music","Guitar","Einstürzende Neubauten"
"Alexander Hacke","Experimental music","Bass guitar","Einstürzende Neubauten"
"Alexander Hacke","Experimental music","Guitar","Einstürzende Neubauten"
"Alexander Hacke","Experimental music","Singing","Einstürzende Neubauten"
"Alva Noto","Electronica","Guitar","Ryuichi Sakamoto"
"Alva Noto","Electronica","Guitar","Blixa Bargeld"
"Alva Noto","Electronica","Guitar","Ryoji Ikeda"
"Alva Noto","Electronica","Synthesizer","Ryuichi Sakamoto"
"Alva Noto","Electronica","Synthesizer","Blixa Bargeld"
"Alva Noto","Electronica","Synthesizer","Ryoji Ikeda"
"Alva Noto","Electronica","Percussion","Ryuichi Sakamoto"
"Alva Noto","Electronica","Percussion","Blixa Bargeld"
"Alva Noto","Electronica","Percussion","Ryoji Ikeda"
"Alva Noto","Electronica","Electronic keyboard","Ryuichi Sakamoto"
"Alva Noto","Electronica","Electronic keyboard","Blixa Bargeld"
"Alva Noto","Electronica","Electronic keyboard","Ryoji Ikeda"
"Alva Noto","Electronica","Laptop","Ryuichi Sakamoto"
"Alva Noto","Electronica","Laptop","Blixa Bargeld"
"Alva Noto","Electronica","Laptop","Ryoji Ikeda"
"Alva Noto","Glitch (music)","Guitar","Ryuichi Sakamoto"
"Alva Noto","Glitch (music)","Guitar","Blixa Bargeld"
"Alva Noto","Glitch (music)","Guitar","Ryoji Ikeda"
"Alva Noto","Glitch (music)","Synthesizer","Ryuichi Sakamoto"
"Alva Noto","Glitch (music)","Synthesizer","Blixa Bargeld"
"Alva Noto","Glitch (music)","Synthesizer","Ryoji Ikeda"
"Alva Noto","Glitch (music)","Percussion","Ryuichi Sakamoto"
"Alva Noto","Glitch (music)","Percussion","Blixa Bargeld"
"Alva Noto","Glitch (music)","Percussion","Ryoji Ikeda"
