"city","state"
"Abbevile","Georgia, GA"
"Alabastre","Alabama, AL"
"Alamusa","Colorado, CO"
"Albanee","Oregon, OR"
"Allbany","New York, NY"
"Albertvile","Alabama, AL"
"Abaquerque","New Mexico, NM"
"Albuqerque","New Mexico, NM"
"Albuquerqe","New Mexico, NM"
"Algonkwen","Illinois, IL"
"Alentown","Pennsylvania, PA"
"An Arbor","Michigan, MI"
"Aniston","Alabama, AL"
"Anthoy","New Mexico, NM"
"Apach Junction","Arizona, AZ"
"Apecks","North Carolina, NC"
"Apexs","North Carolina, NC"
"Artesea","Mississippi, MS"
"Ashtown","Idaho, ID"
"Athins","Georgia, GA"
"Altanta","Georgia, GA"
"Aburn","Alabama, AL"
"Aubern","Washington, WA"
"Uaburn","Washington, WA"
"Arora","Colorado, CO"
"Austen","Texas, TX"
"Bakersfeild","California, CA"
"Baltimor","Maryland, MD"
"Bandere","Texas, TX"
"Bandira","Texas, TX"
"Banger","Maine, ME"
"Bardston","Kentucky, KY"
"Bakster Springs","Kansas, KS"
"Bayo La Batre","Alabama, AL"
"Bayou La Bater","Alabama, AL"
"Boyu La Bater","Alabama, AL"
"Boyu La Batre","Alabama, AL"
"Baettie","Kansas, KS"
"Bever","Oklahoma, OK"
"Beleevue","Washington, WA"
"Bemidje","Minnesota, MN"
"Berae","Kentucky, KY"
"Berkley","California, CA"
"Berlen","New Hampshire, NH"
"Berian Springs","Michigan, MI"
"Brerrian Springs","Michigan, MI"
"Bertrim","Texas, TX"
"Betheny Beach","Delaware, DE"
"Bethleham","Connecticut, CT"
"Bilcksi","Mississippi, MS"
"Bermingham","Alabama, AL"
"Bisshop","California, CA"
"Bonne","North Carolina, NC"
"Bostun","Massachusetts, MA"
"Bothel","Washington, WA"
"Bolder","Colorado, CO"
"Bristal","Connecticut, CT"
"Bristel","Tennessee, TN"
"Bristel","Virginia, VA"
"Bristil","Tennessee, TN"
"Brokton","Massachusetts, MA"
"Benua","California, CA"
"Bulh","Idaho, ID"
"Bull","Idaho, ID"
"Bute","Montana, MT"
"Butt","Montana, MT"
"Callwel","Texas, TX"
"Callwell","Texas, TX"
"Calwel","Texas, TX"
"Campbel","California, CA"
"Cannon","Georgia, GA"
"Carbundale","Colorado, CO"
"Carboro","North Carolina, NC"
"Carrborro","North Carolina, NC"
"Castrovile","California, CA"
"Carker City","Kansas, KS"
"Cederedge","Colorado, CO"
"Centrel City","Colorado, CO"
