"celebrity","birth_place","country"
"Zooey Deschanell","Los Angeles","United States"
"Zooey Daschenel","Los Angeles","United States"
"Zooey Deschanels","Los Angeles","United States"
"Zooey Dechenel","Los Angeles","United States"
"Zooey Deshanell","Los Angeles","United States"
"Zooey Deshannel","Los Angeles","United States"
"Zooey Deschanael","Los Angeles","United States"
"Zooey Dachanel","Los Angeles","United States"
"Zooey Daeschanel","Los Angeles","United States"
"Zooey Dashanel","Los Angeles","United States"
"Zooey Deschenell","Los Angeles","United States"
"Zooey Dachenel","Los Angeles","United States"
"Zooey Dechenelle","Los Angeles","United States"
"Zooey Deschaanel","Los Angeles","United States"
"Zooey Daschnel","Los Angeles","United States"
"Zooey Deuschanel","Los Angeles","United States"
"Zooey Doeschanel","Los Angeles","United States"
"Zooey Daeschenel","Los Angeles","United States"
"Zooey Dechannelle","Los Angeles","United States"
"Zooey Daechanel","Los Angeles","United States"
"Zooey Dechennel","Los Angeles","United States"
"Zooey Dejanel","Los Angeles","United States"
"Zooey Deschan","Los Angeles","United States"
"Zooey Daeschenal","Los Angeles","United States"
"Zooey Deshinel","Los Angeles","United States"
"Zooey Deschenael","Los Angeles","United States"
"Zooey Deechanel","Los Angeles","United States"
"Zooey Deichanel","Los Angeles","United States"
"Zooey Deschaneal","Los Angeles","United States"
"Zooey Deachanel","Los Angeles","United States"
"Zooey Dechenell","Los Angeles","United States"
"Zooey Deshnel","Los Angeles","United States"
"Zooey Deschaneel","Los Angeles","United States"
"Zooey Deyshanel","Los Angeles","United States"
"Zooey Dashanell","Los Angeles","United States"
"Zooey Deschnell","Los Angeles","United States"
"Zooey Descheanel","Los Angeles","United States"
"Zooey Deschane","Los Angeles","United States"
"Zooey Descahnel","Los Angeles","United States"
"Zooey Dechasnel","Los Angeles","United States"
"Zooey Daechenel","Los Angeles","United States"
"Zooey Dashonel","Los Angeles","United States"
"Zooey Deshaneul","Los Angeles","United States"
"Zooey Deshaneel","Los Angeles","United States"
"Zooey Deshennel","Los Angeles","United States"
"Zooey Deshonel","Los Angeles","United States"
"Zooey Deschannele","Los Angeles","United States"
"Zooey Deushanel","Los Angeles","United States"
"Zooey Desenel","Los Angeles","United States"
"Zooey Dichanel","Los Angeles","United States"
"Zooey Deashanel","Los Angeles","United States"
"Zooey Deschonel","Los Angeles","United States"
"Zooey Deschel","Los Angeles","United States"
