"Country or territory","Capital","Largest city (or metropolitan area)","Second largest city (or metropoitan area)"
"Abkhaziaaa","Sukhumi","Sukhumi","GGagra"
"Afghanistan","Kabul","Kabuul","Kandahar"
"Akrotiri and Dhekelia (UK)))","Episkopi Cantonment","Episkopi Cantonment","Ayios Nikolaoss"
"Åland Islands (Finlland)","Mariehamn","Mariehamnn","Jomala"
"Albaniaa","Tirana","Tirrana","Durrës"
"Algeriaa","Algiers","Algierss","Oraan"
"American Samoa (US)))","Pago Pago","Tafuna","Nu'uuli"
"Andorraa","Andorra la Vella","Andorra la Vellaa","Escaldes-Engorddany"
"Angolaaa","Luanda","Luandaa","Huambo"
"Anguilla (UK)))","The Valley","North Sidee","The Valleyy"
"Antigua and Barbudaaa","St. John's","St. John's","All Saints"
"Arrgeentina","Buenos Aires","Buenos Aiires","Córdobaa"
"Armeniaa","Yerevan","Yerevan","Gyumri"
"Artsakh","Stepanakert","Stepanakert","Shushaa"
"Aruba (Netherlands))","Oranjestad","Oranjestad","Sint Nicolaas"
"Australia","Canberra","Sydney","Melbournee"
"AAustria","Vienna","Vieenna","Grazz"
"Azerbbaijann","Baku","Bakuu","Ganjaa"
"Bahamass","Nassau","Nassauu","Freeporrt"
"Bahrainnn","Manama","Manaama","Riffaa"
"Banngladesh","Dhaka","DDhaka","Chittagong"
"Barbadoss","Bridgetown","Bridgetown","Speightstown"
"Belarusss","Minsk","Minskk","Gomeel"
"Belgiumm","Brussels","Brusselss","Antwerp"
"Belize","Belmopan","Belize Cityy","San Ignacio"
"Beniinn","Porto-Novo","CCotonou","AAbomey-Calavi"
"Bermuda (UK))","Hamilton","St. George'ss","Hamilton"
"Bhhutan","Thimphu","Thimphu","Phuntsholingg"
"Bolivia","Sucre","Santa Cruz de la Sierraa","El Altoo"
"Boliviiaa","La Paz","Santa Cruz de la Sierra","El Alto"
"Bosnia and Herzegovinaa","Sarajevo","Sarajevoo","Banja Lukaa"
"BBotswana","Gaborone","Gaboronee","Francistown"
"Braazil","Brasília","São Pauloo","Rio de Janeiro"
"Bruneii","Bandar Seri Begawan","Bandar Seri Begawan","Kuala Belait"
"Bulgariaaa","Sofia","Sofia","PPlovdiv"
"Burkkina Faso","Ouagadougou","Ouagadougouu","Bobo-Dioulassoo"
"Burundii","Gitega","Bujumbura","Muyinga"
"Cambodiaaa","Phnom Penh","Phnom Penhh","Siem Reap"
"Cameroon","Yaoundé","Douala","Yaoundé"
"Canaddaa","Ottawa","Torontoo","Montreal"
"Cappe Verde","Praia","Praia","Mindeloo"
"Cayman Islands (UK))","George Town","George Town","Bodden Townn"
"Central African Republicc","Bangui","Banguii","Bimbo"
"CChad","N'Djamena","N'Djamenaa","Moundou"
"Chilee","Santiago","Santiagoo","Puente Altoo"
"China, People's Republic off","Beijing","Shanghai","Beijingg"
"Christmas Island (Australia)","Flying Fish Cove","Flying Fish Cove","Poon Saann"
"Cocos (Keeling) Islannds (Australia)","West Island","Bantamm","West Island"
"Colombiaaa","Bogotá","Bogotáá","Medellínn"
"Comoros","Moroni","Moroni","Mutsaamudu"
"Congoo, Democratic Republic of thee","Kinshasa","Kinshasaa","Lubumbashii"
"Congo,, Republic of thhe","Brazzaville","Brazzavillee","Pointe-Noire"
"Cook Islands (New Zealand)))","Avarua","Avarrua","Amuri"
