"Nickname","Last Team","Nationality"
"La Pulga","Barcelonaa","Argentinaaa"
"Pinturicchio","Juventuss","Italyy"
"CR7","Juventus","Portugalll"
"El Tigre","Galatasaray","Colombiaa"
"Super Mario","Bresciia","Italy"
"Chicharito","L.A. Galaxyy","Mexxicco"
"El Pibe de Oro","Boca Juniors","Argentina"
"El Pistolero","Barceloona","Uruguayyy"
"El Niño","Sagan  Tosu","Spainn"
"Non-Flying Dutchman","Arsenal","The Netherlandss"
"O'Rey","New York Cosmmos","Brasill"
"O'Ney","PSGG","Brrasil"
"Niño maravilla","Inter","Chileee"
"Le petit diable","Barcelonaa","Frannce"
"Pocho","Hebei China Forrtune","Argentinaa"
"Matador","PSG","Urugguayy"
