"Team","Manager","Captain","Kit manufacturer","Shirt sponsor (chest)","Shirt sponsor (sleeve)"
"Arsenal","Unai Emery","Pierre-Emerick Aubameyang","Adidas","Fly Emirates","Visit Rwanda"
"Aston Villa","Dean Smith","Jack Grealish","Kappa","W88","BR88"
"Bournemouth","Eddie Howe","Simon Francis","Umbro","M88","M88"
"Brighton & Hove Albion","Graham Potter","Lewis Dunk","Nike","American Express","JD"
"Burnley","Sean Dyche","Ben Mee","Umbro","LoveBet","LoveBet"
"Chelsea","Frank Lampard","César Azpilicueta","Nike","Yokohama Tyres","Hyundai"
"Crystal Palace","Roy Hodgson","Luka Milivojević","Puma","ManBetX","Dongqiudi"
"Everton","Marco Silva","Séamus Coleman","Umbro","SportPesa","Angry Birds"
"Leicester City","Brendan Rodgers","Wes Morgan","Adidas","King Power","Bia Saigon"
"Liverpool","Jürgen Klopp","Jordan Henderson","New Balance","Standard Chartered","Western Union"
"Manchester City","Pep Guardiola","David Silva","Puma","Etihad Airways","Nexen Tire"
"Manchester United","Ole Gunnar Solskjær","Ashley Young","Adidas","Chevrolet","Kohler"
"Newcastle United","Steve Bruce","Jamaal Lascelles","Puma","Fun88","StormGain"
"Norwich City","Daniel Farke","Grant Hanley","Erreà","Dafabet","Best Fiends"
"Sheffield United","Chris Wilder","Billy Sharp","Adidas","Union Standard Group","Union Standard Group"
"Southampton","Ralph Hasenhüttl","Pierre-Emile Højbjerg","Under Armour","LD Sports","Virgin Media"
"Tottenham Hotspur","José Mourinho","Hugo Lloris","Nike","AIA",""
"Watford","Quique Sánchez Flores","Troy Deeney","Adidas","Sportsbet.io","Bitcoin"
"West Ham United","Manuel Pellegrini","Mark Noble","Umbro","Betway","Basset & Gold"
"Wolverhampton Wanderers","Nuno Espírito Santo","Conor Coady","Adidas","ManBetX","CoinDeal"
