"name","birthDate","birthPlace","region","country"
"Ángel Castro","1982-11-14","Pimentel","Duarte Province","Dominican Republic"
"Paul Goodman","1905-02-25","Selkirk","Interlake","Canada"
"Harry Oliver","1898-10-26","Selkirk","Interlake","Canada"
"Andrew Murray","1981-11-06","Selkirk","Interlake","Canada"
"Paul Boyd","1976-11-07","Selkirk","Interlake","Canada"
"Terry Ball","1944-11-29","Selkirk","Interlake","Canada"
"Neil Wilkinson","1967-08-15","Selkirk","Interlake","Canada"
"John Morrison","1895-03-04","Selkirk","Interlake","Canada"
"Michi","1996-03-30","Okinawa","Okinawa Prefecture","Japan"
"Beni","1986-03-30","Miyakojima","Okinawa Prefecture","Japan"
"Kohei Yamamoto","1986-04-15","Ayase","Kanagawa Prefecture","Japan"
"Josh Kelly","1982-04-25","Yokosuka","Kanagawa Prefecture","Japan"
"hide","1964-12-13","Yokosuka","Kanagawa Prefecture","Japan"
"MAA","1986-01-25","Yokosuka","Kanagawa Prefecture","Japan"
"Tomohiko Itō","1978-10-20","Kasugai","Aichi Prefecture","Japan"
"Kanae Yamamoto","1882-10-24","Okazaki","Aichi Prefecture","Japan"
"Akira Nakamura","1989-11-05","Asaka","Saitama Prefecture","Japan"
"Patty","1960-11-05","Iruma","Saitama Prefecture","Japan"
"Chara","1968-01-13","Kawaguchi","Saitama Prefecture","Japan"
"Tatsuya Yamaguchi","1976-02-11","Shiki","Saitama Prefecture","Japan"
"Akira Matsunaga","1948-08-08","Shizuoka","Shizuoka Prefecture","Japan"
"Makoto Watanabe","1980-09-25","Shizuoka","Shizuoka Prefecture","Japan"
"Atsushi Kobayashi","1986-02-24","Shimada","Shizuoka Prefecture","Japan"
"Alphée Poirier","1899-02-05","Bonaventure","Gaspésie–Îles-de-la-Madeleine","Canada"
"Alphonse Desjardins","1841-05-06","Terrebonne","Lanaudière","Canada"
"Charles Reid","1990-04-12","Mont-Tremblant","Laurentides","Canada"
"John Hay","1862-06-26","Brownsburg-Chatham","Laurentides","Canada"
"John McIntosh","1841-10-27","La Prairie","Montérégie","Canada"
"Thomas Morris","1861-12-09","Saint-Hyacinthe","Montérégie","Canada"
"Alexandre Taché","1899-08-17","Saint-Hyacinthe","Montérégie","Canada"
"Phil Stevens","1893-02-15","Saint-Lambert","Montérégie","Canada"
"Thomas Wood","1815-03-07","Dunham","Montérégie","Canada"
"Robert Vincent","1956-04-13","Granby","Montérégie","Canada"
"Richard Dumas","1951-08-21","Granby","Montérégie","Canada"
"Brad Smith","1983-10-02","Hudson","Montérégie","Canada"
"Larry Smith","1951-04-28","Hudson","Montérégie","Canada"
"Jonathan Robinson","1894-11-18","Waterloo","Montérégie","Canada"
"Kenji Suzuki","1986-09-03","Akita","Akita Prefecture","Japan"
"Jesse Stone","1836-08-23","Lincoln","Lincolnshire","United Kingdom"
"Harold Andrews","1903-08-13","Lincoln","Lincolnshire","United Kingdom"
"Neil McCarthy","1932-07-26","Lincoln","Lincolnshire","United Kingdom"
"David Ward","1953-06-24","Lincoln","Lincolnshire","United Kingdom"
"Frederick Groves","1892-05-06","Lincoln","Lincolnshire","United Kingdom"
"John Middleton","1956-12-24","Lincoln","Lincolnshire","United Kingdom"
"John Quayle","1938-12-21","Lincoln","Lincolnshire","United Kingdom"
"Noboru Yamaguchi","1972-02-11","Hitachi","Ibaraki Prefecture","Japan"
"Harry Baird","1931-05-12","Georgetown","Demerara-Mahaica","Guyana"
"Andrew Murray","1971-07-01","Georgetown","Demerara-Mahaica","Guyana"
"William Austin","1884-06-12","Georgetown","Demerara-Mahaica","Guyana"
"Charles Pollard","1973-03-24","Georgetown","Demerara-Mahaica","Guyana"
"Frank Holder","1925-04-02","Georgetown","Demerara-Mahaica","Guyana"
"Stephan James","1993-06-13","Georgetown","Demerara-Mahaica","Guyana"
"Jack London","1905-01-13","Georgetown","Demerara-Mahaica","Guyana"
"Andrew Watson","1856-05-24","Georgetown","Demerara-Mahaica","Guyana"
"Richard Reynolds","1980-07-13","Georgetown","Demerara-Mahaica","Guyana"
"Jim Watson","1943-06-28","Malartic","Abitibi-Témiscamingue","Canada"
"Eric Joyce","1924-07-03","Durham","County Durham","United Kingdom"
