"Medicine","Trade","ATC Code","Route of administration"
"assprin","Bayer Aspirin","A01AD05","By mouth"
"aspririn","Bayer Aspirin","A01AD05","By mouth"
"ibprophen","Advil","C01EB16","Intravenous"
"ibuprophen","Advil","C01EB16","Intravenous"
"ibeuprofens","Advil","C01EB16","Intravenous"
"iboprufen","Advil","C01EB16","Intravenous"
"ibubrofen","Advil","C01EB16","Intravenous"
"ibp","Advil","C01EB16","Intravenous"
"ibuprofene","Advil","C01EB16","Intravenous"
"ibeeprofen","Advil","C01EB16","Intravenous"
"ibprofuen","Advil","C01EB16","Intravenous"
"ibrufen","Advil","C01EB16","Intravenous"
"ibrupofen","Advil","C01EB16","Intravenous"
"ibprouphen","Advil","C01EB16","Intravenous"
"acetaminophen","Tylenol","N02BE01","Rectal"
"aspirin","Bayer Aspirin","A01AD05","By mouth"
"ibuprofen","Advil","C01EB16","Intravenous"
"naproxen","Anaprox","G02CC02","By mouth"
"sertraline","Zoloft","N06AB06","By mouth"
