"Medicine","Trade","ATC Code","Route of administration"
"acetomenophen","Tylenol","N02BE01","Rectal"
"aspirine","Bayer Aspirin","A01AD05","By mouth"
"asprine","Bayer Aspirin","A01AD05","By mouth"
"asperine","Bayer Aspirin","A01AD05","By mouth"
"asperines","Bayer Aspirin","A01AD05","By mouth"
"aspin","Bayer Aspirin","A01AD05","By mouth"
"asperin","Bayer Aspirin","A01AD05","By mouth"
"assprin","Bayer Aspirin","A01AD05","By mouth"
"ibprofen","Advil","C01EB16","Intravenous"
"ibruprofen","Advil","C01EB16","Intravenous"
"ibuprofin","Advil","C01EB16","Intravenous"
"ibprophen","Advil","C01EB16","Intravenous"
"ibuprophen","Advil","C01EB16","Intravenous"
"ibprofin","Advil","C01EB16","Intravenous"
"ibeuprofen","Advil","C01EB16","Intravenous"
"ibproufen","Advil","C01EB16","Intravenous"
"ibeprofen","Advil","C01EB16","Intravenous"
"iboprufen","Advil","C01EB16","Intravenous"
"ibubrofen","Advil","C01EB16","Intravenous"
"ibuprofren","Advil","C01EB16","Intravenous"
"ibp","Advil","C01EB16","Intravenous"
"ibuprophens","Advil","C01EB16","Intravenous"
"ibprofuens","Advil","C01EB16","Intravenous"
"ibrophen","Advil","C01EB16","Intravenous"
"ibprofuen","Advil","C01EB16","Intravenous"
"ibeprophen","Advil","C01EB16","Intravenous"
"ibrufen","Advil","C01EB16","Intravenous"
"ibreprophen","Advil","C01EB16","Intravenous"
"ibroprofen","Advil","C01EB16","Intravenous"
"ibprofens","Advil","C01EB16","Intravenous"
"ibruprofin","Advil","C01EB16","Intravenous"
"ibprufen","Advil","C01EB16","Intravenous"
"ibprophin","Advil","C01EB16","Intravenous"
"ibueprofen","Advil","C01EB16","Intravenous"
"ibupropen","Advil","C01EB16","Intravenous"
"ibuprophene","Advil","C01EB16","Intravenous"
"ibuprohen","Advil","C01EB16","Intravenous"
"neproxen","Anaprox","G02CC02","By mouth"
"naproxin","Anaprox","G02CC02","By mouth"
"neproxin","Anaprox","G02CC02","By mouth"
"sertaline","Zoloft","N06AB06","By mouth"
"aspirin","Bayer Aspirin","A01AD05","By mouth"
"ibuprofen","Advil","C01EB16","Intravenous"
"naproxen","Anaprox","G02CC02","By mouth"
