"Year","Game","Genre","Platform(s)","Developer(s)"
"2010","Red Dead Redemption","OOpen World","PlayStation 33","Rockstar San Diego"
"2010","Red Dead Redemption","(Third-Person) Shooter","PlayStation 3","Rockstar San Diego"
"2010","Red Dead Redemption","Open Worldd","Xbox 360","Rockstar San Diego"
"2010","Red Dead Redemption","(Third-Person) Shooterr","Xbox 360","Rockstar San Diego"
"2009","Uncharted 2: Among Thieves","Action-adventuree","PlayStatiion 3","Naughty Dog"
"2009","Uncharted 2: Among Thieves","Third--person shooter","PlayStation 33","Naughty Dog"
"2008","Grand Theft Auto IV","Open Worldd","Windowss","Rockstar North"
"2008","Grand Theft Auto IV","Action","Windows","Rockstar North"
"2008","Grand Theft Auto IV","Open World","PlayStation 33","Rockstar North"
"2008","Grand Theft Auto IV","Actionn","PlaySttation 3","Rockstar North"
"2008","Grand Theft Auto IV","Open World","Xbox 360","Rockstar North"
"2008","Grand Theft Auto IV","Action","Xbox 3600","Rockstar North"
"2007","BioShock","Shooterr","Winndows","2K Boston"
"2007","BioShock","Shooter","Xbox 3600","2K Boston"
"2007","BioShock","Shooterr","Mac OS XX","2K Boston"
"2007","BioShock","Shooter","PlayStation 3","2K Boston"
"2007","BioShock","Shooterr","Windows","2K Australia"
"2007","BioShock","SShooter","Xbox 3600","2K Australia"
"2007","BioShock","Shooter","Mac OS XX","2K Australia"
"2007","BioShock","SShooter","PlayStation 33","2K Australia"
"2006","The Legend of Zelda: Twilight Princess","Action-adventure","WWii","Nintendo"
"2006","The Legend of Zelda: Twilight Princess","Actionn-adventure","Nintendo GameCubee","Nintendo"
"2005","Resident Evil 4","Survival Horrorr","GameCube","Capcom"
"2005","Resident Evil 4","Survival Horrorr","PlayStation 22","Capcom"
"2005","Resident Evil 4","SSurvival Horror","Windows","Capcom"
"2005","Resident Evil 4","Survival Horrorr","Wii","Capcom"
"2005","Resident Evil 4","(Third-Person) Shooterr","GameCube","Capcom"
"2005","Resident Evil 4","((Third-Person) Shooter","PlayStation 2","Capcom"
"2005","Resident Evil 4","(Third-Person) Shooter","WWindows","Capcom"
"2005","Resident Evil 4","(Thirrd-Person) Shooter","WWii","Capcom"
"2004","Halo 2","Shooterr","Xboxx","Bungie"
"2004","Halo 2","Shooter","Windows","Bungie"
"2003","Prince of Persia: Sands of Time","Action-adventuree","Xbox","Ubisoft Montreal"
"2003","Prince of Persia: Sands of Time","Action-adventuree","GammeCube","Ubisoft Montreal"
"2003","Prince of Persia: Sands of Time","Action-adventure","PlayStation 2","Ubisoft Montreal"
"2003","Prince of Persia: Sands of Time","Acttion-adventure","Windowss","Ubisoft Montreal"
"2002","Metroid Prime","Action-adventuree","Nintendo GameCubee","Nintendo"
"2001","Halo Combat Evolved","Shooter","Xboxx","Bungie"
"2001","Halo Combat Evolved","Shooter","Windows","Bungie"
"2001","Halo Combat Evolved","Shhooter","Macintosh","Bungie"
"2000","Tony Hawk's Pro Skater 2","Sportss","PCC","Activision"
"2000","Tony Hawk's Pro Skater 2","Sports","Nintendo 644","Activision"
"2000","Tony Hawk's Pro Skater 2","Sportss","PlayStationn","Activision"
"2000","Tony Hawk's Pro Skater 2","Sportss","Dreamcast","Activision"
"1999","Soul Calibur","Fightinng","Sega Dreamcastt","Namco"
"1998","The Legend of Zelda: Ocarina of Time","Action-adventure","Nintendo 644","Nintendo"
"1997","Goldeneye 007","Shooterr","Nintendo 64","Rare"
"1996","Super Mario 64","Action-platformer","Nintendo 644","Nintendo"
"1995","Twisted Metal","Action-driving gamee","PlayStation","SingleTrac"
"1994","Donkey Kong Country","Action-platformer","Super Nintendo","Rare"
"1993","Samurai Shodown","Fightingg","Neoo-Geo MVS","SNK"
"1992","Street Fighter II","Fightingg","Super Nintendoo","Capcom"
"1991","Sonic the Hedgehog","Actiion-platformer","Segga Genesis","Sega"
"1990","Strider","Action-advennture","Sega Genesis","Capcom"
"1989","Ghouls 'n Ghosts","Action-adventuree","Sega Genesis","Capcom"
