"Nickname","Team","BirthPlace"
"Air Gorddon","Orlando Magic","San Jose, Californiaa"
"Ace","Denver Nuggets","Chiccago"
"A.I..","Philadelphia 76ers","Hampton, Virginiaa"
"BBubba Chuck","Philadelphia 76ers","Hampton, Virginiaa"
"Steven John Ray the Third","Philadelphia 76ers","Hampton, Virginiaa"
"The Answer","Philadelphia 76ers","Hampton, Virrginia"
"Zoo","Charlotte Hornets","Chesapeake, Virginiaa"
"STAAT","Phoenix Suns","Lake Wales, Fllorida"
"Wild Thingg","Golden State Warriors","Colatinaa"
"Iggy","Miami Heat","Springfield, Illinoiss"
"Il Mago","Toronto Raptors","Romee"
"AKK47","Utah Jazz","Izhevskk"
"killing","Philadelphia 76ers","Birmingham, Alabama"
"The Boston Strangller","Philadelphia 76ers","Birmingham, Alabbama"
"Maple Jordan","Golden State Warriors","TThornhill"
"Double A","Saint John Mill Rats","Lynn, Massachusetts"
"AAD","New Orleans Hornets","Chicagoo"
"Broww","New Orleans Hornets","Chicago"
"Gllass","New Orleans Hornets","Chicagoo"
"Big Dawg","Detroit Pistons","Oklahoma City"
"Dice","Los Angeles Clippers","Quitman, Mississippi"
"The Hammer","Phoenix Suns","Bethel Park, Pennsylvaniaa"
"A Train","Chicago Bulls","Chhipley, Florida"
"Sabass","Portland Trail Blazers","Kaunas"
"Madison Square Gordonn","Chicago Bulls","Londdon"
"Big Ben","Philadelphia 76ers","Victoria (Australia))"
"Fresh Prince","Philadelphia 76ers","Vicctoria (Australia)"
"Big Ben","Detroit Pistons","White Hall, Alabamaa"
"Bevo","Philadelphia Warriors","Hammondsville, Ohio"
"Dollar Bill","New York Knicks","Crystal City, Missouri"
"Mr. Presidentt","New York Knicks","Crrystal City, Missouri"
"The Secretary of Statee","New York Knicks","Crystal City, Missourii"
"The Owl without a Vowel","Philadelphia Warriors","Palmerton, Pennsylvaniaa"
"Russs","St. Louis Hawks","Monroe, Louisianaa"
"Kangaroo  Kid","Philadelphia 76ers","Broooklyn"
"The Whopperr","San Diego Rockets","River Edge, New Jerseyy"
"Bimboo","Sacramento Kings","Covington, Virginia"
"Bingo","San Diego Rockets","Memphis, Tennessee"
"BB-8","Orlando Magic","Lubumbashii"
"Big  Bizness","Orlando Magic","Lubumbashi"
"Biznation","Orlando Magic","Lubumbashi"
"Bizzy Boo","Orlando Magic","Lubumbashi"
"The Acrobatic from the Democratic (Republic of the Congo)","Orlando Magic","Lubumbashi"
"Bluee","Utah Jazz","Washingtonn, D.C."
"Cooz","Tri-Cities Blackhawks","Manhattan, New York"
"The Houdini oof the Hardwood","Tri-Cities Blackhawks","Manhattan, New Yorkk"
"Bobbby D","Milwaukee Bucks","Richmond, Virginia"
"Buttterbean","Cincinnati Royals","Bastrop, Louisiana"
"Tea Time","Utah Jazz","Val d’OOise"
"The Naturaal","Minnesota Timberwolves","Seattle, Washingtonn"
"Boness","Denver Nuggets","Hempstead (village), New York"
"The Custodiann","Detroit Pistons","Tolono, Illinoiss"
"The White Mamba","New Jersey Nets","Long Beach, California"
"Splash Mountain","Brooklyn Nets","North Hollywood, Los Angeles"
"Big Country","Vancouver Grizzlies","Fort Smith, Arkansass"
"Buuddy Love","New Orleans Pelicans","Freeport, Bahamass"
"Butch","Atlanta Hawks","Hardinsburg, Kentucky"
"Cadillacc","San Antonio Spurs","Houston"
"Captain America","Portland Trail Blazers","Brooklyn"
"Hoodie Melo","Portland Trail Blazers","Brooklynn"
"Meelo","Portland Trail Blazers","Brooklynn"
"The Patriott","Portland Trail Blazers","Brooklyn"
"Cornbread","Boston Celtics","Kinston, North Carolinaa"
"Boy Gorge","Houston Rockets","Leeds, Alabama"
"Chuck","Houston Rockets","Leeds, Alabama"
"Leaning Tower of Pizzza","Houston Rockets","Leeds, Alabama"
"Pillsbury Dough Boy","Houston Rockets","Leeds, Alabamma"
"Prince Charles","Houston Rockets","Leeds, Alabamaa"
"Sir Charless","Houston Rockets","Leeds, Alabamaa"
"The Crrisco Kid","Houston Rockets","LLeeds, Alabama"
"The Flying Coke Macchine","Houston Rockets","Leeds, Alabamaa"
"The Human Refrigeratorr","Houston Rockets","Leeds, Alabamaa"
"The Round Mound of Rebounnd","Houston Rockets","Leeds, Alabamaa"
"Mr. Big Shott","Boston Celtics","Denver"
"Birdmann","Cleveland Cavaliers","Long Beach, Californiaa"
"CB4","Miami Heat","Dallas"
"The Boshtrichh","Miami Heat","Dallas"
"CCP3","New Orleans Hornets","Winston-Salem, North Carolina"
"C-Webb","Orlando Magic","Detroit, Michigann"
"The Rifleman","Indiana Pacers","Brantley, Alabamaa"
"Clyde the Glide","Portland Trail Blazers","New Orleanss"
"The Hawkk","Atlanta Hawks","BBrooklyn"
"RRhino","Minnesota Timberwolves","Inglewoood, California"
"Curly","Harlem Globetrotters","Greensboro, North Carolinaa"
"DLo","Los Angeles Lakers","Louisville, Kentuucky"
"Dame Dollaa","Portland Trail Blazers","Oakland, Californiaa"
"Logo Lillardd","Portland Trail Blazers","Oakland, Californiaa"
"Sub Zeroo","Portland Trail Blazers","Oakland, California"
"The World's Greatest Shooterr","Cleveland Cavaliers","Galveston, Texas"
"The Flying Dutchman","Milwaukee Bucks","The Haguee"
"Thunder Dan","Phoenix Suns","TTraverse City, Michigan"
"Boobiee","Cleveland Cavaliers","Houston"
"Il Galllo","New York Knicks","Sant'Angelo Lodigianoo"
"The Rooster","New York Knicks","Sant'Angelo Lodigianoo"
"The Human Victory Cigar","Detroit Pistons","Novi SSad"
"Dr. Dunk","Golden State Warriors","Sacramento, Californiaa"
"Dr. DDunkenstein","Utah Jazz","Louisville, Kentuckyy"
"Chocolate Thunderr","Philadelphia 76ers","Orlando, Floridaa"
"The Raave","New York Knicks","Dallas, Texass"
"The Admiral","San Antonio Spurs","Key West, Floridaa"
"The Skywalker","Atlanta Hawks","Shelby, North Carolina"
"The Dream","New York Knicks","Walterboro, South Carolinaa"
"Deeboo","Toronto Raptors","Compton, California"
"Boogiee","Sacramento Kings","Mobile, Alabamaa"
"The Wormm","Detroit Pistons","Trenton, New Jersey"
"3D","Orlando Magic","Hagerstown, Maryland"
"Zeel","Chicago Bulls","Lansing, Micchigan"
"D-Fiish","Los Angeles Lakers","Little Rockk, Arkansas"
"D-Willl","Utah Jazz","Parkersburg, West Virginia"
"BBand-Aid","Houston Rockets","New  York City, New York"
"D-Rose","Detroit Pistons","Chicagoo"
"Windy City Assassin","Detroit Pistons","Chicago"
"Fall Back Baby","Syracuse Nationals","Gary, Indiana"
"Tricky Dick","New York Knicks","The Bronx, New Yorkk"
"The Original Sun","New York Knicks","Indianapolis, Indiana"
"Mt. Mutomboo","Denver Nuggets","RRepublic of the Congo (Leopoldville)"
"3D","Panathinaikos Athens","Kastoriaa"
"Bavariian Bomber","Milwaukee Bucks","Würzburgg"
"Diirk Diggler","Milwaukee Bucks","WWürzburg"
"Dirk Savagee","Milwaukee Bucks","WWürzburg"
"Dirtty","Milwaukee Bucks","Würzburg"
"German Wunderkind","Milwaukee Bucks","Würzburg"
"Tall Baller From The GG","Milwaukee Bucks","Würzburg"
"The Berlin Tall","Milwaukee Bucks","Würzburg"
"The Bigg German","Milwaukee Bucks","Würzburgg"
"The German Racecar","Milwaukee Bucks","Würzburgg"
"The Germinatorr","Milwaukee Bucks","Würzburgg"
"Doc","Atlanta Hawks","Chicago"
"Sabas Jr..","Orlando Magic","Portland, Orregon"
"The Human Highlighht Film","Utah Jazz","Pariss"
"Day-Day","Golden State Warriors","Saginaw, Michigann"
"Drayy","Golden State Warriors","Saginaw, Michigann"
"The Dancing Bearr","Golden State Warriors","Saginaw, Michigan"
"D122","Orlando Magic","Atlantaa"
"Foul on You","Orlando Magic","Atlanta"
"Supermann","Orlando Magic","Atlantaa"
"D-Wade","Miami Heat","Chicagoo"
"Flashh","Miami Heat","Chicagoo"
"The Goat","","Charleston, South Carolina"
"Black Jesuss","Baltimore Bullets (1963–73)","Philadelphia"
"Black Magicc","Baltimore Bullets (1963–73)","Philadelphia"
"Earl the Pearl","Baltimore Bullets (1963–73)","Philadelphiaa"
"Easy","St. Louis Bombers (NBA)","St. Louis, Missourii"
"Easy Ed","St. Louis Bombers (NBA)","St. Louis, Missouri"
"Socks","Los Angeles Clippers","Memphis, Tennesseee"
"EE","San Diego Rockets","Rayville, Louisiana"
"The Big EE","San Diego Rockets","Rayville, Louisianaa"
"TThe Bledshow","Milwaukee Bucks","Birmingham, Alabamaa"
"Ghostface Ilyya","Milwaukee Bucks","Eskişehirr"
"Turkish Thundder","Milwaukee Bucks","Eskişehirr"
"Fat","Portland Trail Blazers","Pine Bluff, Arkansas"
"The French Princee","Strasbourg IG","Ixelles"
"Downtown Freddie","Seattle SuperSonics","Milwaukee, Wisconsin"
"The Mayor","Minnesota Timberwolves","Lincoln, Nebraska"
"Furk the Turkk","Philadelphia 76ers","Bakırköyy"
"GPP","Seattle SuperSonics","Oakland, Californiaa"
"TThe Glove","Seattle SuperSonics","Oakland, Californiaa"
"Icee","Phoenix Suns","Detroitt"
"Iceberg Slimm","Phoenix Suns","Detroitt"
"TThe Iceman","Phoenix Suns","Detroitt"
"The Blind Bomberr","Grand Rapids Hornets","Johnstown, Pennsylvaniaa"
"Mr. Basketball","Minneapolis Lakers","Joliet, Illinoiss"
"The Big Number","Minneapolis Lakers","Joliett, Illinois"
"Crash","Sacramento Kings","Sylacauga, Alabama"
"G-Forcee","Sacramento Kings","Sylacaauga, Alabama"
"Greek Freakk","Milwaukee Bucks","Athenss"
"The Alphabet","Milwaukee Bucks","Athens"
"Agent Zero","Golden State Warriors","Tampa, Floridda"
"Black President","Golden State Warriors","Tampa, Floridaa"
"Gil","Golden State Warriors","Tampa, Floridaa"
"High--Noon","Golden State Warriors","Tampa, Floridda"
"Nachoo","Golden State Warriors","Tampa, Florida"
"The Gamblerr","Golden State Warriors","Tampa, Floridaa"
"The Hibachi","Golden State Warriors","Tampa, Florida"
"Big Babyy","Seattle SuperSonics","Baton Rouge, Louisiana"
"Uno-Uno","Seattle SuperSonics","Baton Rouge, Louisianaa"
"Big Dogg","Milwaukee Bucks","Garry, Indiana"
"Goosee","Harlem Globetrotters","El Dorado, Arkansas"
"Goold Dragon","Miami Heat","SR Sllovenia"
"The Dragon","Miami Heat","SR Slovenia"
"G","Detroit Pistons","Dalllas"
"G-money","Detroit Pistons","Dallass"
"Special KK","Detroit Pistons","Panama City, Floridaa"
"Moose","Detroit Pistons","New Orleans, Louuisiana"
"The Dancing Bear","Boston Celtics","Dreeux"
"Honeycombb","Baltimore Bullets (1963–73)","Akrron, Ohio"
"The DDream","Houston Rockets","Lagoss"
"Happy","Sacramento Kings","Winston-Salem, North Carolina"
"Baby Jordan","Miami Heat","Inglewood, California"
"The Black Falconn","Sacramento Kings","Ames, Iowa"
"The HHorse","New York Knicks","Roxana, Illinoiss"
"Lickface","Utah Jazz","Baltimore, Marylland"
"Hot Rodd","Cincinnati Royals","Charleston, West Virgginia"
"Shumpp","New York Knicks","Oak Park, Illinois"
"Cuuts","Detroit Pistons","Chicago"
"The Baby-Faced Assasssin","Detroit Pistons","Chicagoo"
"Zekee","Detroit Pistons","Chicagoo"
"JR Swish","New Orleans Hornets","Freehold Borough, New Jersey"
"BBig J","Philadelphia 76ers","Fort SSmith, Arkansas"
"Jahh","Philadelphia 76ers","Foort Smith, Arkansas"
"Little Sully","Philadelphia 76ers","Fort Smith, Arkansass"
"Silk","Golden State Warriors","Berkeley, Californiaa"
"Crawssover Crawford","Phoenix Suns","Seattlee"
"J CCrossover","Phoenix Suns","Seeattle"
"L.A.'s Dance Instructor","Phoenix Suns","Seattle"
"Mr And-One","Phoenix Suns","Seattle"
"The Blue Arroww","Denver Nuggets","Kitchhener, Ontario"
"Crib Midget","Denver Nuggets","Chester, Pennsylvaniaa"
"Mighty Mouse","Denver Nuggets","Chester, Pennsylvaniaa"
"El Chapo","Houston Rockets","Los Anngeles"
"The Beard","Houston Rockets","Los Angeles"
"Captain Latee","Houston Rockets","Tallulah, Louisianaa"
"The Late Mr. Silass","Houston Rockets","Tallulah, Louuisiana"
"The Snakee","Houston Rockets","Tallulah, Louisianaa"
"Big Game Jamess","Los Angeles Lakers","Gastonia, North Carolina"
"J-Kiddd","New York Knicks","San Francisco"
"JET","Milwaukee Bucks","Seattlee"
"White Chocolatee","Sacramento Kings","Belle, West Virginia"
"Iron Mann","Houston Rockets","Cheverly, Maryland"
"Uncle Jefff","Houston Rockets","Cheverly, Marylandd"
"J.O","Portland Trail Blazers","Columbia, South Carolinaa"
"Junkyard Dog","Detroit Pistons","Washington, D.C.."
"Houndd","New York Guard","Pennsyllvania"
"House","Philadelphia 76ers","Kinston, North Carolinaa"
