"Realm / Kingdom","Monarch","Since","Length","House","Type","Heir apparent","Ref(s)"
"Principality of Andorra","Co-Prince Emmanuel Macron[fn 1] (b. 1977)","14 May 2017","2 years, 204 days","","Constitutional","Ex officio","[13][14]"
"Principality of Andorra","Co-Prince Archbishop Joan Enric Vives i Sicília[fn 1](b. 1949)","12 May 2003","16 years, 206 days","","Constitutional","Ex officio","[13][14]"
"Antigua and Barbuda","Queen Elizabeth II[fn 2](b. 1926)","1 November 1981[fn 3]","38 years, 33 days","Windsor[fn 4]","Constitutional","Charles, Prince of Wales","[15][16]"
"Commonwealth of Australia","Queen Elizabeth II[fn 2](b. 1926)","6 February 1952","67 years, 301 days","Windsor[fn 4]","Constitutional","Charles, Prince of Wales","[15][17]"
"Commonwealth of the Bahamas","Queen Elizabeth II[fn 2](b. 1926)","10 July 1973[fn 3]","46 years, 147 days","Windsor[fn 4]","Constitutional","Charles, Prince of Wales","[15][18]"
"Barbados","Queen Elizabeth II[fn 2](b. 1926)","30 November 1966[fn 3]","53 years, 4 days","Windsor[fn 4]","Constitutional","Charles, Prince of Wales",""
"Belize","Queen Elizabeth II[fn 2](b. 1926)","21 September 1981[fn 3]","38 years, 74 days","Windsor[fn 4]","Constitutional","Charles, Prince of Wales","[15][19]"
"Canada","Queen Elizabeth II[fn 2](b. 1926)","6 February 1952","67 years, 301 days","Windsor[fn 4]","Constitutional","Charles, Prince of Wales","[15][20]"
"Grenada","Queen Elizabeth II[fn 2](b. 1926)","7 February 1974[fn 3]","45 years, 300 days","Windsor[fn 4]","Constitutional","Charles, Prince of Wales","[15][21]"
"Jamaica","Queen Elizabeth II[fn 2](b. 1926)","6 August 1962[fn 3]","57 years, 120 days","Windsor[fn 4]","Constitutional","Charles, Prince of Wales","[15][22]"
"New Zealand","Queen Elizabeth II[fn 2](b. 1926)","6 February 1952","67 years, 301 days","Windsor[fn 4]","Constitutional","Charles, Prince of Wales","[15][23]"
"Independent State of Papua New Guinea","Queen Elizabeth II[fn 2](b. 1926)","16 September 1975[fn 5]","44 years, 79 days","Windsor[fn 4]","Constitutional","Charles, Prince of Wales","[15][24]"
"Federation of Saint Kitts and Nevis","Queen Elizabeth II[fn 2](b. 1926)","19 September 1983[fn 3]","36 years, 76 days","Windsor[fn 4]","Constitutional","Charles, Prince of Wales","[15][25]"
"Saint Lucia","Queen Elizabeth II[fn 2](b. 1926)","22 February 1979[fn 3]","40 years, 285 days","Windsor[fn 4]","Constitutional","Charles, Prince of Wales","[15][26]"
"Saint Vincent and the Grenadines","Queen Elizabeth II[fn 2](b. 1926)","27 October 1979[fn 3]","40 years, 285 days","Windsor[fn 4]","Constitutional","Charles, Prince of Wales","[15][27]"
