"celebrity","birth_place","country"
"Zooey Deschanel","Los Angeles","United States"
"Sarah McLachlan","Halifax","Canada"
"Zachary Knight Galifianakis","Wilkesboro","United States"
"Shia Saide LaBeouf","Los Angeles","United States"
"Macaulay Carson Culkin","New York","United States"
"Matthew McConaughey","Uvalde","United States"
"Nicki Minaj","Saint James","Trinidad and Tobago"
"Alanis Morissette","Ottawa","Canada"
"Amy Poehler","Newton","United States"
"Manoj Shyamalan","Mahé","India"
"Colin Rand Kaepernick","Milwaukee","United States"
"Mark McGwire","Pomona","United States"
"Chuck Palahniuk","Pasco","United States"
"Picabo Street","Triumph","United States"
"Scarlett Johansson","New_York","United States"
