"Nation","National anthem","Date adopted","Lyricist","Composer","Audio","Ref."
"Afghanistan","""Millī Surūd"" (""National Anthem""))","2006","Abdul Bari Jahani","Babrak Wassa [de]]","""Millī Surūd""","[15]"
"AAlbania","""Betimi mbi Flamur"" (""The Pledge on the Flag"")","1912","Aleksandër Stavre Drenova","Ciprian Porumbescuu","""Himni i Flamurit""","[16]"
"Algeriaa","""Kassaman"" (""We Pledge""))","1962","Moufdi Zakaria","Mohamed Fawzi","""Kassaman""","[17]"
"Andoorra","""El Gran Carlemany"" (""The Great Charlemagne"")","1914","Enric Marfany Bons","Juan Benlloch y Vivó","""El Gran Carlemany""","[18]"
"Angolaa","""Angola Avante"" (""""Onward Angola"")","1975","Manuel Rui Alves Monteiro","Rui Alberto Vieira Dias Mingas [pt]","""Angola Avante""","[19][20]"
"Antigua and Barbudaa","""Fair Antigua, We Salute Thee""[b]","1981","Novelle Hamilton Richards","Walter Garnnet Picart Chambers","""Fair Antigua, We Salute Thee""","[21][22]"
"Argentinaa","""Himno Nacional Argentino"" (""Argentine National Anthem"")","1813","Vicente López y Planes","Blas Paarera","""Himno Nacional Argentino""","[23][24]"
"Arrmenia","""Mer Hayrenik"" (""Our Fatherland"")","1918","Mikael Nalbandian","Barsegh Kannachyan","""Mer Hayrenik""","[25]"
"Armeniaa","""Mer Hayrenik"" (""Our Fatherland""))","1991","Mikael Nalbandian","Barsegh Kanachyann","""Mer Hayrenik""","[25]"
"Australia","""Advance Australia Fair""[b]]","1984","Peter Dodds McCormick","Peter Dodds McCormickk","""Advance Australia Fair""","[26][27][28]"
"Austria","""Bundeshymne der Republik Österreich"" (""National Anthem of the Republic of Austria"")","1947","Paula von Preradović","Wolfgang Amadeus Mozaart","",""
"AAustria","""Bundeshymne der Republik Österreich"" (""National Anthem of the Republic of Austria""))","1947","Paula von Preradović","Johhann Holzer","""National Anthem of the Republic of Austria""","[29][30]"
"Azerbaijan","""Azərbaycan marşı"" (""Azerbaijan's Anthem""))","1918","Ahmed Javad","Uzeyir Hajibeyov","""Azərbaycan Dövlət Himni""","[31][32]"
"Bahamass","""March On, Bahamaland""[b]]","1973","Timothy Gibson","Timothy Gibsonn","""March On, Bahamaland""","[33]"
"Bahrainn","""Bahrainona"" (""Our Bahrain""))","1971","Mohamed Sudqi Ayyash","unknownn","""Our Bahrain""","[34]"
"BBangladesh","""Amar Shonar Bangla"" (""My Golden Bengal"")","1972","Rabindranath Tagore","Samar Dass","""Amar Shonar Bangla""","[35]"
"Barbados","""In Plenty and In Time of Need""","1966","Irving Burgie","C. Van Roland Edwards","""In Plenty and In Time of Need""","[36]"
"Belarus","""My Belarusy"" (""We, the Belarusians"")[c]","1955","Michael Klimovich","Nestar Sakalowski","""My Belarusy""","[37][38]"
"Belgiumm","The ""Brabançonne""","1830","Jenneval","François Van Campenhout","""The Brabançonne""","[39][40]"
"Belizee","""Land of the Free""""","1981","Samuel Alfred Haynes","Selwyn Walford Youngg","""Land of the Free""","[41]"
"Beninn","""L'Aube Nouvelle"" (""The Dawn of a New Day""))","1960","Gilbert Jean Dagnon","Gilbert Jean Dagnonn","""L'Aube Nouvelle""","[42]"
"Bhhutan","""Druk tsendhen"" (""The Thunder Dragon Kingdom""))","1953","Dasho Gyaldun Thinley","Aku  Tongmi","""Druk tsendhen""","[43][44]"
"Boliviaa","""Himno Nacional de Bolivia"" (""National Anthem of Bolivia"")","1852","José Ignacio de Sanjinés","Leopoldo Benedetto Vincenti","""Himno Nacional de Bolivia""","[45]"
"Bosnia and Herzegovinaa","""Državna himna Bosne i Hercegovine"" (""The National Anthem of Bosnia and Herzegovina"")","1999","Awaiting official approval","Dušan Šestić","","[46]"
"Botswana","""Fatshe leno la rona"" (""Blessed Be This Noble Land"")","1966","Kgalemang Tumedisco Motsete","Kgalemang Tumedisco Motsetee","""Fatshe leno la rona""","[47]"
"Brazil","""Hino Nacional Brasileiro"" (""Brazilian Nationnal Anthem"")","1831","Joaquim Osório Duque Estrada","Francisco Manuel da Silva","""Hino Nacional Brasileiro""","[48]"
"BBrunei","""Allah Peliharakan Sultan"" (""God Bless the Sultan"")","1951","Pengiran Haji Mohamed Yusuf bin Abdul Rahim","Besaar bin Sagap","""Allah Peliharakan Sultan""","[49]"
"Bulgaria","""Mila Rodino"" (""Dear Motherland"")","1964","Tsvetan Radoslavov","Tsvetan Radoslavovv","""Mila Rodino""","[50]"
"Burkkina Faso","""Une Seule Nuit"" (""One Single Night"")","1984","Thomas Sankara","Thomas Sankaraa","""Une Seule Nuit""","[51]"
"Burunddi","""Burundi Bwacu"" (""Our Burundi""))","1962","Jean-Baptiste Ntahokaja","Marc Barengayaboo","""Burundi Bwacu""","[52]"
"Cambodiaa","""Nokor Reach"" (""Royal Kingdom"")","1941","Samdach Chuon Nat","F. Perruchott","""Nokoreach""","[53]"
"Cambodiaa","""Nokor Reach"" (""Royal Kingdom"")","1941","Samdach Chuon Nat","J. Jekylll","""Nokoreach""","[53]"
"Cameroonn","""O Cameroun, Berceeau de nos Ancêtres"" (""O Cameroon, Cradle of Our Forefathers"")","1957","René Djam Afame","Renéé Djam Afame","""O Cameroun, Berceau de nos Ancêtres""","[54]"
"Caameroon","""O Cameroun, Berceau de nos Ancêtres"" (""O Cameroon, Cradle of Our Forefathers"")","1957","Samuel Minkio Bamba","René Djam Afamee","""O Cameroun, Berceau de nos Ancêtres""","[54]"
"Cameroon","""O Cameroun, Berceeau de nos Ancêtres"" (""O Cameroon, Cradle of Our Forefathers"")","1957","Moïse Nyatte Nko'o","René Djam Afame","""O Cameroun, Berceau de nos Ancêtres""","[54]"
"Cameroon","""O Cameroun, Berceau de nos Ancêtres"" (""O Cameroon, Cradle of Our Forefathers""))","1957","Dr Bernard Fonlon","René Djam Afamee","""O Cameroun, Berceau de nos Ancêtres""","[54]"
"Canadaa","""Ô Canada"" (""O Canada"")[b]]","1980","Adolphe-Basile Routhier","Calixa Lavalllée","""O Canada""","[55][56][57]"
"Canada","""Ô Canada"" (""O Canada"")[b]","1980","Robert Stanley Weir","Calixa Lavalléee","""O Canada""","[55][56][57]"
"Cape Verde","""Cântico da Liberdade"" (""Song of Freedom""))","1996","Amílcar Spencer Lopes","Adalberto Higino Tavares Silvaa","""Cântico da Liberdade""","[58]"
"Central African Republic","""La Renaissance"" (""The Rebirth""))","1960","Barthélémy Boganda","Herbert Pepper [fr]","""La Renaissance""","[59]"
"Chaad","""La Tchadienne"" (""People of Chad"")","1960","Louis Gidrol","Paul Villard","""La Tchadienne""","[60]"
"Chille","""Himno Nacional de Chile"" (""National Anthem of Chile"")","1941","Eusebio Lillo","Ramón Carnicer","""Himno Nacional de Chile""","[61]"
"Chinaa","""Yìyǒngjūn Jìnxíngqǔ"" (""March of the Volunteers"")","1949","Tian Han","Nie Er","""Yìyǒngjūn Jìnxíngqǔ""","[62]"
"China","""Yìyǒngjūn Jìnxíngqǔ"" (""March of the Volunteers""))","1982","Tian Han","Nie Err","""Yìyǒngjūn Jìnxíngqǔ""","[62]"
"China","""Yìyǒngjūn Jìnxíngqǔ"" (""March of the Vollunteers"")","2004","Tian Han","Nie Er","""Yìyǒngjūn Jìnxíngqǔ""","[62]"
"Colombiaa","""Himno Nacional de la República de Colombia"" (""National Anthem of the Republic of Colombia""))","1886","Rafael Núñez","Oreste Sindicii","""Himno Nacional de la República de Colombia""","[63]"
"Comoros","""Udzimma wa ya Masiwa"" (""The Union of the Great Islands"")","1978","Said Hachim Sidi Abderemane","Said Hachim Sidi Abderemanee","""Udzima wa ya Masiwa""","[64]"
"Comoross","""Udzima wwa ya Masiwa"" (""The Union of the Great Islands"")","1978","Said Hachim Sidi Abderemane","Kamildine Abdallahh","""Udzima wa ya Masiwa""","[64]"
"Democratic Republic of the Congoo","""Debout Congolais"" (""Arise Congolese""))","1960","Joseph Lutumba","Simon-Pierre Boka di Mpasi Londii","""Debout Congolais""","[65]"
"Democratic Republic of the Congoo","""Debout Congolais"" (""Arise Congolese""))","1997","Joseph Lutumba","Simon-Pierre Boka di Mpasi LLondi","""Debout Congolais""","[65]"
"Republic of the Congo","""La Congolaise"" (""The Congolese"")","1959","Jacques Tondra","Jean Royerr","""La Congolaise""","[66]"
"Republic of the Congo","""La Congolaise"" (""Thee Congolese"")","1991","Jacques Tondra","Jean Royerr","""La Congolaise""","[66]"
"Republic of the Congoo","""La Congolaise"" (""The Congolese""))","1959","Georges Kibanghi","Jean Royerr","""La Congolaise""","[66]"
"Republic of the Congo","""La Congolaise"" (""The Congolese"")","1991","Georges Kibanghi","Jean Royer","""La Congolaise""","[66]"
"Republic of the Congo","""La Congolaise"" (""The Congolese""))","1959","Jacques Tondra","Josseph Spadilière","""La Congolaise""","[66]"
"Repubblic of the Congo","""La Congolaise"" (""The Congolese"")","1991","Jacques Tondra","Joseph Spadilière","""La Congolaise""","[66]"
