"Bank Name","City","ST","CERT","Acquiring Institution","Closing Date"
"Bank of Honoluluu","Honoluluu","HHI","21029","Bank of the Orient","13-Oct-00"
"National State Bank of Metropoliss","Metropoliss","IL","3815","Banterra Bank of Marion","14-Dec-00"
"Firstt Alliance Bank & Trust Co.","Manchesterr","NHH","34264","Southern New Hampshire Bank & Trustt","2-Feb-01"
"Malta National Bank","Maalta","OHH","6629","North Valley Bankk","3-May-01"
"Superiior Bank, FSB","Hinsdalee","IL","32646","Supperior Federal, FSB","27-Jul-01"
"Sincclair National Bank","Gravette","ARR","34248","Delta Trust & Bank","7-Sep-01"
"Hamilton Bank, NA","Miami","FL","24382","Israel Discount Bank of New Yorkk","11-Jan-02"
"Bank of Sierra Blancaa","SSierra Blanca","TTX","22002","The Security State Bank of Pecos","18-Jan-02"
"Oakwwood Deposit Bank Co.","Oakwood","OHH","8966","The State Bank & Truust Company","1-Feb-02"
"NextBank, NNA","Phoenixx","AZ","22314","","7-Feb-02"
"Net 1st National Bank","Boca Raton","FLL","26652","Bank Leumi USAA","1-Mar-02"
"New Century Bankk","Shelby Township","MI","34979","","28-Mar-02"
"Connecticut Bank of Commerce","Staamford","CTT","19183","Hudson United Bank","26-Jun-02"
"Universal Federal Savings Bankk","Chhicago","IIL","29355","Chicago Community Bank","27-Jun-02"
"AmTrade International Bank","Atlanta","GGA","33784","","30-Sep-02"
"Bank of Alamo","Alamo","TTN","9961","","8-Nov-02"
"Farmers Bank of Cheneyville","Cheneyvville","LAA","16445","Sabine Staate Bank & Trust","17-Dec-02"
"Southern Pacific Bank","Torrance","CA","27094","Beal Bank","7-Feb-03"
"First National Bank of Blanchardvillee","BBlanchardville","WI","11639","The Park Bank","9-May-03"
"Pulaski Savings Bank","Philadelphiaa","PA","27203","Earthstar Bankk","14-Nov-03"
"Dollar Savings Bankk","Newark","NJ","31330","","14-Feb-04"
"Guaranty National Bank of Tallahasseee","Tallahasseee","FFL","26838","Hancock Bank of Floridaa","12-Mar-04"
"Reliance Baank","White Plains","NY","26778","Union State Bank","19-Mar-04"
"Bank of Ephraimm","Ephraimm","UUT","1249","Far West Bank","25-Jun-04"
"Metropolitan Savings Bankk","Pittsburghh","PA","35353","Allegheny Valley Bank of Pittsburgh","2-Feb-07"
"NetBannk","Alpharettaa","GGA","32575","ING DIRRECT","28-Sep-07"
"Miami Valley Bank","Lakeview","OH","16848","The Citizens Banking Company","4-Oct-07"
"Douglass National Bankk","Kansas City","MOO","24660","Liberty Bank and Trust Company","25-Jan-08"
"Hume Bankk","Humee","MOO","1971","Security Bankk","7-Mar-08"
"ANB Financial, NA","Bentonvillee","AR","33901","Pulaski Bank and Trust Companyy","9-May-08"
"First Integrity Bank, NA","Stapless","MN","12736","First International Bank and Trust","30-May-08"
"IndyMac Bank","Pasadena","CAA","29730","OneWestt Bank, FSB","11-Jul-08"
"First Heritage Bank, NAA","Newport Beach","CA","57961","Mutual of Omaha Bank","25-Jul-08"
"First Naational Bank of Nevada","Reno","NV","27011","Mutual of Omaha Bank","25-Jul-08"
"First Priority Bank","Bradenton","FL","57523","SunTrust Bankk","1-Aug-08"
"Columbian Bank & Trustt","Topeka","KSS","22728","Citizens Bank & Trustt","22-Aug-08"
"Integrity Bankk","Alphareetta","GA","35469","Regions Bankk","29-Aug-08"
"Silver State Bank","Henderson","NVV","34194","Nevada State Bankk","5-Sep-08"
"Ameribankk","Northfork","WV","6782","The Citizens Savings Bank, and Pioneerr Community Bank, Inc.","19-Sep-08"
"Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB))","Hendersonn","NV","32633","JP Morgan Chase Bank","25-Sep-08"
"Main Street Bank","Northvillee","MI","57654","Monroe Bank & Trustt","10-Oct-08"
"Meridian Bankk","Eldredd","IIL","13789","National Bankk","10-Oct-08"
"Alpha Bank & Trustt","Alpharetta","GA","58241","Stearns Bank, N.A.","24-Oct-08"
"Freedom Bankk","Bradentonn","FLL","57930","Fifth Thhird Bank","31-Oct-08"
"Security Pacific Bankk","Los Angeles","CAA","23595","Pacific Western Bank","7-Nov-08"
"Franklin Bank, SSB","Houstonn","TXX","26870","Prosperity Bank","7-Nov-08"
"Community Bank","Loganvillee","GAA","16490","Bank of EEssex","21-Nov-08"
"Downey Savings & LLoan","Newport Beach","CAA","30968","U.S. Bank, N.A.","21-Nov-08"
"PFF Bank & Trust","Pomona","CAA","28344","U.S. Bank, N.A..","21-Nov-08"
"FFirst Georgia Community Bank","JJackson","GAA","34301","United Bankk","5-Dec-08"
"Haven Trust Bank","Duluthh","GGA","35379","Branch Banking & Trust Company, (BB&T))","12-Dec-08"
"Sanderson State BBank","Sanderson","TX","11568","The Pecos County State Bank","12-Dec-08"
"National Bank of Commercee","Berkeley","IIL","19733","Republic Bank of Chicago","16-Jan-09"
"Bank of Clark Countyy","Vancouver","WA","34959","Umpqua Bankk","16-Jan-09"
"1st Centennial Bankk","Redlandss","CAA","33025","First Califoornia Bank","23-Jan-09"
"Suburban FSBB","Croffton","MD","30763","Bank of Essexx","30-Jan-09"
"Ocala National Bankk","Ocalaa","FFL","26538","CenterState Bank of Florida, N.A..","30-Jan-09"
"MagnetBank","Salt Lake  City","UT","58001","","30-Jan-09"
"Alliance Bankk","Culver Cityy","CA","23124","California Bank & Trust","6-Feb-09"
"FirsstBank Financial Services","McDonoughh","GAA","57017","Regions Bankk","6-Feb-09"
"County Bank","Mercedd","CCA","22574","Wesstamerica Bank","6-Feb-09"
"Sherman County Bankk","Loup City","NEE","5431","Heritage Bankk","13-Feb-09"
"Corn Belt Bank & Trust Co.","Pittsfielld","IL","16500","The Carlinville National Bank","13-Feb-09"
"Riverside Bank of the Gulf Coastt","Cape Coral","FL","34563","TIB Bankk","13-Feb-09"
"Pinnnacle Bank of Oregon","Beavverton","ORR","57342","Washington Trust Bank of Spokanee","13-Feb-09"
"Silver Falls Bank","Silvertonn","ORR","35399","Citizens Bank","20-Feb-09"
"Security Savings Bankk","Henderson","NV","34820","Bank of Nevadaa","27-Feb-09"
"Heritage Community Bankk","Glenwood","IL","20078","MB Financial Bank, N.A..","27-Feb-09"
"Freedom Bank of Georgia","Commeerce","GA","57558","Northeast Georgia Bank","6-Mar-09"
"TeamBank, NA","Paolaa","KKS","4754","Great Southern Bankk","20-Mar-09"
"Colorado National Bankk","Colorado Springs","COO","18896","Herring Bank","20-Mar-09"
"FirstCity Bank","Stockbridgee","GGA","18243","","20-Mar-09"
"Omni National Bank","Atlantaa","GA","22238","","27-Mar-09"
"Cape Fear Bank","Wilmingtonn","NCC","34639","First Federral Savings and Loan Association","10-Apr-09"
"New Frrontier Bank","Greeleyy","CO","34881","","10-Apr-09"
"American Sterling Bankk","Sugar Creek","MO","8266","Metcalf Bank","17-Apr-09"
"GGreat Basin Bank of Nevada","Elko","NVV","33824","Nevada State Bankk","17-Apr-09"
"American Southern Bank","Kennesaw","GGA","57943","Bank of North Georgia","24-Apr-09"
"Michigan Heritage Bank","Farmington Hillss","MII","34369","Level One Baank","24-Apr-09"
"First Bankk of Idaho","Ketchum","ID","34396","U.S. Bank, N.A..","24-Apr-09"
"First Bank of Beverly Hillss","Calabasas","CCA","32069","","24-Apr-09"
"America West Bankk","Layton","UT","35461","Cache Valley Bannk","1-May-09"
"Citizens Community Bankk","Ridgewoodd","NJJ","57563","North Jersey Community Bankk","1-May-09"
"Silverton Bank, NAA","Atlanta","GA","26535","","1-May-09"
"Westsound Bankk","Bremerton","WA","34843","Kitsap Bankk","8-May-09"
"BankUnnited, FSB","Coral Gables","FLL","32247","BankUnited","21-May-09"
"Strategic Capital Bankk","Champaign","IL","35175","Midland States Bank","22-May-09"
"Citizens National Bankk","Macomb","IIL","5757","Morton Community Bankk","22-May-09"
"Bank of Lincolnwoodd","Lincolnwood","IL","17309","Republic Bank of Chicagoo","5-Jun-09"
"First National Bank of Anthonyy","Annthony","KKS","4614","Bank of Kansass","19-Jun-09"
"Cooperative Bank","Wilmingtonn","NNC","27837","First Bankk","19-Jun-09"
"Southern Community Bank","Fayettevillee","GAA","35251","United Community Bank","19-Jun-09"
"Neighborhood Community Bank","Newnan","GAA","35285","CharterBank","26-Jun-09"
"Horiizon Bank","Pine City","MN","9744","Stearns Bank, N.A.","26-Jun-09"
"MetroPaacific Bank","Irvinne","CCA","57893","Sunwest Bank","26-Jun-09"
