"Nation","National anthem (original)","National anthem (English)","Date adopted","Lyricist","Composer"
"Afghanistan","Millī Surūd","National Anthem","2006","Abdul Bari Jahani","Babrak Wassa"
"Albania","Betimi mbi Flamur","The Pledge on the Flag","1912","Aleksandër Stavre Drenova","Ciprian Porumbescu"
"Algeria","Kassaman","We Pledge","1962","Moufdi Zakaria","Mohamed Fawzi"
"Andorra","El Gran Carlemany","The Great Charlemagne","1914","Enric Marfany Bons","Juan Benlloch y Vivó"
"Angola","Angola Avante","Forward Angola","1975","Manuel Rui Alves Monteiro","Rui Alberto Vieira Dias Mingas"
"Antigua and Barbuda","Fair Antigua, We Salute Thee","","1981","Novelle Hamilton Richards","Walter Garnet Picart Chambers"
"Argentina","Himno Nacional Argentino","Argentine National Anthem","1813","Vicente López y Planes","Blas Parera"
"Armenia","Mer Hayrenik","Our Fatherland","1918","Mikael Nalbandian","Barsegh Kanachyan"
"Armenia","Mer Hayrenik","Our Fatherland","1991","Mikael Nalbandian","Barsegh Kanachyan"
"Australia","Advance Australia Fair","","1984","Peter Dodds McCormick","Peter Dodds McCormick"
"Austria","Bundeshymne der Republik Österreich","National Anthem of the Republic of Austria","1947","Paula von Preradović","Wolfgang Amadeus Mozart"
"Austria","Bundeshymne der Republik Österreich","National Anthem of the Republic of Austria","1947","Paula von Preradović","Johann Holzer"
"Azerbaijan","Azərbaycan marşı","Azerbaijan's Anthem","1918","Ahmed Javad","Uzeyir Hajibeyov"
"Bahamas","March On, Bahamaland","","1973","Timothy Gibson","Timothy Gibson"
"Bahrain","Bahrainona","Our Bahrain","1971","Mohamed Sudqi Ayyash",""
"Bangladesh","Amar Shonar Bangla","My Golden Bengal","1972","Rabindranath Tagore","Samar Das"
"Barbados","National Anthem of Barbados","","1966","Irving Burgie","C. Van Roland Edwards"
"Belarus","My Belarusy","We, the Belarusians","1955","Michael Klimovich","Nestar Sakalowski"
"Belgium","The Brabançonne","","1830","Jenneval","François Van Campenhout"
"Belize","Land of the Free","","1981","Samuel Alfred Haynes","Selwyn Walford Young"
"Benin","L'Aube Nouvelle","The Dawn of a New Day","1960","Gilbert Jean Dagnon","Gilbert Jean Dagnon"
"Bhutan","Druk tsendhen","The Thunder Dragon Kingdom","1953","Dasho Gyaldun Thinley","Aku Tongmi"
"Bolivia","Himno Nacional de Bolivia","National Anthem of Bolivia","1852","José Ignacio de Sanjinés","Leopoldo Benedetto Vincenti"
"Bosnia and Herzegovina","Državna himna Bosne i Hercegovine","The National Anthem of Bosnia and Herzegovina","1999","","Dušan Šestić"
"Botswana","Fatshe leno la rona","Blessed Be This Noble Land","1966","Kgalemang Tumedisco Motsete","Kgalemang Tumedisco Motsete"
"Brazil","Hino Nacional Brasileiro","Brazilian National Anthem","1831","Joaquim Osório Duque Estrada","Francisco Manuel da Silva"
"Brunei","Allah Peliharakan Sultan","God Bless the Sultan","1951","Pengiran Haji Mohamed Yusuf bin Abdul Rahim","Besar bin Sagap"
"Bulgaria","Mila Rodino","Dear Motherland","1964","Tsvetan Radoslavov","Tsvetan Radoslavov"
"Burkina Faso","Une Seule Nuit","One Single Night","1984","Thomas Sankara","Thomas Sankara"
"Burundi","Burundi Bwacu","Our Burundi","1962","Jean-Baptiste Ntahokaja","Marc Barengayabo"
"Cambodia","Nokor Reach","Royal Kingdom","1941","Samdach Chuon Nat","F. Perruchot"
"Cambodia","Nokor Reach","Royal Kingdom","1941","Samdach Chuon Nat","J. Jekyll"
"Cameroon","O Cameroun, Berceau de nos Ancêtres","O Cameroon, Cradle of Our Forefathers","1957","René Djam Afame","René Djam Afame"
"Cameroon","O Cameroun, Berceau de nos Ancêtres","O Cameroon, Cradle of Our Forefathers","1957","Samuel Minkio Bamba","René Djam Afame"
"Cameroon","O Cameroun, Berceau de nos Ancêtres","O Cameroon, Cradle of Our Forefathers","1957","Moïse Nyatte Nko'o","René Djam Afame"
"Cameroon","O Cameroun, Berceau de nos Ancêtres","O Cameroon, Cradle of Our Forefathers","1957","Dr Bernard Fonlon","René Djam Afame"
"Canada","Ô Canada","O Canada","1980","Adolphe-Basile Routhier","Calixa Lavallée"
"Canada","Ô Canada","O Canada","1980","Robert Stanley Weir","Calixa Lavallée"
"Cape Verde","Cântico da Liberdade","Song of Freedom","1996","Amílcar Spencer Lopes","Adalberto Higino Tavares Silva"
"Central African Republic","La Renaissance","The Rebirth","1960","Barthélémy Boganda","Herbert Pepper"
"Chad","La Tchadienne","People of Chad","1960","Louis Gidrol","Paul Villard"
"Chile","Himno Nacional de Chile","National Anthem of Chile","1941","Eusebio Lillo","Ramón Carnicer"
"China","Yìyǒngjūn Jìnxíngqǔ","March of the Volunteers","1949","Tian Han","Nie Er"
"China","Yìyǒngjūn Jìnxíngqǔ","March of the Volunteers","1982","Tian Han","Nie Er"
"China","Yìyǒngjūn Jìnxíngqǔ","March of the Volunteers","2004","Tian Han","Nie Er"
"Colombia","Himno Nacional de la República de Colombia","National Anthem of the Republic of Colombia","1886","Rafael Núñez","Oreste Sindici"
"Comoros","Udzima wa ya Masiwa","The Union of the Great Islands","1978","Said Hachim Sidi Abderemane","Said Hachim Sidi Abderemane"
"Comoros","Udzima wa ya Masiwa","The Union of the Great Islands","1978","Said Hachim Sidi Abderemane","Kamildine Abdallah"
"Democratic Republic of the Congo","Debout Congolais","Arise Congolese","1960","Joseph Lutumba","Simon-Pierre Boka di Mpasi Londi"
"Democratic Republic of the Congo","Debout Congolais","Arise Congolese","1997","Joseph Lutumba","Simon-Pierre Boka di Mpasi Londi"
"Republic of the Congo","La Congolaise","The Congolese","1959","Jacques Tondra","Jean Royer"
"Republic of the Congo","La Congolaise","The Congolese","1991","Jacques Tondra","Jean Royer"
"Republic of the Congo","La Congolaise","The Congolese","1959","Georges Kibanghi","Jean Royer"
"Republic of the Congo","La Congolaise","The Congolese","1991","Georges Kibanghi","Jean Royer"
"Republic of the Congo","La Congolaise","The Congolese","1959","Jacques Tondra","Joseph Spadilière"
"Republic of the Congo","La Congolaise","The Congolese","1991","Jacques Tondra","Joseph Spadilière"
"Republic of the Congo","La Congolaise","The Congolese","1959","Georges Kibanghi","Joseph Spadilière"
"Republic of the Congo","La Congolaise","The Congolese","1991","Georges Kibanghi","Joseph Spadilière"
"Costa Rica","Himno Nacional de Costa Rica","National Anthem of Costa Rica","1853","José María Zeledón Brenes","Manuel María Gutiérrez"
"Croatia","Lijepa naša domovino","Our Beautiful Homeland","1972","Antun Mihanović","Josip Runjanin"
"Cuba","El Himno de Bayamo","The Anthem of Bayamo","1902","Perucho Figueredo","Perucho Figueredo"
"Cyprus","Ýmnos eis tīn Eleutherían","Hymn to Liberty","1960","Dionýsios Solomós","Nikolaos Mantzaros"
"Czech Republic","Kde domov můj","Where My Home is","1918","Josef Kajetán Tyl","František Škroup"
"Denmark","Der er et yndigt land","There is a lovely country","1835","Adam Oehlenschläger","Hans Ernst Krøyer"
"Djibouti","Djibouti","","1977","Aden Elmi","Abdi Robleh"
"Dominica","Isle of Beauty, Isle of Splendour","","1978","Wilfred Oscar Morgan Pond","Lemuel McPherson Christian"
"Dominican Republic","Himno Nacional","National Anthem","1934","Emilio Prud'Homme","José Rufino Reyes y Siancas"
"East Timor","Pátria","Fatherland","2002","Francisco Borja da Costa","Afonso de Araujo"
"Ecuador","Salve, Oh Patria","We Salute You, Our Homeland","1948","Juan León Mera","Antonio Neumane"
"Egypt","Bilady, Bilady, Bilady","My Country, My Country, My Country","1979","Mohamed Younis Al-Qady","Sayed Darwish"
"El Salvador","Himno Nacional de El Salvador","National Anthem of El Salvador","1879","Juan José Cañas","Juan Aberle"
"Equatorial Guinea","Caminemos pisando las sendas de nuestra inmensa felicidad","Let Us Tread the Path of our Immense Happiness","1968","Atanasio Ndongo Miyone","Ramiro Sánchez Lopes"
"Eritrea","Ertra, Ertra, Ertra","Eritrea, Eritrea, Eritrea","1993","Solomon Tsehaye Beraki","Isaac Abraham Meharezghi"
"Eritrea","Ertra, Ertra, Ertra","Eritrea, Eritrea, Eritrea","1993","Solomon Tsehaye Beraki","Aron Tekle Tesfatsion"
"Estonia","Mu isamaa, mu õnn ja rõõm","My Fatherland, My Happiness and Joy","1920","Johann Voldemar Jannsen","Fredrik Pacius"
"Eswatini","Nkulunkulu Mnikati wetibusiso temaSwati","O Lord our God of the Swazi","1968","Andrease Enoke Fanyana Simelane","David Kenneth Rycroft"
"Ethiopia","Wodefit Gesgeshi, Widd Innat Ityopp'ya","March Forward, Dear Mother Ethiopia","1992","Dereje Melaku Mengesha","Solomon Lulu Mitiku"
"Fiji","Meda Dau Doka","God Bless Fiji","1970","Michael Francis Alexander Prescott","Charles Austin Miles"
"Finland","Swedish: Vårt Land","Finnish:Maamme","1917","Johan Ludvig Runeberg (Swedish)","Fredrik Pacius"
"Finland","Swedish: Vårt Land","Finnish:Maamme","1917","Paavo Cajander (Finnish)","Fredrik Pacius"
"France","La Marseillaise","The Song of Marseille","1795","Claude Joseph Rouget de Lisle","Claude Joseph Rouget de Lisle"
"Gabon","La Concorde","Concord","1960","Georges Aleka Damas","Georges Aleka Damas"
"The Gambia","For The Gambia Our Homeland","","1965","Virginia Julie Howe","Jeremy Frederick Howe"
"Georgia","Tavisupleba","Freedom","2004","David Magradze","Zakaria Paliashvili"
"Germany","Lied der Deutschen","Song of the Germans","1922","August Heinrich Hoffmann von Fallersleben","Joseph Haydn"
"Ghana","God Bless Our Homeland Ghana","","1957","Michael Kwame Gbordzoe","Philip Gbeho"
"Greece","Ýmnos eis tīn Eleutherían","Hymn to Liberty or Hymn to Freedom","1865","Dionýsios Solomós","Nikolaos Mantzaros"
"Grenada","Hail Grenada","","1974","Irva Merle Baptiste","Louis Arnold Masanto"
"Guatemala","Himno Nacional de Guatemala","National Anthem of Guatemala","1896","José Joaquín Palma","Rafael Álvarez Ovalle"
"Guinea","Liberté","Liberty","1958","","Kodofo Moussa"
"Guinea-Bissau","Esta É a Nossa Pátria Bem Amada","This Is Our Beloved Country","1974","Amílcar Cabral","Xiao He"
"Guyana","Dear Land of Guyana, of Rivers and Plains","","1966","Archibald Leonard Luker","Robert Cyril Gladstone Potter"
"Haiti","La Dessalinienne","Song of Dessalines","1904","Justin Lhérisson","Nicolas Geffrard"
"Honduras","Himno Nacional de Honduras","National Anthem of Honduras","1915","Augusto Constancio Coello","Carlos Hartling"
"Hungary","Himnusz","Hymn","1989","Ferenc Kölcsey","Ferenc Erkel"
"Iceland","Lofsöngur","Hymn","1944","Matthías Jochumsson","Sveinbjörn Sveinbjörnsson"
"India","Jana Gana Mana","Hail the ruler of all minds","1950","Rabindranath Tagore","Rabindranath Tagore"
"Indonesia","Indonesia Raya","Great Indonesia","1945","Wage Rudolf Soepratman","Wage Rudolf Soepratman"
"Iran","Soroud-e Melli-e Jomhouri-e Eslami-e Iran","National Anthem of Iran","1990","","Hassan Riyahi"
"Iraq","Mawtini (My Homeland)","","2004","Ibrahim Touqan","Mohammed Flayfel"
"Ireland","Amhrán na bhFiann","The Soldier's Song","1926","Peadar Kearney","Peadar Kearney"
"Ireland","Amhrán na bhFiann","The Soldier's Song","1926","Liam Ó Rinn","Peadar Kearney"
"Ireland","Amhrán na bhFiann","The Soldier's Song","1926","Peadar Kearney","Patrick Heeney"
"Ireland","Amhrán na bhFiann","The Soldier's Song","1926","Liam Ó Rinn","Patrick Heeney"
"Israel","HaTikvah","The Hope","2004","Naftali Herz Imber","Samuel Cohen"
"Italy","Il Canto degli Italiani","The Song of the Italians","2017","Goffredo Mameli","Michele Novaro"
"Ivory Coast","L'Abidjanaise","Song of Abidjan","1960","Mathieu Ekra","Pierre Marie Coty"
"Ivory Coast","L'Abidjanaise","Song of Abidjan","1960","Joachim Bony","Pierre Marie Coty"
"Ivory Coast","L'Abidjanaise","Song of Abidjan","1960","Pierre Marie Coty","Pierre Marie Coty"
"Ivory Coast","L'Abidjanaise","Song of Abidjan","1960","Mathieu Ekra","Pierre Michel Pango"
"Ivory Coast","L'Abidjanaise","Song of Abidjan","1960","Joachim Bony","Pierre Michel Pango"
"Ivory Coast","L'Abidjanaise","Song of Abidjan","1960","Pierre Marie Coty","Pierre Michel Pango"
"Jamaica","Jamaica, Land We Love","","1962","Hugh Sherlock","Robert Lightbourne"
"Japan","Kimigayo","His Majesty's Reign","1999","Kokin Wakashū","Yoshiisa Oku"
"Japan","Kimigayo","His Majesty's Reign","1999","Kokin Wakashū","Akimori Hayashi"
"Jordan","Al-salam Al-malaki Al-urdoni","The Royal Anthem of Jordan","1946","Abdul Monem Al-Refai","Abdul Qader al-Taneer"
"Kazakhstan","Meniñ Qazaqstanım","My Kazakhstan","2006","Zhumeken Nazhimedenov","Shamshi Kaldayakov"
"Kenya","Ee Mungu Nguvu Yetu","Oh God of All Creation","1963","Graham Hyslop","The Anthem Commission"
"Kenya","Ee Mungu Nguvu Yetu","Oh God of All Creation","1963","G. W. Senoga-Zake","The Anthem Commission"
"Kenya","Ee Mungu Nguvu Yetu","Oh God of All Creation","1963","Thomas Kalume","The Anthem Commission"
"Kenya","Ee Mungu Nguvu Yetu","Oh God of All Creation","1963","Peter Kibukosya","The Anthem Commission"
"Kenya","Ee Mungu Nguvu Yetu","Oh God of All Creation","1963","Washington Omondi","The Anthem Commission"
"Kiribati","Teirake Kaini Kiribati","Stand up, Kiribati","1979","Urium Tamuera Ioteba","Urium Tamuera Ioteba"
"North Korea","Aegukka","The Patriotic Song","1947","Pak Seyŏng","Kim Wŏn'gyun"
"South Korea","Aegukga","The Patriotic Song","1948","An Chang-ho","Ahn Eak-tae"
"Kuwait","Al-Nasheed Al-Watani","National Anthem","1978","Ahmad Meshari Al-Adwani","Ibrahim Al-Soula"
"Kyrgyzstan","Kyrgyz Respublikasynyn Mamlekettik Gimni","National Anthem of the Kyrgyz Republic","1992","Djamil Sadykov","Nasyr Davlesov"
"Kyrgyzstan","Kyrgyz Respublikasynyn Mamlekettik Gimni","National Anthem of the Kyrgyz Republic","1992","Eshmambet Kuluev","Nasyr Davlesov"
"Kyrgyzstan","Kyrgyz Respublikasynyn Mamlekettik Gimni","National Anthem of the Kyrgyz Republic","1992","Djamil Sadykov","Kalyi Moldobasanov"
"Kyrgyzstan","Kyrgyz Respublikasynyn Mamlekettik Gimni","National Anthem of the Kyrgyz Republic","1992","Eshmambet Kuluev","Kalyi Moldobasanov"
"Laos","Pheng Xat Lao","National Anthem of Laos","1947","Sisana Sisane","Thongdy Sounthonevichit"
"Latvia","Dievs, svētī Latviju!","God Bless Latvia","1920","Kārlis Baumanis","Kārlis Baumanis"
"Lebanon","Lebanese National Anthem","","1927","Rashid Nakhle","Wadih Sabra"
"Lesotho","Lesotho Fatše La Bontata Rona","Lesotho, Land of Our Fathers","1966","François Coillard","Ferdinand-Samuel Laur"
"Liberia","All Hail, Liberia, Hail!","","1847","Daniel Bashiel Warner","Olmstead Luca"
"Libya","Libya, Libya, Libya","","2011","Al Bashir Al Arebi","Mohammed Abdel Wahab"
"Liechtenstein","Oben am jungen Rhein","Up on the young Rhine","1963","Jakob Josef Jauch",""
"Lithuania","Tautiška giesmė","National Song","1919","Vincas Kudirka","Vincas Kudirka"
"Luxembourg","Ons Heemecht","Our Homeland","1993","Michel Lentz","Jean Antoine Zinnen"
"Madagascar","Ry Tanindrazanay malala ô!","Oh, Beloved Land of our Ancestors","1958","Pastor Rahajason","Norbert Raharisoa"
"Malawi","Mulungu dalitsa Malaŵi","God Bless Malawi","1964","Michael-Fredrick Paul Sauka","Michael-Fredrick Paul Sauka"
"Malaysia","Negaraku","My Country","1957","","Pierre-Jean de Béranger"
"Maldives","Gaumii salaam","National Salute","1972","Muhammad Jameel Didi","Pandit Wannakuwattawaduge Don Amaradeva"
"Mali","Le Mali","Mali","1962","Seydou Badian Kouyate","Banzumana Sissoko"
"Malta","L-Innu Malti","The Maltese Hymn","1964","Dun Karm Psaila","Robert Samut"
"Marshall Islands","Forever Marshall Islands","","1991","Amata Kabua","Amata Kabua"
"Mauritania","Nashid Wataniin Muritaniin","National Anthem of Mauritania","2017","","Rageh Daoud"
"Mauritius","Motherland","","1968","Jean Georges Prosper","Philippe Gentil"
"Mexico","Himno Nacional Mexicano","Mexican National Anthem","1943","Francisco González Bocanegra","Jaime Nunó"
"Micronesia","Patriots of Micronesia","","1991","",""
"Moldova","Limba noastră","Our Language","1994","Alexei Mateevici","Alexandru Cristea"
"Monaco","Hymne Monégasque","Monégasque Anthem","1848","Louis Notari","Charles Albrecht"
"Mongolia","Mongol ulsiin töriin duulal","National Anthem of Mongolia","1950","Tsendiin Damdinsüren","Bilegiin Damdinsüren"
"Mongolia","Mongol ulsiin töriin duulal","National Anthem of Mongolia","1950","Tsendiin Damdinsüren","Luvsanjambyn Mördorj"
"Montenegro","Oj, svijetla majska zoro","O, Bright Dawn of May","2004","","Žarko Mirković"
"Morocco","Hymne Chérifien","Cherifian Anthem","1956","Ali Squalli Houssaini","Léo Morgan"
"Mozambique","Pátria Amada","Beloved Homeland","2002","Salomão J. Manhiça","Justino Sigaulane Chemane"
"Mozambique","Pátria Amada","Beloved Homeland","2002","Mia Couto","Justino Sigaulane Chemane"
"Myanmar","Kaba Ma Kyei","Till the End of the World","1948","Tsaya Ting","Tsaya Ting"
"Namibia","Namibia, Land of the Brave","","1991","Axali Doëseb","Axali Doëseb"
"Nauru","Nauru Bwiema","Song of Nauru","1968","Margaret Hendrie","Laurence Henry Hicks"
"Nepal","Sayaun Thunga Phool Ka","A Garland of Hundred Flowers","2007","Byakul Maila","Amber Gurung"
"Netherlands","Wilhelmus","William","1932","Philips of Marnix","Adrianus Valerius"
"Netherlands","Wilhelmus","William","1932","Dirck Coornhert","Adrianus Valerius"
"Netherlands","Wilhelmus","William","1932","Petrus Dathenus","Adrianus Valerius"
"New Zealand","God Defend New Zealand","","1940","Thomas Bracken","John Joseph Woods"
"New Zealand","God Defend New Zealand","","1977","Thomas Bracken","John Joseph Woods"
"New Zealand","God Defend New Zealand","","1940","Thomas H. Smith","John Joseph Woods"
"New Zealand","God Defend New Zealand","","1977","Thomas H. Smith","John Joseph Woods"
"Nicaragua","Salve a ti, Nicaragua","Hail to Thee, Nicaragua","1918","Salomón Ibarra Mayorga","Luis A. Delgadillo"
"Niger","La Nigérienne","The Nigerien","1961","Maurice Albert Thiriet","Robert Jacquet"
"Niger","La Nigérienne","The Nigerien","1961","Maurice Albert Thiriet","Nicolas Abel François Frionnet"
"Nigeria","Arise, O Compatriots","","1978","John A. Ilechukwu","Nigerian Police Band"
"Nigeria","Arise, O Compatriots","","1978","Eme Etim Akpan","Nigerian Police Band"
"Nigeria","Arise, O Compatriots","","1978","B. A. Ogunnaike","Nigerian Police Band"
"Nigeria","Arise, O Compatriots","","1978","Sotu Omoigui","Nigerian Police Band"
"Nigeria","Arise, O Compatriots","","1978","P. O. Aderibighe","Nigerian Police Band"
"North Macedonia","Denes nad Makedonija","Today Over Macedonia","1992","Vlado Maleski","Todor Skalovski"
"Norway","Ja, vi elsker dette landet","Yes, We Love This Country","2019","Bjørnstjerne Bjørnson","Rikard Nordraak"
"Oman","Nashid as-Salaam as-Sultani","","1932","Rashid bin Uzayyiz Al Khusaidi","James Frederick Mills"
"Pakistan","Qaumī Tarāna","National Anthem","1954","Hafeez Jullundhri","Ahmed Ghulamali Chagla"
"Palau","Belau rekid","Our Palau","1980","","Ymesei O. Ezekiel"
"Panama","Himno Istmeño","Hymn of the Isthmus","1925","Jeronimo de la Ossa","Santos Jorge"
"Papua New Guinea","O Arise, All You Sons","","1975","Tom Shacklady","Tom Shacklady"
"Paraguay","Himno Nacional Paraguayo","Paraguayan National Anthem","1933","Francisco Acuña de Figueroa","Francisco José Debali"
"Peru","Himno Nacional del Perú","National Anthem of Peru","1821","José de la Torre Ugarte y Alarcón","Jose Bernardo Alcedo"
"Philippines","Lupang Hinirang","Chosen Land","1898","José Palma","Julián Felipe"
"Poland","Mazurek Dąbrowskiego","Poland Is Not Yet Lost","1926","Józef Wybicki",""
"Portugal","A Portuguesa","The Portuguese","1911","Henrique Lopes de Mendonça","Alfredo Keil"
"Qatar","As Salam al Amiri","Peace to the Amir","1996","Sheikh Mubarak bin Saïf al-Thani","Abdul Aziz Nasser Obaidan"
"Romania","Deșteaptă-te, române!","Awaken Thee, Romanian","1990","Andrei Mureşanu","Anton Pann"
"Romania","Deșteaptă-te, române!","Awaken Thee, Romanian","1990","Andrei Mureşanu","Gheorghe Ucenescu"
"Russia","Gosudarstvenny Gimn Rossiyskoy Federatsii","State Hymn of the Russian Federation","2000","Sergey Mikhalkov","Alexander Vasilyevich Alexandrov"
"Rwanda","Rwanda Nziza","Beautiful Rwanda","2002","Faustin Murigo","Jean-Bosco Hashakimana"
"Saint Kitts and Nevis","O Land of Beauty!","","1983","Kenrick Georges","Kenrick Georges"
"Saint Lucia","Sons and Daughters of Saint Lucia","","1979","Charles Jesse","Leton Felix Thomas"
"Saint Vincent and the Grenadines","Saint Vincent, Land so beautiful","","1979","Phyllis Punnett","Joel Bertram Miguel"
"Samoa","The Banner of Freedom","","1962","Sauni Iiga Kuresa","Sauni Iiga Kuresa"
"San Marino","Inno Nazionale della Repubblica","The National Anthem of the Republic","1894","","Federico Consolo"
"São Tomé and Príncipe","Independência total","Total Independence","1975","Alda Neves da Graça do Espírito Santo","Manuel dos Santos Barreto de Sousa e Almeida"
"Saudi Arabia","As-Salam Al Malaki","The Royal Salute","1950","Ibrahim Khafaji","Abdul Rahman Al-Khateeb"
"Senegal","Pincez Tous vos Koras, Frappez les Balafons","Strum your Koras, Strike the Balafons","1960","Léopold Sédar Senghor","Herbert Pepper"
"Serbia","Bože pravde","God of Justice","2006","Jovan Đorđević","Davorin Jenko"
"Seychelles","Koste Seselwa","Join together all Seychellois","1996","David François Marc André","David François Marc André"
"Seychelles","Koste Seselwa","Join together all Seychellois","1996","George Charles Robert Payet","David François Marc André"
"Seychelles","Koste Seselwa","Join together all Seychellois","1996","David François Marc André","George Charles Robert Payet"
"Seychelles","Koste Seselwa","Join together all Seychellois","1996","George Charles Robert Payet","George Charles Robert Payet"
"Sierra Leone","High We Exalt Thee, Realm of the Free","","1961","Clifford Nelson Fyle","John Akar"
"Singapore","Majulah Singapura","Onward Singapore","1965","Zubir Said","Zubir Said"
"Slovakia","Nad Tatrou sa blýska","Lightning Over the Tatras","1918","Janko Matúška",""
"Slovenia","Zdravljica","A Toast","1989","France Prešeren","Stanko Premrl"
"Solomon Islands","God Save Our Solomon Islands","","1978","Panapasa Balekana","Panapasa Balekana"
"Solomon Islands","God Save Our Solomon Islands","","1978","Matila Balekana","Panapasa Balekana"
"Somalia","Qolobaa Calankeed","Praise to the Flag","2012","Abdullahi Qarshe","Abdullahi Qarshe"
"South Africa","National anthem of South Africa","","1997","Enoch Sontonga","Enoch Sontonga"
"South Africa","National anthem of South Africa","","1997","C. J. Langenhoven","Enoch Sontonga"
"South Africa","National anthem of South Africa","","1997","Enoch Sontonga","Marthinus Lourens de Villiers"
