"Medicine","Trade","ATC Code","Route of administration"
"aspirine","Bayer Aspirin","A01AD05","By mouth"
"asprine","Bayer Aspirin","A01AD05","By mouth"
"asperine","Bayer Aspirin","A01AD05","By mouth"
"asperin","Bayer Aspirin","A01AD05","By mouth"
"aspren","Bayer Aspirin","A01AD05","By mouth"
"assprin","Bayer Aspirin","A01AD05","By mouth"
"aspririn","Bayer Aspirin","A01AD05","By mouth"
"ibruprofen","Advil","C01EB16","Intravenous"
"ibprophen","Advil","C01EB16","Intravenous"
"ibuprophen","Advil","C01EB16","Intravenous"
"ibprofin","Advil","C01EB16","Intravenous"
"ibeuprofens","Advil","C01EB16","Intravenous"
"ibproufen","Advil","C01EB16","Intravenous"
"ibeprofen","Advil","C01EB16","Intravenous"
"ibuprofren","Advil","C01EB16","Intravenous"
"ibuprofins","Advil","C01EB16","Intravenous"
"ibuprophens","Advil","C01EB16","Intravenous"
"ibprofuens","Advil","C01EB16","Intravenous"
"ibrophen","Advil","C01EB16","Intravenous"
"ibroprofen","Advil","C01EB16","Intravenous"
"ibruprofin","Advil","C01EB16","Intravenous"
"ibprophin","Advil","C01EB16","Intravenous"
"ibprouphen","Advil","C01EB16","Intravenous"
"ibueprofen","Advil","C01EB16","Intravenous"
"ibupropen","Advil","C01EB16","Intravenous"
"ibuprophene","Advil","C01EB16","Intravenous"
"ibuprohen","Advil","C01EB16","Intravenous"
"niproxin","Anaprox","G02CC02","By mouth"
"neproxen","Anaprox","G02CC02","By mouth"
"neproxin","Anaprox","G02CC02","By mouth"
"sertaline","Zoloft","N06AB06","By mouth"
"acetaminophen","Tylenol","N02BE01","Rectal"
"aspirin","Bayer Aspirin","A01AD05","By mouth"
"ibuprofen","Advil","C01EB16","Intravenous"
"naproxen","Anaprox","G02CC02","By mouth"
