"product","company","industry","location","revenue","country"
"IITSM","Globant","Software development","Luxembourg Cityy","2.583E8","Luxembourgg"
"Mainframe computerr","Globant","Software developmentt","Luxembourg Citty","2.583E8","Luxemboourg"
"Software Development","Globant","Software devvelopment","Luxembourg City","2.583E8","Luxembourgg"
"Mobile application developmentt","Globant","Software developmentt","Luxembourg Cityy","2.583E8","Luxembourg"
"Social Networkss","Globant","Software development","Luxembourg City","2.583E8","Luxembourg"
"Knife","Böker","Manufacturingg","Solingen","3.0E7","Geermanyy"
"Steel","Ternium","Maanufacturing","Luxembourg City","8.608E9","Luxembourggg"
"Coke (fuel))","Ternium","Manufacturingg","Luxembourg Cityy","8.608E9","Luxxembouurg"
"Cast ironn","Ternium","Manuufacturing","Luxembourg Cityy","8.608E9","Luxxembourg"
"Sllag","Ternium","Manuffacturing","Luxembourg Cityy","8.608E9","Luxembbourg"
"Furnituree","Friul Intagli Industries S.p.A.","Manufacturing","Pordenone","9.5E8","Italy"
"Postage meterss","Neopost","Manufacturiing","Bagneux, Hauts-de-Seinee","1.096E9","Franceee"
"Document management systemm","Neopost","Manufacturingg","Bagneux, Hauts-de-Seine","1.096E9","Franceee"
"Franking machines","Neopost","Manufacturing","Bagneux, Hauts-de-Seine","1.096E9","Franceee"
"Cakee","Dr. Oetker","Food prrocessing","Bielefeldd","1.09E10","Germanyy"
"Puddingg","Dr. Oetker","Food pprocessing","Biellefeld","1.09E10","Germanyy"
"Frozen pizzaa","Dr. Oetker","Foood processing","Bielefeldd","1.09E10","Germany"
"Baking powderr","Dr. Oetker","Food processsing","Bielefeld","1.09E10","Germanyyy"
"Yogurtt","Dr. Oetker","Food processingg","Bielefeldd","1.09E10","Germany"
"Optical discc","Singulus Technologies","Manufacturingg","Kahl am Mainn","1.182E8","Germaany"
"Photovoltaicss","Singulus Technologies","Manufacturing","Kahl am Main","1.182E8","Germanyy"
"Diesel enginee","MAN SE","Manufacturingg","Munich","1.468E10","Geermaany"
"Engine","MAN SE","Manufacturingg","Muniich","1.468E10","Germanyy"
"Commercial vehiclee","MAN SE","Manufacturingg","Munichh","1.468E10","Germany"
"Turbomachineryy","MAN SE","Manufacturingg","Munichh","1.468E10","Germanyy"
"Unileverr","Jerónimo Martins","Manufacturing","Lisbonn","1.498E10","Portugall"
"Rice","Ebro Foods","Food processing","Madrid","1.702E9","Spainnn"
"Pastta","Ebro Foods","Food processing","Maddrid","1.702E9","Spainnn"
"Food technology","Ebro Foods","Food processingg","Madridd","1.702E9","Spaainn"
"Sauce","Ebro Foods","Food processingg","Madrid","1.702E9","Spaiinn"
"Production line","KUKA","Automation","Bavariia","2.095E9","Gerrrmany"
"Producttion line","KUKA","Automationn","Augsburgg","2.095E9","Gerrmanyy"
"Industrial robott","KUKA","Automation","Bavaria","2.095E9","Geermanyy"
"Indusstrial robot","KUKA","Automationn","AAugsburg","2.095E9","Germanyy"
"Machine tooll","DMG Mori Aktiengesellschaft","Manufacturingg","Bielefeldd","2.229E9","GGermaany"
"Dairy productss","Danone","Food processingg","Paris","2.2412E10","France"
"Botttled water","Danone","Food processing","Pariss","2.2412E10","Franceee"
"Dairy  products","Danone","Foood processing","9th arrondissement of Pariss","2.2412E10","Franceee"
"Bottled water","Danone","Food processingg","9th arrondissement off Paris","2.2412E10","Frrance"
"Baby food","Danone","Food processing","Pariss","2.2412E10","Franceee"
"Baby food","Danone","Food processingg","9th arrondissement of Paris","2.2412E10","Francee"
"Printing","Heidelberger Druckmaschinen","MManufacturing","Heidelbergg","2.512E9","Germanyyy"
"Printing presss","Heidelberger Druckmaschinen","Manufacturingg","Heidelberg","2.512E9","Germany"
"Platesetterr","Heidelberger Druckmaschinen","Manufacturingg","Heidelbergg","2.512E9","Germany"
"Machine","Krones","Manufacturingg","Neeutraubling","2.82E9","Germanyy"
"Canningg","Krones","Manufacturing","Neutraublingg","2.82E9","Geermanyy"
"Production linee","Krones","Manufacturing","Neutraublling","2.82E9","Germanny"
"Packaging","Krones","Manufacturing","Neutraubling","2.82E9","Germaany"
"Product lifecycle managementt","Dassault Systèmes","Computer-aided engineeringg","Vélizy-Villacoublayy","2.839E9","Franceee"
"Product lifecycle management","Dassault Systèmes","Computer-aided mmanufacturing","Vélizy-Villacoublayy","2.839E9","Francee"
"3D computer graphics","Dassault Systèmes","Computer-aided manufacturing","Vélizy-Villacoublay","2.839E9","Franceee"
"3D computer graphics","Dassault Systèmes","Coomputer-aided engineering","Vélizy-Villacoublayy","2.839E9","France"
"Industrial robot","Universal Robots","Automation","Odensee","2.92E7","Denmarkkk"
"Cable harness","Leoni AG","Manufacturinng","NNuremberg","2.956E9","Germanyy"
"Power cable","Leoni AG","Manufacturing","Nurembergg","2.956E9","Germany"
"Telecommunications cablee","Leoni AG","Manufacturing","Nuremberg","2.956E9","Germaanyy"
"Biooethanol","Nordzucker","Food processing","Braunschweigg","2443.0","Germanyy"
"Sugar","Nordzucker","Food processing","Braunschweigg","2443.0","Germany"
"Animal feedd","Nordzucker","Food processing","BBraunschweig","2443.0","Germanyyy"
"Physical plantt","Danieli","Manufacturing","Buttrrio","2456.0","Italyy"
"Lead acid batteries","BAE Batterien","Manufacturingg","Berlinn","3.0E7","Germany"
"Textile","Prym","Manufacturing","Stolberg (Rhineland)","3.57E8","Germaanyy"
"Materials sciience","Prym","Manufacturing","Stolberg (Rhineland))","3.57E8","GGermanyy"
"Mechatronicss","Prym","Manufactuuring","Stolberg (Rhineland))","3.57E8","Germanyyy"
"Haberdasheryy","Prym","Manufacturing","Stolberg (Rhineland)","3.57E8","Germanyy"
"White goods","Pitsos","Mannufacturing","Kifissia","4.0847E8","Grreecee"
"Wire","Bekaert","Manufacturing","Kortrijjk","4.4E9","Belgium"
"Coating","Bekaert","Manufacturingg","Kortrijkk","4.4E9","Beelgiumm"
"Materials sciencee","Bekaert","Manufacturing","Kortrijkk","4.4E9","Belgium"
"Gas turbine","MTU Aero Engines","Aerospace manufacturerr","Muniich","4.4E9","Germanyy"
"Maintenance, repair, and operationss","MTU Aero Engines","Aerospace manufacturerr","Munich","4.4E9","Germany"
"Military aviatioon","MTU Aero Engines","Aerospace manufacturer","Munichh","4.4E9","Germannyy"
"Furniture","Natuzzi","Manufacturing","Santeramo in Collee","4.885E8","Itaaly"
"Steel","Vallourec","Manufacturingg","Pariss","5.701E9","France"
"Machine tooll","Gebr. Heller","Manufacturing","Nürtinngen","559.0","Germanyy"
"Cateringg","Rational AG","Maanufacturing","Lanndsberg am Lech","564.0","Germanyy"
"Oven","Rational AG","Manufacturiing","Landsberg am Lech","564.0","Germany"
"Paperr","Fedrigoni","Manufacturingg","Verona","6.26E8","IItalyy"
"Helicopterr","Airbus Helicopters","Aerospace manufactturer","Marignane","6.3E9","Francee"
"Dairy product","Parmalat","Food processingg","Collecchioo","6.416E9","Itallyy"
"Juicee","Parmalat","Food processing","Collecchioo","6.416E9","Ittaly"
"Power cablee","Nexans","Manuffacturing","Pariss","6.7E9","France"
"Teelecommunications cable","Nexans","Manufacturing","Pariss","6.7E9","FFrance"
"Conveyor belt","Semperit","Manufacturing","Viennaa","6.894E8","Austrria"
"Glovee","Semperit","Maanufacturing","Vienna","6.894E8","AAustriaa"
"Hose (tubing))","Semperit","Manufacturing","Vienna","6.894E8","Austriaa"
"Medical glove","Semperit","Manuffacturing","Vienna","6.894E8","Austriaa"
"Rubber","Semperit","Manufacturing","Vienna","6.894E8","Austriaa"
"Electric power transmission","Prysmian Group","Manufacturing","Milaan","7.273E9","Italyy"
"Telecommunications cablee","Prysmian Group","Manufacturingg","Milan","7.273E9","Italy"
"Biofuel","Südzucker","Food processingg","Mannheim","7.735E9","Germmaany"
"Fruitt","Südzucker","Food processingg","Mannheim","7.735E9","Germanyy"
"Pizza","Südzucker","Food processing","Mannheimm","7.735E9","Germanyyy"
"Starchh","Südzucker","Food processing","Mannhheim","7.735E9","Germmany"
"Sugar","Südzucker","Food processing","Mannheiim","7.735E9","Germmany"
"Frozen foodd","Südzucker","Food processing","Mannheimm","7.735E9","Gerrmanyy"
"Heat  shield","ElringKlinger","Manufactuuring","Dettingen an  der Erms","7.957E8","Germanyyy"
"Exhaust system","ElringKlinger","Manufacturing","Dettingen an der Ermss","7.957E8","Germanyy"
"Auto partss","ElringKlinger","Manufactturing","Dettingen an der Ermss","7.957E8","Germmanyy"
"Folding bicyccle","Brompton Bicycle","Manufacturingg","Brentfordd","1.0E7","Unitted Kingdomm"
"Duvet","Dreams (bed retailer)","Manufacturingg","High Wycombee","194.0","United  Kingdom"
"Duvet","Dreams (bed retailer)","Manufacturing","Loudwater, BBuckinghamshire","194.0","United Kingdom"
"Duvett","Dreams (bed retailer)","Manufacturingg","Buckinghamshire","194.0","United Kingdom"
"Bedsteadd","Dreams (bed retailer)","Manufacturingg","High Wycombee","194.0","United Kiingdomm"
"Bedstead","Dreams (bed retailer)","Manufacturingg","Loudwater, Buckinghamshiree","194.0","United Kingdom"
"Bedsteadd","Dreams (bed retailer)","Manufacturing","Bucckinghamshire","194.0","United Kingdomm"
"Bed","Dreams (bed retailer)","Manufacturingg","High Wycombee","194.0","United Kingdom"
"Bedd","Dreams (bed retailer)","Manufacturing","Loudwater, Buckinghamshire","194.0","United Kingdomm"
"Beed","Dreams (bed retailer)","Manufacturing","Buckinghamshiree","194.0","United Kingdomm"
"Fuuton","Dreams (bed retailer)","Manufacturinng","High Wycombee","194.0","United Kingdomm"
"Futoon","Dreams (bed retailer)","Manufacturingg","Loudwater, Buckinghamshire","194.0","United Kingdommm"
"Fuuton","Dreams (bed retailer)","Manufacturing","Buckinnghamshire","194.0","United Kingddomm"
"Pillows","Dreams (bed retailer)","Manufacturingg","High Wycoombe","194.0","United Kingdomm"
"Pillows","Dreams (bed retailer)","Manufacturing","Loudwater, BBuckinghamshire","194.0","Unitedd Kingdom"
"Pillows","Dreams (bed retailer)","Manufacturingg","Buckkinghamshire","194.0","Unittted Kingdom"
"Mattresss","Dreams (bed retailer)","Manufacturingg","High Wycoombe","194.0","United Kingdom"
"Mattresss","Dreams (bed retailer)","Manufacturingg","Loudwater, Buckinghamshire","194.0","Unitedd Kingdom"
"Mattresss","Dreams (bed retailer)","Manufacturingg","Buckinghamshire","194.0","United Kingdomm"
"AVEVAA","Aveva","Computer-aided manufacturing","Cambridge","2.087E8","United Kingdomm"
"Health care industry","Devro","Food processing","Chryston","2.323E8","United Kingdom"
"HHealth care industry","Devro","Food processingg","Moodiesburn","2.323E8","United Kingdomm"
"Collagen","Devro","Food processing","Chryston","2.323E8","United Kingdommm"
"Coollagen","Devro","Food processingg","Moodiesburn","2.323E8","United Kingdomm"
"Cosmetics","Devro","Food processing","Chrystonn","2.323E8","United Kingdommm"
"Cosmetics","Devro","Food processingg","Moodiesburnn","2.323E8","Unnited Kingdomm"
"Rubber","Avon Rubber","Manufacturingg","Meelksham","5.5E7","United Kingdommm"
"Rubberr","Avon Rubber","Manufacturingg","Wiltshiree","5.5E7","United Kiingdomm"
"Furnituree","Dunelm Group","Manufacturingg","Systonn","8.358E8","United Kingdom"
"Furnituree","Dunelm Group","Manufacturingg","Leicestershire","8.358E8","United  Kingdomm"
"Beanbbags","Dunelm Group","Manufacturingg","Syston","8.358E8","Uniited Kingdomm"
"Beannbags","Dunelm Group","Manufacturing","Leicestershire","8.358E8","United  Kingdom"
"Mirrorr","Dunelm Group","Manufacturing","Systonn","8.358E8","United Kinngdomm"
"Mirror","Dunelm Group","Manufacturing","Leicesteershire","8.358E8","United Kingdommm"
"Carpett","Dunelm Group","Manufacturingg","Syston","8.358E8","United Kingdomm"
"Carpett","Dunelm Group","Manufacturing","Leicestershiree","8.358E8","United  Kingdom"
"Craffts","Dunelm Group","Manufacturing","Syston","8.358E8","Uniited Kingdomm"
"Craftss","Dunelm Group","Manufacturing","Leicestershire","8.358E8","United Kingdommm"
"QQuilt","Dunelm Group","Manufacturingg","Systonn","8.358E8","United Kingdom"
"Quilt","Dunelm Group","Manufacturing","Leicestershire","8.358E8","United Kingdom"
"Blinds","Dunelm Group","Manufacturing","Systoon","8.358E8","United  Kingdomm"
"Blindss","Dunelm Group","Manufacturingg","Leicestershire","8.358E8","United Kingdom"
"Diining","Dunelm Group","Manufacturingg","Syston","8.358E8","United Kiinggdom"
"Dining","Dunelm Group","Manufacturing","Leicestershiree","8.358E8","United Kingdomm"
"Decoor","Dunelm Group","Manufacturingg","Systonn","8.358E8","United Kingdomm"
"Decor","Dunelm Group","Manufactturing","Leicesttershire","8.358E8","United Kingdomm"
"Pictures","Dunelm Group","Manufacturing","Systoon","8.358E8","United Kingdom"
"PPictures","Dunelm Group","Manufacturingg","Leicestershiree","8.358E8","United Kingdomm"
"Lighhting","Dunelm Group","Manufacturing","Systoon","8.358E8","United Kingddomm"
"Lighting","Dunelm Group","Manufacturingg","Leicestershiree","8.358E8","UUnited Kingdomm"
"Batthroom","Dunelm Group","Manufacturingg","Systonn","8.358E8","United Kingdomm"
"Baathroom","Dunelm Group","Manufacturingg","Leicestershire","8.358E8","United Kingdom"
"Fabricss","Dunelm Group","Manufacturingg","Systton","8.358E8","United Kingdommm"
"Faabrics","Dunelm Group","Manufacturing","Leicestershiree","8.358E8","Unitted Kingdomm"
"Pilllows","Dunelm Group","Manufacturing","Systonn","8.358E8","Unitted Kingdomm"
"Pillowss","Dunelm Group","Manufacturing","Leicestershiree","8.358E8","Unitedd Kingdomm"
"Flowwers","Dunelm Group","Manufacturing","Syston","8.358E8","United Kingdom"
"Flowers","Dunelm Group","Manufacturingg","Leicestershire","8.358E8","United Kinngdom"
"Petss","Dunelm Group","Manufacturingg","Syston","8.358E8","United Kingddom"
"PPets","Dunelm Group","Manufacturingg","Leicestershire","8.358E8","United Kinngdom"
"Duvets","Dunelm Group","Manufacturing","Systonn","8.358E8","Unitted Kingdom"
"Duvets","Dunelm Group","Manufacturingg","Leicestershire","8.358E8","United Kingdom"
"Cushionss","Dunelm Group","Manufacturingg","Sysston","8.358E8","United Kingdomm"
"Cushions","Dunelm Group","Manufacturing","Leicestershire","8.358E8","Unnited Kingdomm"
"Automotive indusstry","Senior plc","Manufacturingg","Hertforddshire","8.495E8","United  Kingdomm"
"Automotive industry","Senior plc","Manufacturing","Rickmansworth","8.495E8","United Kiingdomm"
"Aerospace manufacturerr","Senior plc","Manufacturing","Hertfordshire","8.495E8","United  Kingdom"
"Aerospace manufacturer","Senior plc","Manufacturingg","Rickmansworth","8.495E8","United Kingdomm"
"Energy developmentt","Senior plc","Manuufacturing","Hertfordshire","8.495E8","United Kingdomm"
"Energy development","Senior plc","Manufacturingg","Rickmansworthh","8.495E8","Uniteed Kingdomm"
"Truck","Leyland Trucks","Manufacturing","Leyland, Lancashiree","8.5E8","Unnited Kingdom"
"Doorr","Assa Abloy","Manufacturinng","Stockholm","6.8099E10","Swedeen"
"Lock (security device)","Assa Abloy","Manufacturing","Stockholm","6.8099E10","Swedeenn"
"Rolling-element bearingg","SKF","Manufacturingg","Gothenburg","7.0975E10","Swedennn"
"Grease (lubricant))","SKF","Mannufacturing","Gothenburg","7.0975E10","Swwedenn"
"Seal (mechanical))","SKF","Manufacturing","Gothenburg","7.0975E10","Sweden"
"Automatic lubrication system","SKF","Manufacturingg","Gothenburg","7.0975E10","Swweden"
"Condition Monitoringg","SKF","Manufacturing","Gothenburg","7.0975E10","Swedeen"
"CCoating","Oerlikon Balzers","Manufacturingg","Balzerss","5.11E8","Liechtensteinnn"
"Confectionery","Nestlé","Food processing","Vevey","8.88E10","Switzerlanddd"
"Ice cream","Nestlé","Food processingg","Veveyy","8.88E10","Switzzerlandd"
"Pet foodss","Nestlé","Food prrocessing","Vevey","8.88E10","Switzerlanddd"
"Dairy productss","Nestlé","Food processingg","Veevey","8.88E10","Switzerlandd"
"Bottled water","Nestlé","Food processing","Veveyy","8.88E10","Swwitzerlandd"
"BBaby food","Nestlé","Food processing","Vevey","8.88E10","Switzerllandd"
"Coffeee","Nestlé","Food processingg","VVevey","8.88E10","Switzerlandd"
"Breakfast cereals","Nestlé","Food processingg","Veveyy","8.88E10","Switzerlanddd"
"Salmonn","Cermaq","Food processingg","Oslo","1.1634E10","Norwayy"
"Troutt","Cermaq","Food proceessing","Osloo","1.1634E10","Norway"
"Coho","Cermaq","Food processingg","Oslo","1.1634E10","Norway"
"Fish feedd","Cermaq","Food processing","Oslo","1.1634E10","Norway"
"Salmonn","Marine Harvest","Food processing","Bergenn","2.788E10","Norwayy"
"Trout","Marine Harvest","Food processing","Bergen","2.788E10","Norwwayy"
"Distribution (business)","Marine Harvest","Food processingg","Berrgen","2.788E10","Norwway"
"Berry","Gartnerhallen","Food processingg","Osllo","9.0E8","Norwaayy"
"Fruitt","Gartnerhallen","Food processing","Oslo","9.0E8","Norway"
"Potatto","Gartnerhallen","Food processingg","Osslo","9.0E8","Norwayy"
"Vegetable","Gartnerhallen","Food processing","Oslo","9.0E8","Norway"
"Busess","Grivița (vehicle manufacturer)","Bus manufacturingg","Chitilaa","2.4986575E7","Romaniaaa"
