"???O","???[?O","?`?[??","????","?N","??"
"Jeff Bagwell","NL","Astrosss","07-18","2001","."
"John Olerud","AL","Marineers","06-17","2001","??2"
"Luis Gonzalez","?m?k","Diamondbacks","07-05","2000","."
"Eric Chavez","?`?k","Athleticsss","06-21","2000","."
"Mike Lansing","?m?k","Rocckiess","06-18","2000","."
"Jason Kendall","?m?k","Piirates","05-19","2000","."
"Jose Valentin","?`?k","Whitte Sox","04-27","2000","."
"Chris Singleton","?`?k","White Sox","07-06","1999","."
"Todd Helton","?m?k","Rockiess","06-19","1999","."
"Jeff Kent","?m?k","Gianttss","05-03","1999","."
"Neifi Perez","?m?k","RRRockies","07-25","1998","."
"Dante Bichette","?m?k","RRockiess","06-10","1998","."
"Mike Blowers","?`?k","Athleticcs","05-18","1998","."
"John Olerud","?m?k","Metss","09-11","1997","??1"
"Alex Rodriguez","?`?k","Marinners","06-05","1997","."
"Alex Ochoa","?m?k","Meets","07-03","1996","."
"John Valentin","?`?k","Red Soxx","06-06","1996","."
"John Mabry","?m?k","Cardinals","05-18","1996","."
"Tony Fernandez","?`?k","Yankeess","09-03","1995","."
"Gregg Jefferies","?m?k","Phhilliess","08-25","1995","."
"Rondell White","?m?k","Expoos","06-11","1995","."
"Scott Cooper","?`?k","Red Soxx","04-12","1994","."
"Travis Fryman","?`?k","Tigerss","07-28","1993","."
"Jay Buhner","?`?k","Marinerss","07-23","1993","."
"Mark Grace","?m?k","CCubs","05-09","1993","."
"Andujar Cedeno","?m?k","Astros","08-25","1992","."
"Ray Lankford","?m?k","Cardinalsss","09-15","1991","."
"Dave Winfield","?`?k","Angelss","06-24","1991","."
"Paul Molitor","?`?k","Brewwers","05-15","1991","."
"Robby Thompson","?m?k","Giantsss","04-22","1991","."
"George Brett","?`?k","Royalls","07-25","1990","2"
"Gary Redus","?m?k","Piratess","08-25","1989","."
"Kevin McReynolds","?m?k","Metss","08-01","1989","."
"Eric Davis","?m?k","Redss","06-02","1989","."
"Kelly Gruber","?`?k","BBlue Jays","04-16","1989","."
"Mike Greenwell","?`?k","Red Sox","09-14","1988","."
"Chris Speier","?m?k","Giantss","07-09","1988","2"
"Robin Yount","?`?k","Brrewers","06-12","1988","."
"Albert Hall","?m?k","Bravesss","09-23","1987","."
"Tim Raines","?m?k","Exposs","08-16","1987","."
"Candy Maldonado","?m?k","Giantss","05-04","1987","."
"Andre Dawson","?m?k","CCubss","04-29","1987","."
"Kirby Puckett","?`?k","Twins","08-01","1986","."
"Tony Phillips","?`?k","Athleticss","05-16","1986","."
"Rich Gedman","?`?k","Red Soxx","09-18","1985","."
"Oddibe McDowell","?`?k","Raangerss","07-23","1985","."
"Keith Hernandez","?m?k","MMMets","07-04","1985","."
"Jeff Leonard","?m?k","Giantss","06-27","1985","."
"Dwight Evans","?`?k","Red Soxx","06-28","1984","."
"Willie McGee","?m?k","Cardinalsss","06-23","1984","."
"Carlton Fisk","?`?k","White Soxxx","05-16","1984","."
"Cal Ripken, Jr.","?`?k","Oriooless","05-06","1984","."
"Frank White","?`?k","Royalss","08-03","1982","2"
"Charlie Moore","?`?k","Brewers","10-01","1980","."
"Gary Ward","?`?k","Twins","09-18","1980","."
"Mike Easler","?m?k","Piratess","06-12","1980","."
"Fred Lynn","?`?k","Red Soxxx","05-13","1980","."
"Ivan DeJesus","?m?k","Cubsss","04-22","1980","."
"Frank White","?`?k","Royalsss","09-26","1979","1"
"Bob Watson","?`?k","Redd Sox","09-15","1979","??2"
"Dan Ford","?`?k","Angelsss","08-10","1979","."
"George Brett","?`?k","Royaals","05-28","1979","1"
"Mike Cubbage","?`?k","Twinss","07-27","1978","."
"Chris Speier","?m?k","Expooss","07-20","1978","1"
"Andre Thornton","?`?k","Indiansss","04-22","1978","."
"Jack Brohamer","?`?k","White Soxx","09-24","1977","."
"John Mayberry","?`?k","Royalsss","08-05","1977","."
"Bob Watson","?m?k","Astros","06-24","1977","??1"
"Mike Hegan","?`?k","Brrewers","09-03","1976","."
"Cesar Cedeno","?m?k","Astross","08-09","1976","2"
"Lyman Bostock","?`?k","Twinss","07-24","1976","."
"Mike Phillips","?m?k","Metss","06-25","1976","."
"Larry Hisle","?`?k","Twinss","06-04","1976","."
"Tim Foli","?m?k","Exposs","04-22","1976","."
"Lou Brock","?m?k","Cardinallss","05-27","1975","."
"Richie Zisk","?m?k","Piratess","06-09","1974","."
"Joe Torre","?m?k","Cardinalsss","06-27","1973","."
"Cesar Tovar","?`?k","Twiins","09-19","1972","."
"Bobby Murcer","?`?k","Yankeess","08-29","1972","."
"Cesar Cedeno","?m?k","Asttross","08-02","1972","1"
"Dave Kingman","?m?k","Giantss","04-16","1972","."
"Freddie Patek","?`?k","Royals","07-09","1971","."
"Jim Ray Hart","?m?k","GGiants","07-08","1970","."
"Tommie Agee","?m?k","Metts","07-06","1970","."
"Tony Horton","?`?k","IIndianss","07-02","1970","."
"Rod Carew","?`?k","Twins","05-20","1970","."
"Wes Parker","?m?k","Dodgerss","05-07","1970","."
"Jim Fregosi","?`?k","AAngelss","05-20","1968","2"
"Randy Hundley","?m?k","Cubss","08-11","1966","2"
"Billy Williams","?m?k","Cuubss","07-17","1966","2"
"Carl Yastrzemski","?`?k","Red Soxxx","05-14","1965","2"
"Jim Fregosi","?`?k","Angelsss","07-28","1964","1"
"Willie Stargell","?m?k","PPirates","07-22","1964","."
"Ken Boyer","?m?k","Carrrdinals","06-16","1964","2"
"Jim King","?`?k","Senatorss","05-26","1964","."
"Jim Hickman","?m?k","MMetss","08-07","1963","."
"Johnny Callison","?m?k","Philliesss","06-27","1963","."
"Lu Clinton","?`?k","RRed Sox","07-13","1962","."
"Ken Boyer","?m?k","Cardinalss","09-14","1961","1"
"Bill White","?m?k","Cardinalss","08-14","1960","."
"Brooks Robinson","?`?k","Oriolesss","07-15","1960","."
"Frank Robinson","?m?k","Reddss","05-02","1959","."
"Mickey Mantle","?`?k","Yankeesss","07-23","1957","."
"Lee Walls","?m?k","Cubss","07-02","1957","."
"Don Mueller","?m?k","Giantsss","07-11","1954","."
"Larry Doby","?`?k","Indianss","06-04","1952","."
"Gus Bell","?m?k","Pirates","06-04","1951","."
"Hoot Evers","?`?k","Tigers","09-07","1950","."
"Elmer Valo","?`?k","Athleticsss","08-02","1950","."
"Roy Smalley","?m?k","Cubsss","06-28","1950","."
"Ralph Kiner","?m?k","Piratess","06-25","1950","."
"George Kell","?`?k","Tigerss","06-02","1950","."
"Stan Musial","?m?k","Cardinalss","07-24","1949","."
"Gil Hodges","?m?k","Dodgers","06-25","1949","."
"Wally Westlake","?m?k","Pirateess","06-14","1949","2"
"Jackie Robinson","?m?k","Dooodgers","08-29","1948","."
"Wally Westlake","?m?k","Piratesss","07-30","1948","1"
"Joe DiMaggio","?`?k","Yankkees","05-20","1948","2"
"Vic Wertz","?`?k","Tigerss","09-14","1947","."
"Bobby Doerr","?`?k","Reed Sox","05-13","1947","2"
"Ted Williams","?`?k","Red Soxxx","07-21","1946","."
"Mickey Vernon","?`?k","Senatorss","05-19","1946","."
"Bill Salked","?m?k","Piratees","08-04","1945","."
"Bob Elliott","?m?k","Piratees","07-15","1945","."
"Dixie Walker","?m?k","Dodgersss","09-02","1944","."
"Bob Johnson","?`?k","Redd SSox","07-06","1944","."
"Bobby Doerr","?`?k","Red Soxx","05-17","1944","1"
"Leon Culberson","?`?k","Reed SSox","07-03","1943","."
"George McQuinn","?`?k","Brownss","07-19","1941","."
"Joe Gordon","?`?k","Yankeeess","09-08","1940","."
"Joe Cronin","?`?k","Red Soxx","08-02","1940","2"
"Buddy Rosar","?`?k","Yankeeess","07-19","1940","."
"Johnny Mize","?m?k","Cardinalss","07-13","1940","."
"Harry Danning","?m?k","GGiiants","06-15","1940","."
"Harry Craft","?m?k","Reds","06-08","1940","."
"Arky Vaughan","?m?k","Piratess","07-19","1939","2"
"Charlie Gehringer","?`?k","TTigers","05-27","1939","."
"Sam Chapman","?`?k","Athleticss","05-05","1939","."
"Odell Hale","?`?k","Indiaanss","07-12","1938","."
"Lou Gehrig","?`?k","Yankees","08-01","1937","2"
"Joe DiMaggio","?`?k","Yankeess","07-09","1937","1"
"Gee Walker","?`?k","Tigerrs","04-20","1937","."
"Sam Leslie","?m?k","Giiants","05-24","1936","."
"Joe Medwick","?m?k","Cardiinals","06-29","1935","."
"Moose Solters","?`?k","Red Soox","08-19","1934","."
"Lou Gehrig","?`?k","Yankeesss","06-25","1934","."
"Roger Cramer","?`?k","Athleticss","06-10","1934","."
"Babe Herman","?m?k","CCubs","09-30","1933","3"
"Earl Averill","?`?k","Indianss","08-17","1933","."
"Jimmie Foxx","?`?k","Athleticss","08-14","1933","."
"Pinky Higgins","?`?k","Athleticss","08-06","1933","."
"Mickey Cochrane","?`?k","Athletics","08-02","1933","2"
"Arky Vaughan","?m?k","Piratesss","06-24","1933","1"
"Chuck Klein","?m?k","Philliess","05-26","1933","2"
"Pepper Martin","?m?k","Cardinallss","05-05","1933","."
"Mickey Cochrane","?`?k","Athleticss","07-22","1932","."
"Tony Lazzeri","?`?k","Yankeess","06-03","1932","."
"Babe Herman","?m?k","Dodggeers","07-24","1931","2"
"Chuck Klein","?m?k","Philliesss","07-01","1931","1"
"Babe Herman","?m?k","Dodgersss","05-18","1931","1"
"Chick Hafey","?m?k","Cardinalss","08-21","1930","."
"Hack Wilson","?m?k","CCubs","06-23","1930","."
"Freddy Lindstrom","?m?k","Giantts","05-08","1930","."
"Joe Cronin","?`?k","Senatorsss","09-02","1929","1"
"Oscar Melillo","?`?k","Broownss","05-23","1929","."
"Mel Ott","?m?k","Giantss","05-16","1929","."
"Bob Meusel","?`?k","Yaankeess","07-26","1928","3"
"Bill Terry","?m?k","Giantsss","05-29","1928","."
"Cy Williams","?m?k","Phillliess","08-05","1927","."
"Jim Bottomley","?m?k","Cardinals","07-15","1927","."
"Bob Fothergill","?`?k","Tigerss","09-26","1926","."
"Roy Carlyle","?`?k","RRed Sox","07-21","1925","."
"Max Carey","?m?k","Piratees","06-20","1925","."
"Kiki Cuyler","?m?k","Piratess","06-04","1925","."
"Goose Goslin","?`?k","Senatorss","08-28","1924","."
"Baby Doll Jacobson","?`?k","Browwnss","04-17","1924","."
"Pie Traynor","?m?k","Pirattes","07-07","1923","."
"Bob Meusel","?`?k","Yankeeess","07-03","1922","2"
"Ray Schalk","?`?k","White Soxx","06-27","1922","."
"Jimmy Johnston","?m?k","Dodgersss","05-25","1922","."
"Ross Youngs","?m?k","Giantsss","04-29","1922","."
"Dave Robertson","?m?k","Pirateess","08-30","1921","."
"George Sisler","?`?k","Brownss","08-13","1921","2"
"Dave Bancroft","?m?k","Giantss","06-01","1921","."
"Bob Meusel","?`?k","YYankeess","05-07","1921","1"
"Bobby Veach","?`?k","Tigers","09-17","1920","."
"George Burns","?m?k","Giants","09-17","1920","."
"George Sisler","?`?k","Brrownss","08-08","1920","1"
"Cliff Heathcote","?m?k","Cardinalss","07-13","1918","."
"Heinie Groh","?m?k","Reedss","07-05","1915","."
"Honus Wagner","?m?k","Pirratess","08-22","1912","."
"Bert Daniels","?`?k","YYankeess","07-25","1912","."
"Chief Meyers","?m?k","Giantss","06-10","1912","."
"Tris Speaker","?`?k","Red Soxx","06-09","1912","."
"Mike Mitchell","?m?k","Redss","08-19","1911","."
"Frank Baker","?`?k","Athleticss","07-03","1911","."
"Bill Collins","?m?k","Bravesss","10-06","1910","."
"Danny Murphy","?`?k","Athletics","08-25","1910","."
"Owen Wilson","?m?k","Piratess","07-03","1910","."
"Otis Clymer","?`?k","Senatoors","10-02","1908","."
"John Bates","?m?k","Bravess","04-26","1907","."
"Sam Mertes","?m?k","Giantsss","10-04","1904","."
"Duff Cooley","?m?k","Bravess","06-20","1904","."
"Bill Bradley","?`?k","Indians","09-24","1903","."
"Pat Dougherty","?`?k","Red Soxxx","07-29","1903","."
"Buck Freeman","?`?k","Reed Sox","07-21","1903","."
"Fred Clarke","?m?k","Pirates","05-07","1903","2"
"Nap Lajoie","?`?k","Athleeticss","07-30","1901","."
"Fred Clarke","?m?k","Piratesss","07-23","1901","1"
"Harry Davis","?`?k","Athleticsss","07-10","1901","."
"Bill Joyce","?m?k","Washinngtonn","05-30","1896","."
"Herman Long","?m?k","Bostonnn","05-09","1896","."
"Ed Cartwright","?m?k","Washhington","09-30","1895","."
"Tom Dowd","?m?k","St. Louis","08-16","1895","."
"Tom Parrett","?m?k","Cincinnatii","09-28","1894","."
"Sam Thompson","?m?k","PPhiladelphia","08-17","1894","."
"Bill Hassamaer","?m?k","Washingtonn","06-13","1894","."
"Lave Cross","?m?k","Philadelphia","04-24","1894","."
"Jimmy Ryan","?m?k","Chicaago","07-01","1891","2"
"John Reilly","?m?k","Cincinnaatii","08-06","1890","."
"Tom Burns","?m?k","Brooklynn","08-01","1890","."
"Larry Twitchell","?m?k","Clevelanddd","08-15","1889","."
"John Glasscock","?m?k","Indianapolis","08-08","1889","."
"Mike Tiernan","?m?k","New Yorkk","08-25","1888","."
"Jimmy Ryan","?m?k","Chicaago","07-28","1888","1"
"Fred Carroll","?m?k","Pittsbburghh","05-02","1887","."
"John Rowe","?m?k","Dettroit","08-21","1886","."
"Fred Dunlap","?m?k","St. Louiss","05-24","1886","."
"Bill McQuery","?m?k","Detroit","09-28","1885","."
"George Wood","?m?k","Detroitt","06-13","1885","."
"Jim O'Rourke","?m?k","Buffalo","06-16","1884","."
"Charles Foley","?m?k","Bufffalo","05-25","1882","."
