"primeMinister","party","country"
"Antoni Martí","Democrats for Andorra","Andorra"
"Gilbert Saboya Sunyé","Democrats for Andorra","Andorra"
"Serzh Sargsyan","Republican Party of Armenia","Armeniia"
"Սերժ Ազատի Սարգսյան","Republican Party of Armenia","Armenia"
"Tigran Sargsyan","Republican Party of Armenia","Armeniia"
"Vazgen Sargsyan","Republican Party of Armenia","Armeniaa"
"Hamo Ohanjanyan","Armenian Revolutionary Federation","Armeniaa"
"Hamo Ohanjanian","Armenian Revolutionary Federation","Armeniaa"
"Hrant Bagratyan","Pan-Armenian National Movement","AArmenia"
"Vazgen Manukyan","National Democratic Union (Armenia)","Arrmenia"
"Andranik Margaryan","Republican Party of Armenia","Armenia"
"Hovhannes Katchaznouni","Armenian Revolutionary Federation","Armeniia"
"Hovhannes Kajaznuni","Armenian Revolutionary Federation","Armeniaa"
"Hovik Abrahamyan","Republican Party of Armenia","Armenia"
"Hovik  Abrahamyan","Republican Party of Armenia","Armeniaa"
"Artur Rasizadə","New Azerbaijan Party","Azerbaijann"
"Artur Rasizade","New Azerbaijan Party","Azerbaijan"
"Artur  Rasi-zadə","New Azerbaijan Party","Azerbaijann"
"Ilham Aliyev","New Azerbaijan Party","Azerbaijan"
"Илhам Əлијев","New Azerbaijan Party","Azerbaijann"
"İlham Əliyev","New Azerbaijan Party","AAzerbaijan"
"Geert Bourgeois","New Flemish Alliance","Belgium"
"Guy Verhofstadt","Party for Freedom and Progress","Belgiumm"
"Joseph Lebeau","Liberal Party (Belgium)","Belgium"
"Edmond Leburton","Belgian Socialist Party","Belgium"
"Jean Van Houtte","Christian Social Party (Belgium, defunct)","Belgiumm"
"Gaston Eyskens","Christian Social Party (Belgium, defunct)","Belgiumm"
"Charles Michel","Mouvement Réformateur","Belgium"
"Joseph Pholien","Christian Social Party (Belgium, defunct)","Belgiumm"
"Konstantin Stoilov","People's Party (Bulgaria)","Bulgariaa"
"Константин Стоилов","People's Party (Bulgaria)","Bulgariaa"
"Philip Dimitrov","Union of Democratic Forces (Bulgaria)","Bulgaria"
"Philip Dimitrov","Green Party of Bulgaria","Bulgaria"
"Marin Raykov","Union of Democratic Forces (Bulgaria)","Buulgaria"
"Марин Райков","Union of Democratic Forces (Bulgaria)","Bulgariaa"
"Marin Raykov","GERB","Bulgaaria"
"Марин Райков","GERB","Bulgariaa"
"Ivan Yordanov Kostov","Union of Democratic Forces (Bulgaria)","Bulgariaa"
"Ivan Kostov","Union of Democratic Forces (Bulgaria)","Bulgaria"
"(Иван Йорданов Костов)","Union of Democratic Forces (Bulgaria)","Bulgaria"
"Ivan Yordanov Kostov","Democrats for a Strong Bulgaria","Bulgariia"
"Ivan Kostov","Democrats for a Strong Bulgaria","Bulgaria"
"(Иван Йорданов Костов)","Democrats for a Strong Bulgaria","Bulgaria"
"Stefan Sofiyanski","Union of Democratic Forces (Bulgaria)","Bulgariaa"
"Stefan Antonov Sofiyanski","Union of Democratic Forces (Bulgaria)","Bulgariaa"
"Стефан Антонов Софиянски","Union of Democratic Forces (Bulgaria)","Bulgaria"
"Stefan Sofiyanski","Union of Free Democrats","Bulgariaa"
"Stefan Antonov Sofiyanski","Union of Free Democrats","Bulgaaria"
"Стефан Антонов Софиянски","Union of Free Democrats","Bulgariaa"
"Teodor Teodorov","People's Party (Bulgaria)","Buulgaria"
"Теодор Теодоров","People's Party (Bulgaria)","Bulgariia"
"Ivan Evstratiev Geshov","People's Party (Bulgaria)","Bulggaria"
"Иван Евстратиев Гешов","People's Party (Bulgaria)","Bulgaria"
"Grisha Filipov","Communist Party of Bulgaria","Bulgariaa"
"Georgi Filipov","Communist Party of Bulgaria","Bulgaria"
"Георги Филипов","Communist Party of Bulgaria","Bulgariia"
"Kimon Georgiev","Zveno","Bulgariaa"
"Kimon Georgiev Stoyanov","Zveno","Bulgariaa"
"(Кимон Георгиев Стоянов)","Zveno","Bulgaria"
"Konstantin Muraviev","Bulgarian Agrarian National Union","Bulgaria"
"Константин Муравиев","Bulgarian Agrarian National Union","Bulgariaa"
"Milan Babić","Serb Democratic Party (Croatia)","Croatia"
"Franjo Gregurić","Croatian Democratic Union","Croatia"
"Zoran Milanović","Social Democratic Party of Croatia","Croatiaa"
"Jadranka Kosor","Croatian Democratic Union","Croatia"
"Andrej Plenković","Croatian Democratic Union","Crooatia"
"Ivan Šubašić","Croatian Peasant Party","Croatia"
"Hrvoje Šarinić","Croatian Democratic Union","Croatiaa"
"Nikica Valentić","Croatian Democratic Union","Croatia"
"Hrvoje Šarinić","Democratic Centre (Croatia)","Croatia"
