"city","state"
"Albuqerque","New Mexico, NM"
"Algonkwin","Illinois, IL"
"Alentown","Pennsylvania, PA"
"Andarson","South Carolina, SC"
"Artesea","Mississippi, MS"
"Uaburn","Washington, WA"
"Ult","Colorado, CO"
"Batevia","Illinois, IL"
"Boyu La Bater","Alabama, AL"
"Baettie","Kansas, KS"
"Bemidje","Minnesota, MN"
"Berkley","California, CA"
"Berian Springs","Michigan, MI"
"Brerrian Springs","Michigan, MI"
"Bertrim","Texas, TX"
"Bethleham","Pennsylvania, PA"
"Bermingham","Alabama, AL"
"Bozman","Montana, MT"
"Brunswik","Missouri, MO"
"Bunena","California, CA"
"Bute","Montana, MT"
"Butt","Montana, MT"
"Champaigne-Urbana","Illinois, IL"
"Chandlur","Arizona, AZ"
"Chatswourth","California, CA"
"Clerk","South Dakota, SD"
"Coahcela","California, CA"
"Cochella","California, CA"
"Collinsvile","Illinois, IL"
"Columbea","South Carolina, SC"
"Cottonwod Heights","Utah, UT"
"Crested But","Colorado, CO"
"Crested Butt","Colorado, CO"
"Decalb","Illinois, IL"
"Demopalis","Alabama, AL"
"Dery","New Hampshire, NH"
"Dicinson","North Dakota, ND"
"Dogde City","Kansas, KS"
"Debach","Louisiana, LA"
"Dyersvile","Iowa, IA"
"Il Pase","Texas, TX"
"L Rino","Oklahoma, OK"
"Elberten","Georgia, GA"
"Ustis","Florida, FL"
"Fayetville","Arkansas, AR"
"Gallilee","Rhode Island, RI"
"Gaelord","Michigan, MI"
"Goeleta","California, CA"
"Gonzals","Louisiana, LA"
"Greely","Colorado, CO"
"Grifin","Georgia, GA"
"Grinell","Iowa, IA"
"Heracles","California, CA"
"Llwaco","Washington, WA"
"Kaizer","Oregon, OR"
"Keizar","Oregon, OR"
"Kiokuck","Iowa, IA"
"Kechikan","Alaska, AK"
"Knoxvile","Tennessee, TN"
"Lake Auswego","Oregon, OR"
"Lecompt","Louisiana, LA"
"Leeola","South Dakota, SD"
"Linclon","Alabama, AL"
"Lethonia","Georgia, GA"
"Lompack","California, CA"
"Lynchberg","Virginia, VA"
"Manchestar","Connecticut, CT"
