"city","state"
"Alamedda","California, CA"
"Albanee","Oregon, OR"
"Allbany","New York, NY"
"Albertvile","Alabama, AL"
"Abaquerque","New Mexico, NM"
"Albequerque","New Mexico, NM"
"Albuqerque","New Mexico, NM"
"Allgona","Iowa, IA"
"Algonkwen","Illinois, IL"
"Alentown","Pennsylvania, PA"
"An Arbor","Michigan, MI"
"Aniston","Alabama, AL"
"Annoka","Minnesota, MN"
"Apexs","North Carolina, NC"
"Artesea","Mississippi, MS"
"Rvada","Colorado, CO"
"Atthol","Massachusetts, MA"
"Altanta","Georgia, GA"
"Aubern","Washington, WA"
"Alt","Colorado, CO"
"Arora","Colorado, CO"
"Uarora","Illinois, IL"
"Bakersfeild","California, CA"
"Bandira","Texas, TX"
"Bardston","Kentucky, KY"
"Bare","Vermont, VT"
"Bakster Springs","Kansas, KS"
"Bayou La Bater","Alabama, AL"
"Beatie","Kansas, KS"
"Beever","Oklahoma, OK"
"Bever","Oklahoma, OK"
"Beleevue","Washington, WA"
"Bemidje","Minnesota, MN"
"Bemidjee","Minnesota, MN"
"Berae","Kentucky, KY"
"Berkly","California, CA"
"Burlin","New Hampshire, NH"
"Berthood","Colorado, CO"
"Bertrim","Texas, TX"
"Bilocksi","Mississippi, MS"
"Bermingham","Alabama, AL"
"Birminghum","Alabama, AL"
"Brimingham","Alabama, AL"
"Bolder","Colorado, CO"
"Brekenridge","Colorado, CO"
"Breverd","North Carolina, NC"
"Brunswik","Missouri, MO"
"Benua","California, CA"
"Bulh","Idaho, ID"
"Biram Township","New Jersey, NJ"
"Callwel","Texas, TX"
"Campbele","California, CA"
"Castro Ville","California, CA"
"Castrovile","California, CA"
"Carker City","Kansas, KS"
"Centrel City","Colorado, CO"
"Chadborn","North Carolina, NC"
"Champaign -Urbana","Illinois, IL"
"Champaign Urbana","Illinois, IL"
"Charleton","South Carolina, SC"
"Chatswourth","California, CA"
"Chatanoga","Tennessee, TN"
"Chatanooga","Tennessee, TN"
"Cheyene","Wyoming, WY"
"Chicargo","Illinois, IL"
"Checo","California, CA"
"Cheico","California, CA"
"Chola Vista","California, CA"
"Cinsinati","Ohio, OH"
"Cinsinnati","Ohio, OH"
"Sincinnati","Ohio, OH"
"Clefton","Texas, TX"
"Coahcela","California, CA"
"Codee","Wyoming, WY"
"Codi","Wyoming, WY"
"Collinsvile","Illinois, IL"
"Clumbia","Maryland, MD"
"Colubus","Ohio, OH"
"Colvile","Washington, WA"
"Conaway","Arkansas, AR"
"Coperstown","New York, NY"
"Cornning","California, CA"
"Cornning","New York, NY"
"Coricana","Texas, TX"
"Cottonwod Heights","Utah, UT"
"Crawferd","Nebraska, NE"
"Crede","Colorado, CO"
"Crested But","Colorado, CO"
"Crisfeild","Maryland, MD"
"Ceuro","Texas, TX"
"Cuaro","Texas, TX"
"Dawlten","Georgia, GA"
"Dawlton","Georgia, GA"
"Dally City","California, CA"
"Danvile","Kentucky, KY"
"Daveis","California, CA"
"Davisen","Michigan, MI"
"Dawsen","Georgia, GA"
"Daeton","Ohio, OH"
"DeeKalb","Illinois, IL"
"Dear Trail","Colorado, CO"
"Daland","Florida, FL"
"Denvile","New Jersey, NJ"
"Des Monies","Iowa, IA"
"Dogde City","Kansas, KS"
"Doglas","Wyoming, WY"
"Dovar","Delaware, DE"
"Drumrite","Oklahoma, OK"
"Dummas","Arkansas, AR"
"Aegle Lake","Texas, TX"
"Eeton","Colorado, CO"
"Eil Paso","Texas, TX"
"Lgen","South Carolina, SC"
"Lgin","South Carolina, SC"
"Elkheart","Indiana, IN"
"Emmerson","Arkansas, AR"
"Eutes","Florida, FL"
"Ustis","Florida, FL"
"Fallbroock","California, CA"
"Farmingten","Maine, ME"
"Faeteville","Arkansas, AR"
"Fayettville","Arkansas, AR"
"Fayetvile","North Carolina, NC"
"Fayetville","Arkansas, AR"
"Flagstaf","Arizona, AZ"
"Forestvile","California, CA"
"Forrestville","California, CA"
"Fort Dogde","Iowa, IA"
"Fort Le","New Jersey, NJ"
"Fort Waine","Indiana, IN"
"Fort Wort","Texas, TX"
"Fortesceu","New Jersey, NJ"
"Fullton","New York, NY"
"Gainsvile","Florida, FL"
"Gainsvile","Georgia, GA"
"Galverten","Texas, TX"
"Galvestin","Texas, TX"
"Garry","Indiana, IN"
"Gaelord","Michigan, MI"
"Genao","Nevada, NV"
"Gillroy","California, CA"
"Glendele","California, CA"
"Goeleta","California, CA"
"Golleta","California, CA"
"Granvile","New York, NY"
"Greenfeild","California, CA"
"Greenvile","Alabama, AL"
"Greenvile","South Carolina, SC"
"Greenwod","South Carolina, SC"
"Griggsvile","Illinois, IL"
"Groten","Connecticut, CT"
"Haisenda Heights","California, CA"
"Hadly","Massachusetts, MA"
"Hains","Alaska, AK"
"Hanies City","Florida, FL"
"Haynes City","Florida, FL"
"Hamelton","Texas, TX"
"Hamondsport","New York, NY"
"Hanibal","Missouri, MO"
"Hartferd","Connecticut, CT"
"Hartsele","Alabama, AL"
"Hattesburg","Mississippi, MS"
"Haversstraw","New York, NY"
"Heracles","California, CA"
"Hurshy","Pennsylvania, PA"
"Holtvile","California, CA"
"Holyoak","Massachusetts, MA"
"Hoston","Texas, TX"
"Huntingdon Beach","California, CA"
"Huntsvile","Alabama, AL"
"Llwaco","Washington, WA"
"Indepandence","Missouri, MO"
"Independance","Missouri, MO"
"Indianaopolis","Indiana, IN"
"Inianapolis","Indiana, IN"
"Inolah","Oklahoma, OK"
"Iselton","California, CA"
"Istelon","California, CA"
"Jakson","Michigan, MI"
"Jakson","Mississippi, MS"
"Jenings","Louisiana, LA"
"Jerom","Arizona, AZ"
"Jersy City","New Jersey, NJ"
"Johnston","Pennsylvania, PA"
"Jolliet","Illinois, IL"
"Jonesborough","Arkansas, AR"
"Jeenay","Alaska, AK"
"Jenau","Alaska, AK"
"Junaeu","Alaska, AK"
"Kalisspell","Montana, MT"
"Caufman","Texas, TX"
"Kafman","Texas, TX"
"Kufman","Texas, TX"
"Kene","New Hampshire, NH"
"Kenne","New Hampshire, NH"
"Kaiser","Oregon, OR"
"Kaizer","Oregon, OR"
"Keani","Alaska, AK"
"Kennisaw","Georgia, GA"
"Kenten","Tennessee, TN"
"Kiokuck","Iowa, IA"
"Kiokuk","Iowa, IA"
"Kechikan","Alaska, AK"
"Ketchekan","Alaska, AK"
"Kirikland","Washington, WA"
"Kircwood","Missouri, MO"
"Kuhnick","Alaska, AK"
"Kunik","Alaska, AK"
"Nik","Alaska, AK"
"Knoxvile","Tennessee, TN"
"Codiak","Alaska, AK"
"Lafayate","Louisiana, LA"
"Lake Auswego","Oregon, OR"
"Lebannon","Tennessee, TN"
"Lenor","Tennessee, TN"
"Lexingtown","Massachusetts, MA"
"Linclon","Alabama, AL"
"Linculn","Alabama, AL"
"Lody","California, CA"
"Lompac","California, CA"
"Lenchburg","Virginia, VA"
"Magie Valley","North Carolina, NC"
"Manhatan","Kansas, KS"
