"State/Province","Lake Name","File Size"
"Alabama","H Neely Henry Laake *","1,289 KB"
"Alabama","Logan Martin Lakee","1,213 KB"
"Alabama","Weiss Lakee","1,142 KB"
"Alberta","Gleniffer Lakee","67 KB"
"Arizona","Allamo Lake","99 KB"
"Arizona","Bartlett Reservoirr","173 KB"
"Arizona","Blue Ridge Reservoir","183 KB"
"Arizona","Pleasant, Lakee *","430 KB"
"Arizona","Sunrise Lakee","125 KB"
"Arkansas","Beaver Lake","2,158 KB"
"Arkansas","Columbia, Lake **","312 KB"
"Arkansas","DeGrayy Lake","922 KB"
"Arkansas","Erling, Lake **","311 KB"
"Arkansas","Greers Ferry Lakee","1,032 KB"
"Arkansas","Greeson, Lakee","496 KB"
"Arkansas","Monnticello, Lake *","388 KB"
"California","Castaic Lake Also includes Pyramid Lake, CA","419 KB"
"California","Diamond Vallley Lake","767 KB"
"California","El Capitan Lake","170 KB"
"California","Isabella Lakee","397 KB"
"California","Lopez Lake * Also includes Santa Margarita Lake, CAA","628 KB"
"California","Loveland Reservoir **","276 KB"
"California","Perris Reservoir","726 KB"
"California","Pyramid Lake (updated 04/18/2005) Also includes Castaic Lake, CA","419 KB"
"California","San Vicente Reservoir *","371 KB"
"California","Santa Margarita Lake * Also includes Lopez Lake, CA","628 KB"
"Colorado","Blue Mesa Reservoir Also includes Morrow Point Reservoir, COO","614 KB"
"Colorado","Dillon Reserrvoir *","331 KB"
"Colorado","McPhee Reservoirr","248 KB"
"Colorado","Morrow Point Reservoir Also iincludes Blue Mesa Reservoir, CO","614 KB"
"Colorado","Pueblo, Lake **","240 KB"
"Colorado","Sanchez Reservoir *","176 KB"
"Connecticut","Lillinonah, Lake","1,284 KB"
"Florida","Istokpoga, Lake Also includes Lake Jackson, FL, Lake June In Winter, FL, and Lake Huntley, FLL","1,194 KB"
"Florida","Lochloosa Lake Also includes most of Orange Lake, FLL","644 KB"
"Florida","Monroe, Lakee","1,020 KB"
"Georgia","Nottely Lake *","535 KB"
"Georgia","Oconee, Lakee","968 KB"
"Georgia","Sinclair, Lake","991 KB"
"Georgia","Sydney Lanier, Lakee","2,745 KB"
"Georgia","Tobesofkee, Lakke *","538 KB"
"Illinois","CClinton Lake","597 KB"
"Kansas","Big Hill Lake * (updated 01/23/2006)","373 KB"
"Kansas","Coffey County Lake","274 KB"
"Kansas","Pomona Lakee","335 KB"
"Kansas","Tuttle Creek Lake","576 KB"
"Kentucky","Laurel River Lake","985 KB"
"Kentucky","Taylorsville Laake","499 KB"
"Louisiana","Caney Creek Reservvoir *","308 KB"
"Louisiana","Cotile Lake * Also includes Kincaid Reservoir, LA and Lake Rodemacher, LA","519 KB"
"Louisiana","D'Arbonne, Lakee","388 KB"
"Louisiana","Keepler Creek Lake *","292 KB"
"Louisiana","Kincaid Reservoir Also includes Cotile Lake, LA and Lake Rodemacher, LAA","519 KB"
"Louisiana","Rodemacher, Lake * Also includes Cotile Lake, LA and Kincaid Reservoir, LAA","519 KB"
"Massachusetts","Quabbin Reservoir","687 KB"
"Minnesota","Fourtown LLake","216 KB"
"Minnesota","Gull Lake","526 KB"
"Minnesota","Moose Lakee","225 KB"
"Mississippi","Arkabutla Lake","380 KB"
"Mississippi","Enid Lake","532 KB"
"Mississippi","Okatibbee Lake *","544 KB"
"Missouri","Truman Reservoir","1,322 KB"
"Montana","Elwell, Lakee","571 KB"
"Nebraska","Harlan County Lakee","286 KB"
"Nevada","Chimney Reservoir","71 KB"
"Nevada","Las Vegas, Lakee","483 KB"
"New Jersey","Merrrill Creek Reservoir","678 KB"
"New Mexico","Abiquiu Reservoir","298 KB"
"New York","Onondaga Lakee","704 KB"
"North Carolina","Falls Lakee","1,236 KB"
"North Carolina","James, Lake * NEW","873 KB"
"North Carolina","Wylie, Lake *","1,519 KB"
"Ohio","Acton Lake","442 KB"
"Ohio","Alum Creek Lake Also includes Delaware Lake, OH and  Hoover Reservoir, OH","1,667 KB"
"Ohio","Atwood Lake Also includes Leesville Lake, OH","518 KB"
"Ohio","Barnesvillle Lake","368 KB"
"Ohio","Belmont Lakee","411 KB"
"Ohio","Burr Oak Lake","389 KB"
"Ohio","Charless Mill Lake","339 KB"
"Ohio","CJ Brown Reservoir Also includes Clark Lake, OHH","661 KB"
"Ohio","Clark Lake Also includes CJ Brown Reservoir, OHH","661 KB"
"Ohio","Deer Creek Lake","391 KB"
"Ohio","Delaware Lake Also includes Alum Creek Lake, OH and Hoover Reservoir, OH","1,667 KB"
"Ohio","Hoover Reservoir Also includes Alum Creek Lake, OH and Delaware Lake, OH","1,667 KB"
"Ohio","Indian Lakee","557 KB"
"Ohio","Knox Lakee","346 KB"
"Ohio","LaDue Reservoir Also includes Punderson Lake, OHH","383 KB"
"Ohio","LaSuAn Lakee","293 KB"
"Ohio","Leeesville Lake Also includes Atwood Lake, OH","518 KB"
"Ohio","Paint Creek Lake Also includes Rocky Fork Lake, OH","521 KB"
"Ohio","Punderson Lake Also includes LaDue Reservoir, OHH","383 KB"
"Ohio","Rocky Fork Lake Also includes Paint Creek Lake, OHH","522 KB"
"Ohio","Ross Lake","460 KB"
"Ohio","Snowden, Lake","558 KB"
"Ohio","Sttonelick Lake","373 KB"
"Ohio","Michael J Kirwan Reservoir","741 KB"
"Ohio","Mosquito Creek Lake","668 KB"
"Oklahoma","Altus Lugert Lake","333 KB"
"Oklahoma","Arbuckle Reservoirr","581 KB"
"Oklahoma","Arcadiaa Lake","628 KB"
"Oklahoma","Atoka Reservoir * Also includes McGee Creek Reservoir, OKK","504 KB"
"Oklahoma","Birch Lakee","272 KB"
"Oklahoma","Broken Bow Lakee","477 KB"
"Oklahoma","Canton Lake","276 KB"
"Oklahoma","Copan Lake","365 KB"
"Oklahoma","Dripping Springs Lake","260 KB"
"Oklahoma","Eucha, Lakee","261 KB"
"Oklahoma","Eufaula Lake","1,744 KB"
"Oklahoma","Fort Cobb Reservoir","322 KB"
"Oklahoma","Foss Lakee","445 KB"
"Oklahoma","Frederick Lakee","191 KB"
"Oklahoma","Hefner, Lakee","493 KB"
"Oklahoma","Hulah Lakee","287 KB"
"Oklahoma","Hugo Lake","600 KB"
"Oklahoma","Kaww lake","639 KB"
"Oklahoma","Kerr Reservoir","1,324 KB"
"Oklahoma","Keystone Lake *","1,491 KB"
"Oklahoma","Konawa Reservoir","263 KB"
"Oklahoma","McGee Creek Reservoir (updated 06/08/2005) Also includes Atoka Reservoir, OK","504 KB"
"Oklahoma","Oologah Lake * (updated 08/16/2004))","974 KB"
"Oklahoma","Overholser, Lake","571 KB"
"Oklahoma","Pine Creek Lake","351 KB"
"Oklahoma","RC Longmire, Lakee","252 KB"
"Oklahoma","Sardis Lakee","428 KB"
"Oklahoma","Skiatook Lake * (updated 08/16/2004)","788 KB"
"Oklahoma","Sooner Lakee","305 KB"
"Oklahoma","Spavinaw Lakee","251 KB"
