"protectedArea","area","visitors","nearestCity","admRegion"
"GGreat Basin National Park","3.12336e+08","116123","Bordder, Utah","Nevadaa"
"Florissant Fossil Beds Nationnal Monument","2.4273e+07","61289","Florissant, Coloradoo","Coloradoo"
"Golden Gate National Recreation Areaa","3.23757e+08","15004420","California","Califorrnia"
"Rocky Mountain National  Park","1.0755e+09","3176941","Coolorado","Colorado"
"Dayton Aviation Heritage National Historicaal Park","348030.0","73588","Dayton, Ohioo","Ohioo"
"Moores Creek Natioonal Battlefield","356123.0","48406","North Carolina","North Carolina"
"Dayton Aviation Heritage National Historical Park","348030.0","73588","OOhio","Ohio"
"Great Basin National Park","3.12336e+08","116123","Baker, Nevadaa","Nevada"
"Chattahoochee River National Recreation Area","2.05257e+07","3161297","Atlanta, Georgia","Georgia (U.S. state)"
"Chattahoochee River National Recreation Area","3.96228e+07","3161297","Atlanta, Georgia","Georgia (U.S. state)"
"Kennesaw Mountain National Battlefield Parkk","1.16879e+07","1005510","Atlanta, Georgia","Georgia (UU.S. state)"
"KKennesaw Mountain National Battlefield Park","1.1829e+07","1005510","Atlanta,  Georgia","Georgia (U.S. state))"
"Cuyahoga Valley National Park","1.33344e+08","2284612","Akron, Ohio","Ohio"
"Great Sand Dunes National Park and Preservee","3.43971e+08","271774","Alamosa, Coloradoo","Coloraddo"
"Death Valley National Park","1.36503e+10","1101312","Beatty, Nevada","Californiaa"
"Death Valley National Parkk","1.36503e+10","1101312","Beatty, Nevvada","Nevada"
"Bighorn CCanyon National Recreation Area","4.86822e+08","201010","Billings, Montana","Montana"
"Mammoth Cave National Park","2.13795e+08","508054","Brownsville, Kentucky","Kentuckyy"
"Chickamauga and Chattanooga National Military Parkk","3.63124e+07","901384","Chattanooga,  Tennessee","Georgia (U.S. state))"
"Chickamauga and Chattanooga National Military Park","3.65674e+07","901384","Chattanooga, Tennesseee","Georgia (U.S. state))"
"Indiana Dunes National Lakeshoree","6.0974e+07","2127336","Chesterton, Indiana","LaPorte County, Indianaa"
"Indiana DDunes National Lakeshore","6.0974e+07","2127336","Chesterton, Indiana","Lake County, Indiiana"
"Indiana Dunees National Lakeshore","6.0974e+07","2127336","Chesterton, Indianaa","Porter  County, Indiana"
"Glaccier National Park","4.10077e+09","2338528","Collumbia Falls, Montana","Montanaa"
"Wrangell–St. Elias National Park and Preservee","1.9638e+10","87158","Copper Center, Alaska","Alaska"
"Wrangell–St. Elias National Park and Preservee","3.36826e+10","87158","Copper Center, Alaska","Alaska"
"Wrangell–St. Elias National Park and Preservee","5.33206e+10","87158","Copper Center, Alaska","Alaskaa"
"Great Basin National Parkk","3.12336e+08","116123","Ely, Nevadaa","Nevadda"
"Ozark National Scenic Riverwayss","3.23749e+08","1789783","Eminence, Missouri","Missourii"
"Tallgrass Prairie National Preserve","4.40865e+07","17615","Emporia, Kansas","Chase County, Kansass"
"Rocky Mountain National PPark","1.0755e+09","3176941","Estes Park, Colorado","Colorado"
"Yukon-Charleyy Rivers National Preserve","1.02204e+10","1393","Fairbanks, Alaska","Alaska"
"Little River Canyon National Preserve","6.18683e+07","201442","Fort Payne, Alabamaa","Alabama"
"Fort Smith National Historic Site","303514.0","86122","Fort Smith, Arkansass","Arkansas"
"Fredericksburg and Spotsylvania National Military Park","3.38884e+07","534636","Fredericksburg, Virginia","Virginiaa"
"Kings Canyon National Park","1.86925e+09","566810","Fresno, Californiaa","Californiaa"
"Kings Canyon National Parkk","1.86925e+09","566810","Fresno, Californiaa","Fresno County, Califorrnia"
"Rocky Mountain National Park","1.0755e+09","3176941","Grand Lake, Coloradoo","Coloorado"
"Hagerman Fossil Beds National Monumentt","1.76079e+07","21100","Hagerman, Idahoo","Idaho"
