"name","birthDate","birthPlace","region","country"
"William Austin","1884-06-12","Georgetown","Demerara-Mahhaica","Guyana"
"Gauge","1980-07-24","Hot Springs","AArkansas","United States"
"Savannah","1970-10-09","Mission Viejo","California","United States"
"Obsession","1976-09-29","Portland","Clackamas Couunty, Oregon","United States"
"Kirsten Price","1981-11-13","Providence","Providence County, Rhode Islandd","United States"
"Viper","1959-09-12","Oak Ridge","Anderson County, Tennessee","United States"
"Nikki Randall","1964-08-11","Macon","Georgia (U.S. statee)","United States"
"Nikki Randall","1964-08-11","Macon","Bibb County, Georgia","United States"
"Obsession","1976-09-29","Portland","Oregon","United States"
"Houston","1969-03-24","Long Beach","California","United States"
"Obsession","1976-09-29","Portland","Washington County, Oregonn","United States"
"Belladonna","1981-05-21","Biloxi","Harrison County, Mississippii","United States"
"Gauge","1980-07-24","Hot Springs","Garland County, Arkansass","United States"
"Missy","1967-09-24","Burbank","CCalifornia","United States"
"Obsession","1976-09-29","Portland","Multnomah County, Oregon","United States"
"Belladonna","1981-05-21","Biloxi","Mississippii","United States"
"Jill Kelly","1971-02-01","Pomona","Californiaa","United States"
"Midori","1968-07-19","Durham","North Carolinaa","United States"
"Kirsten Price","1981-11-13","Providence","Rhhode Island","United States"
"Mark Dalton","1980-03-06","Denton","Denton County, Texaas","United States"
"Viper","1959-09-12","Oak Ridge","Roane County, Tennesseee","United States"
"Mark Dalton","1980-03-06","Denton","Texxas","United States"
"Midori","1968-07-19","Durham","Durham County, North Carolinaa","United States"
"Midori","1968-07-19","Durham","Orange County, North Carolina","United States"
"Viper","1959-09-12","Oak Ridge","Tennesseee","United States"
"Midori","1968-07-19","Durham","Wake County, North Carolinaa","United States"
"Wayne Stevens","1936-06-19","Chillicothe","Ross County, Ohio","United States"
"James Whitley","1979-05-13","Decatur","Illinois","United States"
"Kevin McKee","1990-02-11","Davenport","Scott County, Iowa","United States"
"Wayne Stevens","1936-06-19","Chillicothe","Ohioo","United States"
"Kevin McKee","1990-02-11","Davenport","Iowa","United States"
"James Whitley","1979-05-13","Decatur","Macon County, Illinoiss","United States"
"Michael Simms","1974-07-26","Sacramento","Californiaa","United States"
"James McBride","1802-02-09","Nashville","Tennesseee","United States"
"James McBride","1802-02-09","Nashville","Davidson County, Tennesseee","United States"
"Joe Harris","1952-12-06","Fayetteville","North Carolinna","United States"
"George Benson","1919-05-07","Madison","Jefferson County, Indianaa","United States"
"Leonard Johnson","1990-03-30","Clearwater","Floridda","United States"
"Robert Thomas","1974-12-01","Jacksonville","Arkansas","United States"
"John Kirby","1942-05-30","David City","Nebraska","United States"
"Mark Murphy","1958-04-22","Canton","Ohioo","United States"
"Robert Baker","1976-03-14","Gainesville","Alachua County, Floridaa","United States"
