"Year","Game","Genre","Platform(s)","Developer(s)"
"2010","Red Dead Redemption","Open World","PlayStation 3","Rockstar San Diego"
"2010","Red Dead Redemption","(Third-Person) Shooter","PlayStation 3","Rockstar San Diego"
"2010","Red Dead Redemption","Open World","Xbox 360","Rockstar San Diego"
"2010","Red Dead Redemption","(Third-Person) Shooter","Xbox 360","Rockstar San Diego"
"2009","Uncharted 2: Among Thieves","Action-adventure","PlayStation 3","Naughty Dog"
"2009","Uncharted 2: Among Thieves","Third-person shooter","PlayStation 3","Naughty Dog"
"2008","Grand Theft Auto IV","Open World","Windows","Rockstar North"
"2008","Grand Theft Auto IV","Action","Windows","Rockstar North"
"2008","Grand Theft Auto IV","Open World","PlayStation 3","Rockstar North"
"2008","Grand Theft Auto IV","Action","PlayStation 3","Rockstar North"
"2008","Grand Theft Auto IV","Open World","Xbox 360","Rockstar North"
"2008","Grand Theft Auto IV","Action","Xbox 360","Rockstar North"
"2007","BioShock","Shooter","Windows","2K Boston"
"2007","BioShock","Shooter","Xbox 360","2K Boston"
"2007","BioShock","Shooter","Mac OS X","2K Boston"
"2007","BioShock","Shooter","PlayStation 3","2K Boston"
"2007","BioShock","Shooter","Windows","2K Australia"
"2007","BioShock","Shooter","Xbox 360","2K Australia"
"2007","BioShock","Shooter","Mac OS X","2K Australia"
"2007","BioShock","Shooter","PlayStation 3","2K Australia"
"2006","The Legend of Zelda: Twilight Princess","Action-adventure","Wii","Nintendo"
"2006","The Legend of Zelda: Twilight Princess","Action-adventure","Nintendo GameCube","Nintendo"
"2005","Resident Evil 4","Survival Horror","GameCube","Capcom"
"2005","Resident Evil 4","Survival Horror","PlayStation 2","Capcom"
"2005","Resident Evil 4","Survival Horror","Windows","Capcom"
"2005","Resident Evil 4","Survival Horror","Wii","Capcom"
"2005","Resident Evil 4","(Third-Person) Shooter","GameCube","Capcom"
"2005","Resident Evil 4","(Third-Person) Shooter","PlayStation 2","Capcom"
"2005","Resident Evil 4","(Third-Person) Shooter","Windows","Capcom"
"2005","Resident Evil 4","(Third-Person) Shooter","Wii","Capcom"
"2004","Halo 2","Shooter","Xbox","Bungie"
"2004","Halo 2","Shooter","Windows","Bungie"
"2003","Prince of Persia: Sands of Time","Action-adventure","Xbox","Ubisoft Montreal"
"2003","Prince of Persia: Sands of Time","Action-adventure","GameCube","Ubisoft Montreal"
"2003","Prince of Persia: Sands of Time","Action-adventure","PlayStation 2","Ubisoft Montreal"
"2003","Prince of Persia: Sands of Time","Action-adventure","Windows","Ubisoft Montreal"
"2002","Metroid Prime","Action-adventure","Nintendo GameCube","Nintendo"
"2001","Halo Combat Evolved","Shooter","Xbox","Bungie"
"2001","Halo Combat Evolved","Shooter","Windows","Bungie"
"2001","Halo Combat Evolved","Shooter","Macintosh","Bungie"
"2000","Tony Hawk's Pro Skater 2","Sports","PC","Activision"
"2000","Tony Hawk's Pro Skater 2","Sports","Nintendo 64","Activision"
"2000","Tony Hawk's Pro Skater 2","Sports","PlayStation","Activision"
"2000","Tony Hawk's Pro Skater 2","Sports","Dreamcast","Activision"
"1999","Soul Calibur","Fighting","Sega Dreamcast","Namco"
"1998","The Legend of Zelda: Ocarina of Time","Action-adventure","Nintendo 64","Nintendo"
"1997","Goldeneye 007","Shooter","Nintendo 64","Rare"
"1996","Super Mario 64","Action-platformer","Nintendo 64","Nintendo"
"1995","Twisted Metal","Action-driving game","PlayStation","SingleTrac"
"1994","Donkey Kong Country","Action-platformer","Super Nintendo","Rare"
"1993","Samurai Shodown","Fighting","Neo-Geo MVS","SNK"
"1992","Street Fighter II","Fighting","Super Nintendo","Capcom"
"1991","Sonic the Hedgehog","Action-platformer","Sega Genesis","Sega"
"1990","Strider","Action-adventure","Sega Genesis","Capcom"
"1989","Ghouls 'n Ghosts","Action-adventure","Sega Genesis","Capcom"
