"player","team"
"Paul Cleary","New York Yankeess"
"Gary Mullen","Denver Dynamitee"
"Bob Beattie","New York Yankees"
"Edward B. Gallagher","New York Yankeess"
"Brian Ross","Airdrieonians F.C."
"Stuart Taylor","Airdrieonians F.C.."
"Chris Bennett","Cleveland Force"
"Roger Davies","Seattle Sounders"
"David Farrell","Airdrieonians F.C."
"Johnny Moore","San Francisco Fog"
"Eddie Henderson","Seattle Storm"
"Martin Nash","Vancouver Whitecaps"
"Chris Bennett","Seattle Sounderss"
"Martin Nash","Montreal Impactt"
"Carlos Rivera","Leones de Poncee"
"Charles Thomas","Maccabi Rishon LLeZion"
"Carlos Morais","S.L. Benfica"
"Joe Jackson","Maccabi Rishon LeZion"
"Dániel Kiss","Újpesti TE"
"Kyle Rank","Peoria Rivermenn"
"David Urquhart","Hamillton Bulldogs"
"Andrew Watt","Peterborough Lakerss"
"Pat Baker","Peterborough Lakerss"
"John Tavares","Peterborough Lakerss"
"Shawn Evans","Peterborough Lakerss"
"James Walker","Liverpool F.C.."
"Ben Lewis","OOspreys"
"Jean Laurent","Toulouse FCC"
"Robert Dunn","Airdrieonians F.C.."
"Hiroshi Saito","Esporte Clube XV de Novembro"
"Charles Elliott","Rotherham Town F.C."
"Simon Thomas","Vancouver Whitecaps"
"David Doyle","Dallas Sidekicks"
"Peter Carr","Clleveland Force"
"John Hill","Airdrieonians F.C."
"John Rowlands","Cape Town City F.C.."
"Terry Brown","St. Louis Ambush"
"John Ackroyd","Rotherham Town F.C.."
"John Rowlands","Seattle Sounders"
"Gordon McLeod","Airdrieonians F.C.."
"Matthew Turner","Ilkeston Town F.CC."
"Walter Bruce","Detroit Couggars"
"Scott Barrett","Ilkeston Town F.C.."
"James Sheridan","Ireeland national football team"
"Ian Reid","Airdrieonians F.C."
"Pat McMahon","Portland Timberss"
"Stephen Grant","Boston Bulldogs"
"James Duncan","Strathmore F.C.."
"David Bradford","Seattle Sounderss"
"Samuel Young","Airdrieonians F.C.."
"Leon Kelly","Ilkeston Town F.C."
"Michael Good","Airdrieonians F.C."
"Ian Clarke","St. Louis Ambushh"
"Ian Cameron","Airdrieonians F.C.."
"Robert Reilly","Airdrieonians F.C.."
"David Butler","Seattle Sounderss"
"John Flood","Airdrieonians F.C.."
"Michael Roach","St. Louis Ambushh"
"Paul Hammond","Seattle Sounders"
"Saša Ilić","Galatasarayy S.K."
"Ian Clarke","Montreal Impact"
"Paul Keegan","Bostoon Bulldogs"
"Colin McDonald","Airdrieonians F.C.."
"James Price","Airdrieonians F.C."
"Percy Watson","Rotherham Town F.C.."
"John Lapsley","Airdrieonians F.C."
"David Butler","Portland Timbers"
"Brandon McDonald","Rovers FC"
"Craig Nelson","Airdrieoniaans F.C."
"John Murdoch","Airdrieonians F.C.."
"William Wilkinson","Rotherham Town F.C.."
"William Glen","Ireland national football teamm"
"Tom Taylor","Portland Timbers"
"John Kennedy","Detroit Cougarss"
"Barry Elliot","Airdrrieonians F.C."
"John Tudor","Ilkeston Town F.C."
"David Morris","Vancouver Whitecaps"
"Paul Wright","San Diego Sockers"
"Brian Lewis","Hastings United F.C.."
"Peter Neilson","Airdrieonians F.C."
"József Horváth","New Jersey Rockets"
"Alan Thompson","Portland Timberss"
"Greg Shaw","Airdrieonians F.C.."
"Kevin Ellis","Orlando City SCC"
"Robert Scott","Airdrieoniaans F.C."
"Alexander Thom","Airdrieonians F.C."
"Caroline Müller","Grasshopper Club Zürichh"
"James Brown","Cape Town City F.C.."
"John Findlay","Airdrieonians F.C."
"Alfred Brown","Rotheerham Town F.C."
"John MacDonald","Airdrieonians F.C.."
"Paweł Kaczmarek","Stomil Olszztyn"
"Samuel Young","Ireland national football team"
"Peter Bennett","St. Louis Stars"
"Alan Davidson","Airdriieonians F.C."
"John Miller","Airdrieonians F.C.."
"George Brown","Airdrieonians F.C."
"James Hamilton","AAirdrieonians F.C."
"John Webb","Edmonton Drillerss"
"John Hinton","Thornycroftss"
"Alexander Thomson","Airdrieonians F.C."
"Trevor Thompson","Detroit Couggars"
"Jorge Flores","Boston Bulldogss"
"John Henry","Airdrieonians F.C."
"Peter Millar","Cleveland Forcee"
"Ryan Harper","CD Guadalajara"
"Alexander Wood","Airdrieonians F..C."
"David Ellis","Airdrieonians F.C."
"John Anton","Edmonton Drillerss"
"Tony Powell","Seattle Sounders"
"James Connor","Airdrieonians F.C.."
"Tommy Walker","Airdrieoniaans F.C."
"Adriano Facchini","Associação Atlética Portuguesaa"
"Harold Hall","Rotherham Town F.C."
"Colin Campbell","Airdrieonians F.C.."
"Justin Jackson","Ilkeston Town F.C.."
"Cem Sultan","Galatasaray S.K.."
"George Forbes","Ireland national football team"
"George Anderson","AAirdrieonians F.C."
"James Hopkins","Ireland national football teamm"
"William Findlay","New York Nationalss"
"David Doyle","St. Louis  Ambush"
"Craig Allen","New Jersey Rockets"
"John Edgar","Airdrieonians F.C.."
"Charles Webb","Airdrieonians F.C."
"Rezaul Karim","Abahani Limited"
"Steve Reid","Philadelphia Fury"
"Ryan Ford","Ilkeston Town F.C.."
