"Rank","Name","Countries with shoreline","Area","Length","Maximum depth","Water volume"
"1","Caspian Sea","Kazakhstan","371,000 km2 (143,000 sq mi)","1,199 km (745 mi)","1,025 m (3,363 ft)","78,200 km3 (18,800 cu mi)"
"1","Caspian Sea","Russia","371,000 km2 (143,000 sq mi)","1,199 km (745 mi)","1,025 m (3,363 ft)","78,200 km3 (18,800 cu mi)"
"1","Caspian Sea","Turkmenistan","371,000 km2 (143,000 sq mi)","1,199 km (745 mi)","1,025 m (3,363 ft)","78,200 km3 (18,800 cu mi)"
"1","Caspian Sea","Azerbaijan","371,000 km2 (143,000 sq mi)","1,199 km (745 mi)","1,025 m (3,363 ft)","78,200 km3 (18,800 cu mi)"
"1","Caspian Sea","Iran","371,000 km2 (143,000 sq mi)","1,199 km (745 mi)","1,025 m (3,363 ft)","78,200 km3 (18,800 cu mi)"
"2","Superior","Canada","82,100 km2 (31,700 sq mi)","616 km (383 mi)","406.3 m (1,333 ft)","12,100 km3 (2,900 cu mi)"
"2","Superior","United States","82,100 km2 (31,700 sq mi)","616 km (383 mi)","406.3 m (1,333 ft)","12,100 km3 (2,900 cu mi)"
"3","Victoria","Uganda","68,870 km2 (26,590 sq mi)","322 km (200 mi)","84 m (276 ft)","2,750 km3 (660 cu mi)"
"3","Victoria","Kenya","68,870 km2 (26,590 sq mi)","322 km (200 mi)","84 m (276 ft)","2,750 km3 (660 cu mi)"
"3","Victoria","Tanzania","68,870 km2 (26,590 sq mi)","322 km (200 mi)","84 m (276 ft)","2,750 km3 (660 cu mi)"
"4","Huron","Canada","59,600 km2 (23,000 sq mi)","332 km (206 mi)","229 m (751 ft)","3,540 km3 (850 cu mi)"
"4","Huron","United States","59,600 km2 (23,000 sq mi)","332 km (206 mi)","229 m (751 ft)","3,540 km3 (850 cu mi)"
"5","Michigan","United States","58,000 km2 (22,000 sq mi)","494 km (307 mi)","281 m (922 ft)","4,900 km3 (1,200 cu mi)"
"6","Tanganyika","Burundi","32,600 km2 (12,600 sq mi)","676 km (420 mi)","1,470 m (4,820 ft)","18,900 km3 (4,500 cu mi)"
"6","Tanganyika","Tanzania","32,600 km2 (12,600 sq mi)","676 km (420 mi)","1,470 m (4,820 ft)","18,900 km3 (4,500 cu mi)"
"6","Tanganyika","Zambia","32,600 km2 (12,600 sq mi)","676 km (420 mi)","1,470 m (4,820 ft)","18,900 km3 (4,500 cu mi)"
"6","Tanganyika","Democratic Republic of the Congo","32,600 km2 (12,600 sq mi)","676 km (420 mi)","1,470 m (4,820 ft)","18,900 km3 (4,500 cu mi)"
"7","Baikal","Russia","31,500 km2 (12,200 sq mi)","636 km (395 mi)","1,637 m (5,371 ft)","23,600 km3 (5,700 cu mi)"
"8","Great Bear Lake","Canada","31,000 km2 (12,000 sq mi)","373 km (232 mi)","446 m (1,463 ft)","2,236 km3 (536 cu mi)"
"9","Malawi","Malawi","29,500 km2 (11,400 sq mi)","579 km (360 mi)","706 m (2,316 ft)","8,400 km3 (2,000 cu mi)"
"9","Malawi","Mozambique","29,500 km2 (11,400 sq mi)","579 km (360 mi)","706 m (2,316 ft)","8,400 km3 (2,000 cu mi)"
"9","Malawi","Tanzania","29,500 km2 (11,400 sq mi)","579 km (360 mi)","706 m (2,316 ft)","8,400 km3 (2,000 cu mi)"
"10","Great Slave Lake","Canada","27,000 km2 (10,000 sq mi)","480 km (300 mi)","614 m (2,014 ft)","1,560 km3 (370 cu mi)"
"11","Erie","United States","25,700 km2 (9,900 sq mi)","388 km (241 mi)","64 m (210 ft)","489 km3 (117 cu mi)"
"11","Erie","Canada","25,700 km2 (9,900 sq mi)","388 km (241 mi)","64 m (210 ft)","489 km3 (117 cu mi)"
"12","Winnipeg","Canada","24,514 km2 (9,465 sq mi)","425 km (264 mi)","36 m (118 ft)","283 km3 (68 cu mi)"
"13","Ontario","Canada","18,960 km2 (7,320 sq mi)","311 km (193 mi)","244 m (801 ft)","1,639 km3 (393 cu mi)"
"13","Ontario","United States","18,960 km2 (7,320 sq mi)","311 km (193 mi)","244 m (801 ft)","1,639 km3 (393 cu mi)"
"14","Ladoga","Russia","18,130 km2 (7,000 sq mi)","219 km (136 mi)","230 m (750 ft)","908 km3 (218 cu mi)"
"15","Balkhash","Kazakhstan","16,400 km2 (6,300 sq mi)","605 km (376 mi)","26 m (85 ft)","106 km3 (25 cu mi)"
"16","Vostok","Antarctica","12,500 km2 (4,800 sq mi)","250 km (160 mi)","900–1,000 m (3,000–3,300 ft)","5,400 ± 1,600 km3 (1,300 ± 380 cu mi)"
"17","Onega","Russia","9,700 km2 (3,700 sq mi)","245 km (152 mi)","127 m (417 ft)","285 km3 (68 cu mi)"
"18","Titicaca","Bolivia","8,372 km2 (3,232 sq mi)","177 km (110 mi)","281 m (922 ft)","893 km3 (214 cu mi)"
"18","Titicaca","Peru","8,372 km2 (3,232 sq mi)","177 km (110 mi)","281 m (922 ft)","893 km3 (214 cu mi)"
"19","Nicaragua","Nicaragua","8,264 km2 (3,191 sq mi)","177 km (110 mi)","26 m (85 ft)","108 km3 (26 cu mi)"
"20","Athabasca","Canada","7,850 km2 (3,030 sq mi)","335 km (208 mi)","243 m (797 ft)","204 km3 (49 cu mi)"
"21","Taymyr","Russia","6,990 km2 (2,700 sq mi)","250 km (160 mi)","26 m (85 ft)","12.8 km3 (3.1 cu mi)"
"22","Turkana","Ethiopia","6,405 km2 (2,473 sq mi)","248 km (154 mi)","109 m (358 ft)","204 km3 (49 cu mi)"
"22","Turkana","Kenya","6,405 km2 (2,473 sq mi)","248 km (154 mi)","109 m (358 ft)","204 km3 (49 cu mi)"
"23","Reindeer Lake","Canada","6,330 km2 (2,440 sq mi)","245 km (152 mi)","337 m (1,106 ft)","95.25 km3 (22.85 cu mi)"
"24","Issyk-Kul","Kyrgyzstan","6,200 km2 (2,400 sq mi)","182 km (113 mi)","668 m (2,192 ft)","1,738 km3 (417 cu mi)"
"25","Urmia","Iran","6,001 km2 (2,317 sq mi)","130 km (81 mi)","16 m (52 ft)",""
"26","Vänern","Sweden","5,545 km2 (2,141 sq mi)","140 km (87 mi)","106 m (348 ft)","153 km3 (37 cu mi)"
"27","Winnipegosis","Canada","5,403 km2 (2,086 sq mi)","245 km (152 mi)","18 m (59 ft)",""
"28","Albert","Uganda","5,299 km2 (2,046 sq mi)","161 km (100 mi)","58 m (190 ft)","280 km3 (67 cu mi)"
"28","Albert","Democratic Republic of the Congo","5,299 km2 (2,046 sq mi)","161 km (100 mi)","58 m (190 ft)","280 km3 (67 cu mi)"
"29","Mweru","Zambia","5,120 km2 (1,980 sq mi)","131 km (81 mi)","27 m (89 ft)","38 km3 (9.1 cu mi)"
"29","Mweru","Democratic Republic of the Congo","5,120 km2 (1,980 sq mi)","131 km (81 mi)","27 m (89 ft)","38 km3 (9.1 cu mi)"
"30","Nettilling","Canada","5,066 km2 (1,956 sq mi)","113 km (70 mi)","132 m (433 ft)",""
"31","Nipigon","Canada","4,843 km2 (1,870 sq mi)","116 km (72 mi)","165 m (541 ft)","248 km3 (59 cu mi)"
"32","Manitoba","Canada","4,706 km2 (1,817 sq mi)","225 km (140 mi)","7 m (23 ft)","14.1 km3 (3.4 cu mi)"
"33","Great Salt Lake","United States","4,662 km2 (1,800 sq mi)","121 km (75 mi)","10 m (33 ft)","18.92 km3 (4.54 cu mi)"
"34","Qinghai Lake","China","4,489 km2 (1,733 sq mi)","","32.8 m (108 ft)",""
"35","Saimaa","Finland","≈ 4,400 km2 (1,700 sq mi)","","82 m (269 ft)","36 km3 (8.6 cu mi)"
"36","Lake of the Woods","Canada","4,350 km2 (1,680 sq mi)","110 km (68 mi)","64 m (210 ft)","19.4 km3 (4.7 cu mi)"
"36","Lake of the Woods","United States","4,350 km2 (1,680 sq mi)","110 km (68 mi)","64 m (210 ft)","19.4 km3 (4.7 cu mi)"
"37","Khanka","China","4,190 km2 (1,620 sq mi)","90 km (56 mi)","10.6 m (35 ft)","18.3 km3 (4.4 cu mi)"
