"celebrity","birth_place","country"
"Zooey Deschanel","Los Angeles","United States"
"Zooey Dechanel","Los Angeles","United States"
"Zooey Deshanel","Los Angeles","United States"
"Zooey Dechannel","Los Angeles","United States"
"Zooey Dechanell","Los Angeles","United States"
"Zooey Deschanels","Los Angeles","United States"
"Zooey Deshanelle","Los Angeles","United States"
"Zooey Deshanell","Los Angeles","United States"
"Zooey Deschenelle","Los Angeles","United States"
"Zooey Deschanele","Los Angeles","United States"
"Zooey Deschamel","Los Angeles","United States"
"Zooey Deshannel","Los Angeles","United States"
"Zooey Deschaenel","Los Angeles","United States"
"Zooey Deschennel","Los Angeles","United States"
"Zooey Deschaunel","Los Angeles","United States"
"Zooey Dachanel","Los Angeles","United States"
"Zooey Daeschanel","Los Angeles","United States"
"Zooey Dachenel","Los Angeles","United States"
"Zooey Deschnel","Los Angeles","United States"
"Zooey Daschenal","Los Angeles","United States"
"Zooey Dechenelle","Los Angeles","United States"
"Zooey Deschaniel","Los Angeles","United States"
"Zooey Deschaanel","Los Angeles","United States"
"Zooey Deschannels","Los Angeles","United States"
"Zooey Dechaunel","Los Angeles","United States"
"Zooey Duschanel","Los Angeles","United States"
"Zooey Daschnel","Los Angeles","United States"
"Zooey Deuchanel","Los Angeles","United States"
"Zooey Deshenal","Los Angeles","United States"
"Zooey Doeschanel","Los Angeles","United States"
"Zooey Daschel","Los Angeles","United States"
"Zooey Daschenelle","Los Angeles","United States"
"Zooey Deshaunel","Los Angeles","United States"
"Zooey Duchanel","Los Angeles","United States"
"Zooey Deshenelle","Los Angeles","United States"
"Zooey Daeshanel","Los Angeles","United States"
"Zooey Daechanel","Los Angeles","United States"
"Zooey Deschunel","Los Angeles","United States"
"Zooey Deaschanel","Los Angeles","United States"
"Zooey Dashenell","Los Angeles","United States"
"Zooey Dechennel","Los Angeles","United States"
"Zooey Dejanel","Los Angeles","United States"
"Zooey Dechannele","Los Angeles","United States"
"Zooey Deschantel","Los Angeles","United States"
"Zooey Dechaunelle","Los Angeles","United States"
"Zooey Deshanael","Los Angeles","United States"
"Zooey Deschaneles","Los Angeles","United States"
"Zooey Deschenael","Los Angeles","United States"
"Zooey Deichanel","Los Angeles","United States"
"Zooey Deychanel","Los Angeles","United States"
"Zooey Daschenell","Los Angeles","United States"
"Zooey Deschaneal","Los Angeles","United States"
"Zooey Deachanel","Los Angeles","United States"
"Zooey Daschenael","Los Angeles","United States"
"Zooey Decshanel","Los Angeles","United States"
"Zooey Deschinel","Los Angeles","United States"
"Zooey Dechenell","Los Angeles","United States"
"Zooey Deshnel","Los Angeles","United States"
"Zooey Deschaneel","Los Angeles","United States"
"Zooey Dechannell","Los Angeles","United States"
"Zooey Dischanel","Los Angeles","United States"
"Zooey Deyshanel","Los Angeles","United States"
"Zooey Dashanell","Los Angeles","United States"
"Zooey Deyschanel","Los Angeles","United States"
"Zooey Dachenal","Los Angeles","United States"
"Zooey Deshinal","Los Angeles","United States"
"Zooey Deshanele","Los Angeles","United States"
"Zooey Deschnell","Los Angeles","United States"
"Zooey Dashinal","Los Angeles","United States"
"Zooey Daschaenel","Los Angeles","United States"
"Zooey Deschane","Los Angeles","United States"
"Zooey Deshenell","Los Angeles","United States"
"Zooey Dechasnel","Los Angeles","United States"
"Zooey Dashnel","Los Angeles","United States"
"Zooey Dashanelle","Los Angeles","United States"
"Zooey Daechenel","Los Angeles","United States"
"Zooey Dashonel","Los Angeles","United States"
"Zooey Deshaniel","Los Angeles","United States"
"Zooey Dezchanel","Los Angeles","United States"
"Zooey Dechaenel","Los Angeles","United States"
"Zooey Dachannel","Los Angeles","United States"
"Zooey Daschennel","Los Angeles","United States"
"Zooey Deshaneel","Los Angeles","United States"
"Zooey Deshennel","Los Angeles","United States"
"Zooey Dooschenel","Los Angeles","United States"
"Zooey Deschannele","Los Angeles","United States"
"Zooey Deschaenal","Los Angeles","United States"
"Zooey Desenel","Los Angeles","United States"
"Zooey Dichanel","Los Angeles","United States"
"Zooey Deashanel","Los Angeles","United States"
"Zooey Deschonel","Los Angeles","United States"
"Zooey Daschanelle","Los Angeles","United States"
"Zooey Deschel","Los Angeles","United States"
"Zooey Descheneal","Los Angeles","United States"
"Zooey Daschunel","Los Angeles","United States"
"Zooey Daschannel","Los Angeles","United States"
"Zooey Deisenel","Los Angeles","United States"
"Zooey Daschanael","Los Angeles","United States"
"Zooey Descanelle","Los Angeles","United States"
"Zooey Deschenele","Los Angeles","United States"
"Zooey Duchannel","Los Angeles","United States"
"Zooey Daschnell","Los Angeles","United States"
"Zooey Deshnal","Los Angeles","United States"
"Zooey Dschanel","Los Angeles","United States"
"Zooey Dooshanel","Los Angeles","United States"
"Zooey Descheneil","Los Angeles","United States"
"Zooey Deshinelle","Los Angeles","United States"
"Zooey Desonel","Los Angeles","United States"
"Zooey Deshina","Los Angeles","United States"
"Zooey Deschoenel","Los Angeles","United States"
"Zooey Dechaniel","Los Angeles","United States"
"Zooey Deschasnel","Los Angeles","United States"
"Zooey Dechaneel","Los Angeles","United States"
"Zooey Deeschanell","Los Angeles","United States"
"Zooey Dachaenel","Los Angeles","United States"
"Zooey Decshenel","Los Angeles","United States"
"Zooey Dashinel","Los Angeles","United States"
"Zooey Descannel","Los Angeles","United States"
"Zooey Deuchannel","Los Angeles","United States"
"Zooey Deschemel","Los Angeles","United States"
"Zooey Deuchenel","Los Angeles","United States"
"Zooey Deschanaal","Los Angeles","United States"
"Zooey Daeshnel","Los Angeles","United States"
"Zooey Deschenl","Los Angeles","United States"
"Zooey Deschnal","Los Angeles","United States"
"Zooey Duchamel","Los Angeles","United States"
"Zooey Dechanels","Los Angeles","United States"
"Zooey Desschanel","Los Angeles","United States"
"Zooey Dushanel","Los Angeles","United States"
"Zooey Descanell","Los Angeles","United States"
"Zooey Deschanelles","Los Angeles","United States"
"Zooey Dishonal","Los Angeles","United States"
"Zooey Deshna","Los Angeles","United States"
"Zooey Daschinel","Los Angeles","United States"
"Zooey Deschnael","Los Angeles","United States"
"Zooey Deschanelde","Los Angeles","United States"
"Zooey Decheanel","Los Angeles","United States"
"Zooey Dechanael","Los Angeles","United States"
"Zooey Deichenel","Los Angeles","United States"
"Zooey Dechanelles","Los Angeles","United States"
"Zooey Deishenal","Los Angeles","United States"
"Zooey Dochanel","Los Angeles","United States"
"Zooey Duschamel","Los Angeles","United States"
"Zooey Duchanelle","Los Angeles","United States"
"Zooey Daechannel","Los Angeles","United States"
