"Country","Region","City"
"Nigeria","Oyo","Bara"
"Sweden","Skane","Bara"
"Sweden","Soedermanland","Bara"
"Romania","Timis","Bara"
"Nigeria","Yobe","Bara"
"Romania","Neamt","Bâra"
"Venezuela","Anzoategui","Barcelona"
"Philippines","Bicol","Barcelona"
"Philippines","Caraga","Barcelona"
"Spain","Catalonia","Barcelona"
"Philippines","Zamboanga Peninsula","Barcelona"
"United Kingdom","England","Cambridge"
"United States","Illinois","Cambridge"
"United States","Maryland","Cambridge"
"United States","Massachusetts","Cambridge"
"United States","Minnesota","Cambridge"
"United States","Nebraska","Cambridge"
"United States","New York","Cambridge"
"United States","Ohio","Cambridge"
"Canada","Ontario","Cambridge"
"Jamaica","St James","Cambridge"
"Australia","Tasmania","Cambridge"
"New Zealand","Waikato","Cambridge"
"United States","Wisconsin","Cambridge"
"United States","Alabama","Camden"
"United States","Arkansas","Camden"
"United States","Delaware","Camden"
"United States","Maine","Camden"
"United States","New Jersey","Camden"
"United States","New York","Camden"
"United States","North Carolina","Camden"
"United States","Ohio","Camden"
"United States","South Carolina","Camden"
"United States","Tennessee","Camden"
"Italy","Lombardy","Como"
"United States","Mississippi","Como"
"Australia","New South Wales","Como"
"Australia","Western Australia","Como"
"United States","Wisconsin","Como"
"United States","California","Dublin"
"United States","Georgia","Dublin"
"Ireland","Leinster","Dublin"
"United States","New Hampshire","Dublin"
"United States","Ohio","Dublin"
"United States","Pennsylvania","Dublin"
"United States","Texas","Dublin"
"United States","Virginia","Dublin"
"United States","Alabama","Hamilton"
"United States","Georgia","Hamilton"
"United States","Illinois","Hamilton"
"United States","Indiana","Hamilton"
"United States","Massachusetts","Hamilton"
"United States","Missouri","Hamilton"
"United States","Montana","Hamilton"
"Australia","New South Wales","Hamilton"
"United States","New York","Hamilton"
"United States","Ohio","Hamilton"
"Canada","Ontario","Hamilton"
"United Kingdom","Scotland","Hamilton"
"United States","Texas","Hamilton"
"Australia","Victoria","Hamilton"
"New Zealand","Waikato","Hamilton"
"United States","Illinois","Kingston"
"United States","Massachusetts","Kingston"
"United States","Missouri","Kingston"
"United States","New Hampshire","Kingston"
"United States","New Jersey","Kingston"
"United States","New York","Kingston"
"United States","Ohio","Kingston"
"United States","Oklahoma","Kingston"
"Canada","Ontario","Kingston"
"New Zealand","Otago","Kingston"
"United States","Pennsylvania","Kingston"
"United States","Rhode Island","Kingston"
"Australia","South Australia","Kingston"
"Australia","Tasmania","Kingston"
"United States","Tennessee","Kingston"
"United States","Washington","Kingston"
"United States","Illinois","Lebanon"
"United States","Indiana","Lebanon"
"United States","Kentucky","Lebanon"
"United States","Maine","Lebanon"
"United States","Missouri","Lebanon"
"United States","New Hampshire","Lebanon"
"United States","New Jersey","Lebanon"
"United States","Ohio","Lebanon"
"United States","Oregon","Lebanon"
"United States","Pennsylvania","Lebanon"
"United States","Tennessee","Lebanon"
"United States","Virginia","Lebanon"
"United States","Connecticut","Lisbon"
"United States","Iowa","Lisbon"
"Portugal","Lisbon","Lisbon"
"United States","Maine","Lisbon"
"United States","North Dakota","Lisbon"
"United States","Ohio","Lisbon"
"United States","Arkansas","London"
"United States","California","London"
"United Kingdom","England","London"
"United States","Kentucky","London"
"United States","Ohio","London"
"Canada","Ontario","London"
"Spain","Aragon","Luna"
"Philippines","Bicol","Luna"
"Philippines","Cagayan Valley","Luna"
"Philippines","Caraga","Luna"
"Romania","Cluj","Luna"
"Philippines","Ilocos","Luna"
"Philippines","Western Visayas","Luna"
"United States","Connecticut","Manchester"
"United Kingdom","England","Manchester"
"United States","Georgia","Manchester"
"United States","Iowa","Manchester"
"United States","Kentucky","Manchester"
"United States","Maine","Manchester"
"United States","Maryland","Manchester"
"United States","Michigan","Manchester"
"United States","Missouri","Manchester"
"United States","New Hampshire","Manchester"
"United States","New York","Manchester"
"United States","Ohio","Manchester"
"United States","Pennsylvania","Manchester"
"United States","Tennessee","Manchester"
"United States","Washington","Manchester"
"United States","Wisconsin","Manchester"
"Saudi Arabia","Al Madinah al Munawwarah","Medina"
"Colombia","Cundinamarca","Medina"
"Mexico","Guanajuato","Medina"
"Brazil","Minas Gerais","Medina"
"United States","Minnesota","Medina"
"United States","New York","Medina"
"Philippines","Northern Mindanao","Medina"
"United States","Ohio","Medina"
"United States","Tennessee","Medina"
"United States","Texas","Medina"
"United States","Washington","Medina"
"Australia","Western Australia","Medina"
"United States","Illinois","Milan"
"United States","Indiana","Milan"
"Italy","Lombardy","Milan"
"United States","Michigan","Milan"
"United States","Missouri","Milan"
"United States","New Hampshire","Milan"
"United States","New Mexico","Milan"
"United States","Ohio","Milan"
"United States","Tennessee","Milan"
"Colombia","Caqueta","Milán"
"United States","Arkansas","Monticello"
"France","Corsica","Monticello"
"United States","Florida","Monticello"
"United States","Georgia","Monticello"
"United States","Illinois","Monticello"
"United States","Indiana","Monticello"
"United States","Iowa","Monticello"
"United States","Kentucky","Monticello"
"Italy","Lombardy","Monticello"
"United States","Louisiana","Monticello"
"United States","Minnesota","Monticello"
"United States","Mississippi","Monticello"
"United States","Missouri","Monticello"
"United States","New York","Monticello"
"United States","Utah","Monticello"
"United States","Wisconsin","Monticello"
"Italy","Campania","Naples"
"United States","Florida","Naples"
"United States","New York","Naples"
"United States","Texas","Naples"
"United States","Utah","Naples"
"United States","California","Oakland"
"United States","Florida","Oakland"
"United States","Iowa","Oakland"
"United States","Maine","Oakland"
"United States","Maryland","Oakland"
"United States","Missouri","Oakland"
"United States","Nebraska","Oakland"
"United States","New Jersey","Oakland"
"United States","Oklahoma","Oakland"
"United States","Pennsylvania","Oakland"
"United States","South Carolina","Oakland"
"United States","Tennessee","Oakland"
"United States","Alabama","Oxford"
"New Zealand","Canterbury","Oxford"
"United States","Connecticut","Oxford"
"United Kingdom","England","Oxford"
"United States","Georgia","Oxford"
"United States","Indiana","Oxford"
"United States","Kansas","Oxford"
"United States","Maine","Oxford"
"United States","Massachusetts","Oxford"
"United States","Michigan","Oxford"
"United States","Mississippi","Oxford"
"United States","New Jersey","Oxford"
"United States","New York","Oxford"
"United States","North Carolina","Oxford"
"Canada","Nova Scotia","Oxford"
"United States","Ohio","Oxford"
"United States","Pennsylvania","Oxford"
"Philippines","Bicol","Pamplona"
"Philippines","Cagayan Valley","Pamplona"
"Philippines","Central Visayas","Pamplona"
"Spain","Navarre","Pamplona"
"Colombia","Norte de Santander","Pamplona"
"United States","Arkansas","Paris"
"United States","Idaho","Paris"
"France","Ile-de-France","Paris"
"United States","Illinois","Paris"
"United States","Kentucky","Paris"
"United States","Maine","Paris"
"United States","Missouri","Paris"
"Canada","Ontario","Paris"
"United States","Tennessee","Paris"
"United States","Texas","Paris"
"Panama","Herrera","París"
"United States","New Jersey","Rio Grande"
"Brazil","Rio Grande do Sul","Rio Grande"
"Panama","Cocle","Río Grande"
"Peru","Ica","Río Grande"
"Mexico","Michoacan","Río Grande"
"Dominican Republic","Puerto Plata","Río Grande"
"Puerto Rico","Rio Grande","Río Grande"
"Argentina","Tierra del Fuego","Río Grande"
"Panama","Veraguas","Río Grande"
"Mexico","Zacatecas","Río Grande"
"Philippines","Cavite","Rosario"
"Philippines","Batangas","Rosario"
"Italy","Calabria","Rosario"
"Philippines","Caraga","Rosario"
"Uruguay","Colonia","Rosario"
"Philippines","Eastern Visayas","Rosario"
"Philippines","Ilocos","Rosario"
"Argentina","Santa Fe","Rosario"
"Mexico","Sonora","Rosario"
"Philippines","Western Visayas","Rosario"
"Colombia","Antioquia","San Francisco"
"Honduras","Atlantida","San Francisco"
"Peru","Ayacucho","San Francisco"
