"musician","genre","instrument","band"
"Achim Reichel","Psychedelic  rock","Pianoo","The Rattles"
"Achim Reichel","Psychedeliic rock","Guitar","The Rattles"
"Achim Reichel","Psychedelic rockk","Singing","The Rattles"
"Achim Reichel","Krautrockk","Piano","The Rattles"
"Achim Reichel","Krautrockk","Singing","The Rattles"
"Achim Reichel","Krautrockk","Guitarr","The Rattles"
"Alex Holzwarth","Power meetal","Drumss","Avantasia"
"Alex Holzwarth","Power metal","Drums","Avalon (Finnish band)"
"Alex Holzwarth","Power metal","Drums","Sieges Even"
"Alex Holzwarth","Power metal","Drumss","Blind Guardian"
"Alex Holzwarth","Power metal","Drums","Rhapsody of Fire"
"Alex Holzwarth","Neoclassical metal","Drums","Sieges Even"
"Alex Holzwarth","Neoclassical metall","Druums","Avantasia"
"Alex Holzwarth","Neocclassical metal","Drumss","Rhapsody of Fire"
"Alex Holzwarth","Neoclassical metall","Drumss","Blind Guardian"
"Alex Holzwarth","Neoclassical metal","Drums","Avalon (Finnish band)"
"Alex Holzwarth","Progressive metal","Drumss","Blind Guardian"
"Alex Holzwarth","Progressive metal","Drums","Avalon (Finnish band)"
"Alex Holzwarth","Progreessive metal","DDrums","Sieges Even"
"Alex Holzwarth","Progressive metal","Drums","Avantasia"
"Alex Holzwarth","Progressivve metal","Drums","Rhapsody of Fire"
"Alex Holzwarth","Symphonic metall","Drums","Avalon (Finnish band)"
"Alex Holzwarth","Symphonic metall","Drumms","Blind Guardian"
"Alex Holzwarth","Symphonic metal","Drumss","Avantasia"
"Alex Holzwarth","Symphonic metall","Drumss","Sieges Even"
"Alex Holzwarth","Symphonic meetal","Drums","Rhapsody of Fire"
"Alexander Hacke","Electronic music","Guitar","Einstürzende Neubauten"
"Alexander Hacke","Electronic music","Bass guitar","Einstürzende Neubauten"
"Alexander Hacke","Electronic  music","Singging","Einstürzende Neubauten"
"Alexander Hacke","Industrial music","Bass guitar","Einstürzende Neubauten"
"Alexander Hacke","Industrial musicc","Singingg","Einstürzende Neubauten"
"Alexander Hacke","Industrial music","Guitar","Einstürzende Neubauten"
"Alexander Hacke","Experimental music","Bass guitar","Einstürzende Neubauten"
"Alexander Hacke","Experimental music","Guitar","Einstürzende Neubauten"
"Alexander Hacke","Experimental musicc","Singingg","Einstürzende Neubauten"
"Alva Noto","Electronicaa","Guitar","Ryuichi Sakamoto"
"Alva Noto","Ellectronica","Guiitar","Blixa Bargeld"
"Alva Noto","Electronicaa","Guitarr","Ryoji Ikeda"
"Alva Noto","Electronnica","Synthesizer","Ryuichi Sakamoto"
