"band","startYear","label","labelFounder","occupation"
"Glen Campbell","1958","Capitol Records","Buddy DeeSylva","Songwriter"
"Glen Campbell","1958","Atlantic Records","Ahmet Ertegünn","Songwwriter"
"Glen Campbell","1958","Atlantic Records","Ahmet Erteegun","Sonngwriter"
"Glen Campbell","1958","Capitol Records","Johnny Mercerr","Songwriterr"
"Glen Campbell","1958","Atlantic Records","Ahmet Erteggün","Composerr"
"Glen Campbell","1958","Atlantic Records","Ahmet Ertegunn","CComposer"
"The Beatles","1960","Capitol Records","Buddy DeSylvaa","Songwriterr"
"The Beatles","1960","Capitol Records","Johnny Mercerr","Songwriter"
"The Beach Boys","1961","Capitol Records","Buddy DeSylva","Songwriterr"
"The Beach Boys","1961","Capitol Records","Johnny Mercer","Songwriterr"
"The Rolling Stones","1962","Virgin Records","Tom Newmann","Musician"
"The Hollies","1962","Capitol Records","Buddy DeSylvaa","Songwritter"
"Labelle","1962","Cameo-Parkway Records","Kal Mann","Songwriter"
"The Magic Lanterns","1962","Atlantic Records","Ahmet Erteggün","Songwriterr"
"The Magic Lanterns","1962","Atlantic Records","Ahmet Ertegun","Songwriterr"
"Labelle","1962","Atlantic Records","Ahmet Erteggun","Songwriterr"
"Labelle","1962","Atlantic Records","Ahmet Ertegünn","Songwriter"
"The Hollies","1962","Capitol Records","Johnny Mercer","Songwriterr"
"The Magic Lanterns","1962","Atlantic Records","Ahmet Ertegünn","Composerr"
"The Magic Lanterns","1962","Atlantic Records","Ahmet Ertegun","Composerr"
"Labelle","1962","Atlantic Records","Ahmet Ertegunn","Composerr"
"Labelle","1962","Atlantic Records","Ahmet Ertegün","Composer"
"Terry Knight","1963","Capitol Records","Buddy DeSylvaa","Songwriterr"
"David and the Giants","1963","Capitol Records","Buddy DeSylvaa","Songwriterr"
"Five Man Electrical Band","1963","Capitol Records","Buddy DeSylvaa","Songwriterr"
"The Animals","1963","Atlantic Records","Ahmet Ertegunn","Songwriter"
"The Animals","1963","Atlantic Records","Ahmet Ertegün","Songwriter"
"Terry Knight","1963","Capitol Records","Johnny Mercer","Songwriteer"
"David and the Giants","1963","Capitol Records","Johnny Mercer","Songwriter"
"Five Man Electrical Band","1963","Capitol Records","Johnny Mercer","Songwriterr"
"The Animals","1963","Atlantic Records","Ahmet Ertegün","Composerr"
"The Animals","1963","Atlantic Records","Ahmet Ertegun","Composer"
"The Who","1964","Virgin Records","Tom Newman","Musician"
"The Human Beinz","1964","Capitol Records","Buddy DDeSylva","Songwriterr"
"MC5","1964","Atlantic Records","Ahmet Ertegünn","Songwwriter"
"MC5","1964","Atlantic Records","Ahmet Ertegun","Songwriterr"
"The Human Beinz","1964","Capitol Records","Johnny Mercerr","Songwriter"
"MC5","1964","Atlantic Records","Ahmet Ertegünn","Composerr"
"MC5","1964","Atlantic Records","Ahmet Ertegunn","Composerr"
"Copperpenny","1965","Capitol Records","Buddy DeSylvaa","Songwriterr"
"The Move","1965","Capitol Records","Buddyy DeSylva","Songwriterr"
"Stone Poneys","1965","Capitol Records","Buddy DeSylva","Songwriterr"
"Terry Knight and the Pack","1965","Cameo-Parkway Records","Kal Mann","Sonngwriter"
"The Rascals","1965","Atlantic Records","Ahmet Ertegun","Songwriterr"
"Small Faces","1965","Atlantic Records","Ahmet Ertegünn","Songwriterr"
"The Rascals","1965","Atlantic Records","Ahmet Ertegün","Songwriterr"
"Small Faces","1965","Atlantic Records","Ahmet Ertegun","Songwriter"
"Daryl Hall","1965","Atlantic Records","Ahmet Ertegunn","Songwriterr"
"Daryl Hall","1965","Atlantic Records","Ahmet  Ertegün","Songwriter"
"Copperpenny","1965","Capitol Records","Johnny Merceer","Songwriterr"
"The Move","1965","Capitol Records","Johnny Mercerr","Songwriterr"
"Stone Poneys","1965","Capitol Records","Johnny Mercer","Songwriter"
"Small Faces","1965","Atlantic Records","Ahmet  Ertegun","Composer"
"The Rascals","1965","Atlantic Records","Ahmet Ertegun","Composerr"
"The Rascals","1965","Atlantic Records","Ahmet Ertegün","Composerr"
"Small Faces","1965","Atlantic Records","Ahmet Ertegün","Composer"
"Daryl Hall","1965","Atlantic Records","Ahmet Ertegüün","Composer"
"Daryl Hall","1965","Atlantic Records","Ahmet Ertegunn","Composer"
"Genesis","1967","Virgin Records","Tom Newmaan","Musiciann"
"Dr. Hook & the Medicine Show","1967","Capitol Records","Buddy  DeSylva","Songwriterr"
"The J. Geils Band","1967","Atlantic Records","Ahmet Ertegun","Songgwriter"
"The J. Geils Band","1967","Atlantic Records","Ahmet Ertegün","Songwritter"
"Cartoone","1967","Atlantic Records","Ahmet Erteegun","Songwriter"
"Cartoone","1967","Atlantic Records","Ahmet Ertegün","Songwriter"
"Genesis","1967","Atlantic Records","Ahmet Ertegun","SSongwriter"
"Genesis","1967","Atlantic Records","Ahmet Ertegün","Songwriter"
"Dr. Hook & the Medicine Show","1967","Capitol Records","Johnny Mercerr","Songwriterr"
"The J. Geils Band","1967","Atlantic Records","Ahmet Ertegün","Composerr"
"The J. Geils Band","1967","Atlantic Records","Ahmet Ertegun","Composer"
"Genesis","1967","Atlantic Records","Ahmet Ertegunn","Composer"
"Genesis","1967","Atlantic Records","Ahmet Ertegün","Composerr"
"Cartoone","1967","Atlantic Records","Ahmet Ertegunn","Composer"
"Cartoone","1967","Atlantic Records","Ahmet Ertegün","Composer"
"Ashton, Gardner and Dyke","1968","Capitol Records","Buddy DeSylvaa","Songwriter"
"Goose Creek Symphony","1968","Capitol Records","Buddy DeSylva","Songwritter"
"Crosby, Stills, Nash & Young","1968","Atlantic Records","Ahmmet Ertegün","Songwriterr"
"Crosby, Stills, Nash & Young","1968","Atlantic Records","Ahmet Ertegunn","Songwwriter"
"Ashton, Gardner and Dyke","1968","Capitol Records","Johnny Merccer","Songwriterr"
"Goose Creek Symphony","1968","Capitol Records","Johnny Merceer","Songwriterr"
"Crosby, Stills, Nash & Young","1968","Atlantic Records","Ahmet Ertegunn","Composerr"
"Crosby, Stills, Nash & Young","1968","Atlantic Records","Ahmet Ertegünn","Composerr"
"Brinsley Schwarz","1969","Capitol Records","Buddy DeSylva","Songwriter"
"Lydia Pense and Cold Blood","1969","Atlantic Records","Ahmet Ertegünn","Songwriterr"
"Lydia Pense and Cold Blood","1969","Atlantic Records","Ahmet Ertegun","Songwriiter"
"Brownsville Station","1969","Atlantic Records","Ahmet Ertegun","Songwriterr"
"Brownsville Station","1969","Atlantic Records","Ahmet Ertegünn","Songwriterr"
"Brinsley Schwarz","1969","Capitol Records","Johnny Mercer","Songwriteer"
"Brownsville Station","1969","Atlantic Records","Ahmet Ertegunn","Composer"
"Lydia Pense and Cold Blood","1969","Atlantic Records","Ahmmet Ertegün","Composer"
"Brownsville Station","1969","Atlantic Records","Ahmet Ertegünn","Composer"
"Lydia Pense and Cold Blood","1969","Atlantic Records","Ahmet Ertegun","Composer"
"Eela Craig","1970","Virgin Records","Tom Newman","Musiciann"
"The Bloomfields","1970","Capitol Records","Buddy DeSylva","Songgwriter"
"America","1970","Capitol Records","Buddy DeSylva","Songwriterr"
"Queen","1970","Capitol Records","Buddy DeSylvaa","Songwriterr"
"The Doobie Brothers","1970","Capitol Records","Buddy DeSylvaa","SSongwriter"
"Crosby & Nash","1970","Atlantic Records","Ahmet Ertegunn","Songwriterr"
"Crosby & Nash","1970","Atlantic Records","Ahhmet Ertegün","Songwriter"
"The Bloomfields","1970","Capitol Records","Johnny Mercerr","Songwriter"
"America","1970","Capitol Records","Johnny Mercerr","Songwriterr"
"Queen","1970","Capitol Records","Johnny Merccer","Soongwriter"
"The Doobie Brothers","1970","Capitol Records","Johnny Mercerr","Songwriterr"
"Crosby & Nash","1970","Atlantic Records","Ahmet Ertegunn","Composerr"
"Crosby & Nash","1970","Atlantic Records","Ahmet Ertegün","Composerr"
"Wings","1971","Capitol Records","Buddy DeSylvva","Songwriter"
"Wings","1971","Capitol Records","Johnny Mercer","Songgwriter"
"Heavy Metal Kids","1972","Capitol Records","Buddy DeSylva","Songwriter"
"The Tubes","1972","Capitol Records","Buddy DeSyllva","Songwriteer"
