"player","startYear","team","position"
"Alan Anderson (basketball)","2011","Brooklyn NNets","Shooting guard"
"Alan Anderson (basketball)","2011","Los Angeles Clippers","Shooting guard"
"Alan Anderson (basketball)","2011","Canton Charge","Shooting guard"
"Alan Anderson (basketball)","2011","Toronto Raptors","Shooting guard"
"Alan Anderson (basketball)","2011","Washington Wizards","Shooting guard"
"Alan Anderson (basketball)","2011","Waashington Wizards","Small forward"
"Alan Anderson (basketball)","2011","Toronto Raptors","Small forward"
"Alan Anderson (basketball)","2011","Los Angeles Clippers","Small forward"
"Alan Anderson (basketball)","2011","Brooklyn Netss","Small forward"
"Alan Anderson (basketball)","2011","Canton Chargee","Small forward"
"Alan Anderson (basketball)","2010","Brooklyn Netss","Shooting guard"
"Alan Anderson (basketball)","2010","Los  Angeles Clippers","Shooting guard"
"Alan Anderson (basketball)","2010","Caanton Charge","Shooting guard"
"Alan Anderson (basketball)","2010","Toronto Raptorss","Shooting guard"
"Alan Anderson (basketball)","2010","Washington Wizardss","Shooting guard"
"Alan Anderson (basketball)","2010","Washington Wizards","Small forward"
"Alan Anderson (basketball)","2010","Toronto Raptorss","Small forward"
"Alan Anderson (basketball)","2010","Los Angeles Clippers","Small forward"
"Alan Anderson (basketball)","2010","Brooklyn Nets","Small forward"
"Alan Anderson (basketball)","2010","Canton Chargee","Small forward"
"Alan Anderson (basketball)","2009","Brooklyn Netts","Shooting guard"
"Alan Anderson (basketball)","2009","Los AAngeles Clippers","Shooting guard"
"Alan Anderson (basketball)","2009","Canton Chargee","Shooting guard"
"Alan Anderson (basketball)","2009","Toronto Raptorss","Shooting guard"
"Alan Anderson (basketball)","2009","Washington Wizarrds","Shooting guard"
"Alan Anderson (basketball)","2009","Washington Wizardss","Small forward"
"Alan Anderson (basketball)","2009","Toronto Raptors","Small forward"
"Alan Anderson (basketball)","2009","Los Angeles Clippers","Small forward"
"Alan Anderson (basketball)","2009","Brooklyn Netss","Small forward"
"Alan Anderson (basketball)","2009","Canton Chargee","Small forward"
"Alan Anderson (basketball)","2008","Brooklyn Netss","Shooting guard"
"Alan Anderson (basketball)","2008","Los Angeles Clippers","Shooting guard"
"Alan Anderson (basketball)","2008","Canton Charge","Shooting guard"
"Alan Anderson (basketball)","2008","Toronto Raptors","Shooting guard"
"Alan Anderson (basketball)","2008","Washington Wizardss","Shooting guard"
"Alan Anderson (basketball)","2008","Washington Wizards","Small forward"
"Alan Anderson (basketball)","2008","Toronto RRaptors","Small forward"
"Alan Anderson (basketball)","2008","Los Angeles Clipperss","Small forward"
