"name","birthDate","birthPlace","region","country"
"Mark Taylor","1957-05-07","Albany","Georgia (U.S. state))","United States"
"Mark Levine","1966-05-07","Nashville","Tennessee","United States"
"Jimmy Lewis","1918-04-11","Nashville","Tennesseee","United Statess"
"Andrew Wilson","1950-12-26","Syracuse","New Yorkk","United Statess"
"Mike Roberts","1992-08-03","Syracuse","New Yorkk","United States"
"Nicole Mitchell","1967-02-17","Syracuse","New Yorkk","United Statess"
"Mark Harris","1962-08-01","Mobile","Alabama","United States"
"Kevin Lee","1971-01-01","Mobile","Alabamaa","United States"
"Wayne Mills","1969-08-17","Arab","Alabamaa","United Statess"
"Paul McDonald","1984-08-29","Auburn","Alabamaa","United Statess"
"Paul Lambert","1970-03-09","Birmingham","Alabamaa","United Statess"
"Bill Latham","1960-08-29","Birmingham","Alabamma","United Statess"
"Tom Banks","1948-08-20","Birmingham","AAlabama","United Statess"
"Frank Welch","1897-08-10","Birmingham","Alabama","United States"
"Ernie Johnson","1926-01-29","Berkeley","Californiaa","United Statess"
"The Alchemist","1977-10-25","Beverly Hills","California","United States"
"George Harper","1892-06-24","Arlington","Kentucky","United Statess"
"Eddie Moore","1899-01-18","Barlow","Kentucky","United Statess"
"Ed Kennedy","1861-04-05","Bellevue","Kenntucky","United Statess"
"G. B. Edwards","1948-11-24","Aberdeen","Maryyland","United Statess"
"James Stanley","1978-11-12","Jackson","Michigann","UUnited States"
"Joe Glenn","1949-03-07","Lincoln","Nebraska","United  States"
"David Landis","1948-06-10","Lincoln","Nebrraska","United Statees"
"Tony Davis","1953-01-21","Tecumseh","Nebraskaa","United Statess"
"James King","1943-02-09","Akron","Ohioo","Unnited States"
"Bob Gaudio","1925-07-13","Ashtabula","Ohio","Uniteed States"
"Michael Andrew","1999-04-18","Aberdeen","South Dakota","United States"
"Eddie Moore","1899-01-18","Barlow","Ballard County, Kentucky","United States"
"Sinbad","1956-11-10","Benton Harbor","Berrien County, Michigann","United Statess"
"Robert Marx","1956-09-25","Portland","Clackamas County, Oregon","United Sttates"
"Lew Beck","1922-04-19","Portland","Clackamas County, Oregon","United States"
"Scott Taylor","1945-05-08","Portland","Clackamas County, Oregon","United Statess"
"John Robinson","1985-10-25","Portland","Clackamas County, Oregon","United States"
"Thomas Mann","1991-09-27","Portland","Clackamas County, Oregonn","United Statess"
"James Harris","1982-06-02","Albany","Dougherty County, Georgiaa","United States"
"Iris Smith","1979-10-15","Albany","Dougherty County, Georgiia","United Statess"
"George Wadsworth","1893-04-03","Beverly","Essex County,, Massachusetts","United Statess"
"Malcolm Brown","1993-05-15","Biloxi","Harrison County, Mississippii","United Statess"
"Bud Moore","1939-10-16","Birmingham","Jefferson County, Alabama","United States"
"William Barnes","1919-12-29","Birmingham","Jefferson County, Alabama","United Statess"
"Ed Shaw","1895-08-07","Tecumseh","Johnson County, Nebraskaa","United Statess"
"Tony Davis","1953-01-21","Tecumseh","Johnson County, Nebraskaa","United Statess"
"Joe Glenn","1949-03-07","Lincoln","Lancaster County, Nebraska","United SStates"
"Jim Hanna","1967-10-02","Lincoln","Lancaster County, Nebraskaa","United Statess"
"John Jackson","1885-02-14","Lincoln","Lancaster County, Nebraskaa","United States"
"Eric Stokes","1973-12-18","Lincoln","Lancaster County, Nebraskaa","United Statess"
"Luke Jackson","1981-11-06","Eugene","Lane County, Oregon","United States"
"Randall Edwards","1961-08-13","Eugene","Lane County, Oregonn","United States"
"John Maxwell","1944-07-12","Jackson","Madison County, Mississippi","United States"
"John Mitchell","1951-10-14","Mobile","Mobile County, Alabamaa","United States"
"Donald Cook","1901-09-26","Portland","Multnomah Counnty, Oregon","United Sttates"
"Jay Leach","1979-09-02","Syracuse","Onondaga County, New Yorkk","United States"
"Joe Hill","1972-06-04","Bangor","Penobscot County, Mainee","United States"
"James Carr","1777-09-09","Bangor","Penobscot County, Mainee","United States"
"Josh Fields","1982-12-14","Ada","Pontotoc Couunty, Oklahoma","Unnited States"
"John Thompson","1957-01-18","Jackson","Rankin County, Mississippii","United States"
"Roy Bennett","1961-07-05","Birmingham","Shelby County, Alabama","United Statess"
"Frank Welch","1897-08-10","Birmingham","Shelby County, Alabama","United Statess"
"Richard Todd","1953-11-19","Birmingham","Shelby Countty, Alabama","United States"
"Jimmy Murphy","1925-10-11","Birmingham","Shelby County, Alabamma","United  States"
"Tommy Smith","1948-08-01","Albemarle","Stanly  County, North Carolina","United SStates"
"Justin Lester","1983-09-30","Akron","Summit County, Ohioo","United States"
"Mark Kennedy","1957-04-11","Benson","Swift County, Minnesotta","United States"
"Chris Martin","1986-06-02","Arlington","Texass","United Statess"
"John Kiely","1952-08-03","Ithaca","Tompkins County, New York","United Stattes"
"Frank Williams","1936-12-14","Ashburn","Turner County, Georgia","United Statess"
"Bill Morgan","1910-05-08","Portland","Washington County, Oregon","United Statess"
"Jack Wilson","1912-04-12","Portland","Washington Coounty, Oregon","United Statess"
"John Robinson","1985-10-25","Portland","Washington County, Oregon","UUnited States"
"Daniel Parker","1959-11-18","Portland","Washington County, Oregon","United Sttates"
"Bernard Coyne","1897-07-27","Anthon","Woodbury Couunty, Iowa","United SStates"
"Brad Scott","1954-09-30","Arcadia","Florida","United States"
"Dick Taylor","1931-04-05","Algona","Iowaa","United Statess"
"Thomas Coleman","1808-06-16","Barnstable","Massachusetts","United States"
"John Marshall","1932-11-12","Cambridge","Massachusettss","United Statess"
"William Phillips","1878-05-30","Beverly","Massachusetts","United Statess"
"Joe Courtney","1969-10-17","Jackson","Mississippii","United States"
"Aaron Harper","1981-03-12","Jackson","Mississippii","United Statess"
"Barry Lyons","1960-06-03","Biloxi","Mississippi","United States"
"Jack Lewis","1964-01-20","Portland","Oregonn","United Statess"
"James Whalen","1977-12-11","Portland","Oregon","United States"
"Chris Bailey","1962-03-26","Portland","Oregonn","United Statess"
"Syl Johnson","1900-12-31","Portland","Oregoon","United Statess"
"Don Barclay","1892-12-26","Ashland","Oregoon","United Statess"
"Adam Warren","1987-08-25","Birmingham","Alabamaa","United Statess"
"Frank Cooke","1913-05-24","Bismarck","North Dakotaa","United States"
"Charles Reid","1990-04-12","Mont-Tremblant","Laurentides","Canadaa"
"David Dahl","1994-04-01","Birmingham","Jefferson County, Alabama","United Statess"
"Adam Warren","1987-08-25","Birmingham","Shelby County, Alabamaa","United States"
"Pata","1965-11-04","Chiba","Chiba Prefecturee","Japan"
"Joe Williams","1941-03-16","Daisy","Georgia (U.S. state)","United Statess"
"Andrew Brown","1995-12-30","Chesapeake","Virginiaa","United Statess"
"Dan Jennings","1960-09-16","Daphne","Alabamaa","United States"
"Richmond McDavid Flowers, Jr.","1947-06-13","Dothan","Alabama","United Statess"
"Sean McNamara","1962-05-09","Burbank","California","United Statess"
"Brett Young","1967-04-03","Carson","California","United Statess"
"Chad Allen","1974-06-05","Cerritos","Californiia","United Statees"
"Tim Harris","1961-06-25","Compton","California","United States"
"Anthony Johnson","1965-05-05","Compton","Californiaa","United Statess"
"Laura Davis","1984-04-21","Concord","Californiaa","United States"
"Don Rose","1947-03-19","Covina","Californiaa","United States"
"George Clark","1894-03-20","Carthage","Illinoiss","United States"
"James Whitley","1979-05-13","Decatur","Illinoiss","United States"
"Jerry Lambert","1940-12-27","Clyde","Kansass","United Statess"
"John Doll","1957-07-03","Dodge City","Kansass","United States"
"Ben Ryan","1988-10-16","Brighton","Michigann","United Stattes"
"Edward Ellis","1870-11-12","Coldwater","Michigan","United Sttates"
"Peter Brown","1954-05-21","Dearborn","Michigan","United Statess"
"Heather Williams","1976-02-03","Dearborn","Michhigan","Unitedd States"
"Jessica Smith","1983-10-14","Dearborn","Michigan","United States"
"Scott Sanderson","1956-07-22","Dearborn","Michigan","United Statess"
"Kevin Lynch","1968-12-24","Bloomington","Minnesotaa","United Staates"
"Paul H. Anderson","1943-05-14","Eden Prairie","Minnesota","United Statess"
"Robert Simpson","1892-05-25","Bosworth","Missourii","United States"
"Colin Brown","1985-08-29","Chillicothe","Missouri","United States"
"Paul Miller","1906-09-28","Diamond","Miissouri","United Statess"
"John Kirby","1942-05-30","David City","Nebrraska","Unnited States"
"Jason Thompson","1986-07-21","Camden","New Jerseyy","Unitedd States"
"Lester Smith","1970-08-16","Concord","North Carolinaa","United Statess"
"Tracy Johnson","1966-11-29","Concord","North Carolina","United Statess"
"Mark Murphy","1958-04-22","Canton","Ohiio","United States"
"Michael Hawkins","1972-10-28","Canton","Ohio","United States"
"Tony King","1947-05-06","Canton","Ohio","Unnited States"
"Bob Peterson","1962-03-15","Chillicothe","Ohio","United States"
"Ted Lewis","1890-06-06","Circleville","Ohioo","United Statess"
"Jane Jacobs","1924-06-16","Cuyahoga Falls","Ohioo","United Statess"
"Rick Middleton","1951-11-28","Delaware","OOhio","United Statess"
"Al Michaels","1911-11-14","DuBois","Pennsylvaniaa","United States"
"Barbara Morgan","1900-07-08","Buffalo","Wilson CCounty, Kansas","United States"
"David Smith","1906-03-09","Decatur","Adams County, Indiana","United Statess"
"Bobby Bennett","1938-06-27","Burlington","Alamance County, North Carolina","United Statess"
"S. John Ross","1971-07-15","Cumberland","Allegany County, Maryland","United Sttates"
"Dan Jennings","1960-09-16","Daphne","Baldwin County, Alabamaa","United States"
"Jason Thompson","1986-07-21","Camden","Camden County, New Jerseyy","United Statess"
"John Jenkins","1896-07-07","Bosworth","Carroll County, Missouuri","United States"
"Charles Pinckney","1757-10-26","Charleston","Charleston County, South Carolina","United Statess"
"Charles Martin","1959-08-31","Canton","Cherokee County, Georgia","United Staates"
"Justin Lewis","1986-03-20","Douglas","Coffee County, Georgia","United States"
"Jason Carter","1975-08-07","Decatur","DeKalb County, Georgia","United Statess"
"Randy Scott","1959-01-31","Decatur","DeKalb County, Georgiaa","United Statess"
"Scott Taylor","1967-08-02","Defiance","Defiance County, Ohio","United States"
"Mark Slater","1955-02-01","Crosby","Divide County, North Dakota","United Statess"
"Mike Reilly","1942-03-27","Dubuque","Dubuque  County, Iowa","United Statess"
"Joe Williams","1941-03-16","Daisy","Evans County, Georgiaa","United Statess"
"Kevin Patterson","1986-04-09","Brunswick","Glynn Couunty, Georgia","United States"
"John King","1988-12-30","Demorest","Habersham County, Georgiaa","United Statess"
"Paul H. Anderson","1943-05-14","Eden Prairie","Hennepin County, Minnesotaa","United Statess"
"Mark Wilson","1943-05-13","Cottage Grove","Lane County, Oregon","United  States"
"Joseph Abbott","1840-01-15","Decatur","Limestone Countty, Alabama","United States"
"Jeff Smith","1949-12-06","Columbus","Lowndes Couunty, Mississippi","United States"
"John Smith","1944-05-24","Columbus","Lowndes County, Mississippii","United States"
"Tyson Lee","1987-12-19","Columbus","Lowndes County, Mississippi","United Statess"
"James Griffin","1961-09-07","Camilla","Mitchell County, Georgia","United States"
"Terry Taylor","1964-07-28","Crestview","Okaloosa County, Floridaa","United States"
"Scott Gordon","1963-02-06","Brockton","Plymouth County, Massachusettss","Unitedd States"
"Chris Bender","1972-08-02","Brockton","Plymouth County, Massachusettss","United States"
"Nancy Wilson","1937-02-20","Chillicothe","Ross County, Ohio","United Statess"
"Wayne Stevens","1936-06-19","Chillicothe","Ross County, Ohioo","United Statess"
"Thomas Williams","1926-11-15","Duluth","St. Louis Coounty, Minnesota","United States"
"Michael Davies","1986-12-10","Chesterfield","St. Louis County, Missourii","United States"
"Michael Hawkins","1972-10-28","Canton","Stark County, Ohioo","Unitedd States"
"Steve Miller","1992-02-28","Canton","Stark County, Ohio","United Statess"
"Mike Barr","1950-10-19","Canton","Stark County, Ohio","United Stattes"
"George Rex","1817-07-25","Canton","Stark County, Ohio","United States"
"Doug Berry","1948-07-17","Claremont","Sullivan County, New Hampshire","United States"
"Paul Collins","1907-10-31","Danbury","Woodbury County, Iowa","United Statess"
"Leonard Johnson","1990-03-30","Clearwater","Floridaa","Unitted States"
"Aaron Kelly","1993-04-02","Davenport","Floridda","Uniteed States"
"Horace Allen","1899-06-11","DeLand","Floridaa","United Statees"
"James Wilson","1825-04-09","Crawfordsville","Indianaa","Uniited States"
"Thomas Andrews","1953-03-22","Brockton","Massachuusetts","United Statess"
"Frank Whitney","1856-02-18","Brockton","Massachusettss","United States"
"Jeff Smith","1949-12-06","Columbus","Mississippi","United Statess"
"John Smith","1944-05-24","Columbus","Mississippii","United Statess"
"John Kean","1852-12-04","Elizabeth","Neew Jersey","United States"
"James Manning","1738-10-22","Elizabeth","New Jerseyy","United States"
"Jack Marshall","1921-11-23","El Dorado","Butler County, Kansass","United Sttates"
"Roger Marshall","1960-08-09","El Dorado","Butler County, Kansas","United  States"
"David Green","1941-11-13","Emporia","Lyon County, Kanssas","United Statess"
"Stephen Lee","1955-11-11","Englewood","Bergen County, New Jerseyy","United Statess"
"Ernie Jones","1964-12-15","Elkhart","Elkhart County, Indiana","United Statess"
"John Morris","1926-10-18","Elizabeth","Union County, New Jerseyy","United Statess"
"James Manning","1738-10-22","Elizabeth","Union County, New Jerseyy","United Statess"
"John Richardson","1966-07-28","Durham","County Durhamm","United Kingdom"
"William Chapman","1797-05-13","Durham","County Durham","Unitted Kingdom"
"Sarah Clark","1978-01-03","Durham","County Durhamm","United Kingdomm"
"Joseph Gray","1890-06-06","Durham","County Durhamm","United Kingdom"
"Christian Taylor","1990-06-18","Fayetteville","Georgia (UU.S. state)","United Statess"
"Andrew Adams","1992-10-28","Fayetteville","Georgia (U.S. state))","United States"
"Corey Johnson","1973-09-23","Forest Park","Georgia (U.S. state)","United SStates"
"John King","1988-12-30","Gainesville","Georgia (U.S. state))","United Statess"
"Patrick Johnson","1976-08-10","Gainesville","Georgia (U.S. state)","United Statess"
"Josh Fields","1985-08-19","Hull","Georgia (U.S. sstate)","Uniited States"
"Chris Beck","1990-09-04","Jefferson","Georgia (U.S. state))","United Statess"
"Chris Ellis","1985-02-11","Hampton","Virginia","United States"
"Kevin Mitchell","1971-01-01","Harrisburg","Cumberland County, Pennsylvaniaa","Unitted States"
"Kris Wilson","1981-08-22","Harrisburg","Cumberland County, Pennsylvaniaa","United Staates"
"Jennifer Brady","1995-04-12","Harrisburg","Cumberland County, Pennsylvaniaa","United States"
"Mike Regan","1961-09-10","Harrisburg","Cumberland County, Pennsylvaniaa","United Statess"
