"product","company","industry","location","revenue","country"
"ITSM","Globant","Software development","Luxembourg City","2.583E8","Luxembourg"
"Mainframe computer","Globant","Software development","Luxembourg City","2.583E8","Luxembourg"
"Software Development","Globant","Software development","Luxembourg City","2.583E8","Luxembourg"
"Mobile application development","Globant","Software development","Luxembourg City","2.583E8","Luxembourg"
"Social Networks","Globant","Software development","Luxembourg City","2.583E8","Luxembourg"
"Knife","Böker","Manufacturing","Solingen","3.0E7","Germany"
"Steel","Ternium","Manufacturing","Luxembourg City","8.608E9","Luxembourg"
"Coke (fuel)","Ternium","Manufacturing","Luxembourg City","8.608E9","Luxembourg"
"Cast iron","Ternium","Manufacturing","Luxembourg City","8.608E9","Luxembourg"
"Slag","Ternium","Manufacturing","Luxembourg City","8.608E9","Luxembourg"
"Furniture","Friul Intagli Industries S.p.A.","Manufacturing","Pordenone","9.5E8","Italy"
"Postage meters","Neopost","Manufacturing","Bagneux, Hauts-de-Seine","1.096E9","France"
"Document management system","Neopost","Manufacturing","Bagneux, Hauts-de-Seine","1.096E9","France"
"Franking machines","Neopost","Manufacturing","Bagneux, Hauts-de-Seine","1.096E9","France"
"Cake","Dr. Oetker","Food processing","Bielefeld","1.09E10","Germany"
"Pudding","Dr. Oetker","Food processing","Bielefeld","1.09E10","Germany"
"Frozen pizza","Dr. Oetker","Food processing","Bielefeld","1.09E10","Germany"
"Baking powder","Dr. Oetker","Food processing","Bielefeld","1.09E10","Germany"
"Yogurt","Dr. Oetker","Food processing","Bielefeld","1.09E10","Germany"
"Optical disc","Singulus Technologies","Manufacturing","Kahl am Main","1.182E8","Germany"
"Photovoltaics","Singulus Technologies","Manufacturing","Kahl am Main","1.182E8","Germany"
"Diesel engine","MAN SE","Manufacturing","Munich","1.468E10","Germany"
"Engine","MAN SE","Manufacturing","Munich","1.468E10","Germany"
"Commercial vehicle","MAN SE","Manufacturing","Munich","1.468E10","Germany"
"Turbomachinery","MAN SE","Manufacturing","Munich","1.468E10","Germany"
"Unilever","Jerónimo Martins","Manufacturing","Lisbon","1.498E10","Portugal"
"Rice","Ebro Foods","Food processing","Madrid","1.702E9","Spain"
"Pasta","Ebro Foods","Food processing","Madrid","1.702E9","Spain"
"Food technology","Ebro Foods","Food processing","Madrid","1.702E9","Spain"
"Sauce","Ebro Foods","Food processing","Madrid","1.702E9","Spain"
"Production line","KUKA","Automation","Bavaria","2.095E9","Germany"
"Production line","KUKA","Automation","Augsburg","2.095E9","Germany"
"Industrial robot","KUKA","Automation","Bavaria","2.095E9","Germany"
"Industrial robot","KUKA","Automation","Augsburg","2.095E9","Germany"
"Machine tool","DMG Mori Aktiengesellschaft","Manufacturing","Bielefeld","2.229E9","Germany"
"Dairy products","Danone","Food processing","Paris","2.2412E10","France"
"Bottled water","Danone","Food processing","Paris","2.2412E10","France"
"Dairy products","Danone","Food processing","9th arrondissement of Paris","2.2412E10","France"
"Bottled water","Danone","Food processing","9th arrondissement of Paris","2.2412E10","France"
"Baby food","Danone","Food processing","Paris","2.2412E10","France"
"Baby food","Danone","Food processing","9th arrondissement of Paris","2.2412E10","France"
"Printing","Heidelberger Druckmaschinen","Manufacturing","Heidelberg","2.512E9","Germany"
"Printing press","Heidelberger Druckmaschinen","Manufacturing","Heidelberg","2.512E9","Germany"
"Platesetter","Heidelberger Druckmaschinen","Manufacturing","Heidelberg","2.512E9","Germany"
"Machine","Krones","Manufacturing","Neutraubling","2.82E9","Germany"
"Canning","Krones","Manufacturing","Neutraubling","2.82E9","Germany"
"Production line","Krones","Manufacturing","Neutraubling","2.82E9","Germany"
"Packaging","Krones","Manufacturing","Neutraubling","2.82E9","Germany"
"Product lifecycle management","Dassault Systèmes","Computer-aided engineering","Vélizy-Villacoublay","2.839E9","France"
"Product lifecycle management","Dassault Systèmes","Computer-aided manufacturing","Vélizy-Villacoublay","2.839E9","France"
"3D computer graphics","Dassault Systèmes","Computer-aided manufacturing","Vélizy-Villacoublay","2.839E9","France"
"3D computer graphics","Dassault Systèmes","Computer-aided engineering","Vélizy-Villacoublay","2.839E9","France"
"Industrial robot","Universal Robots","Automation","Odense","2.92E7","Denmark"
"Cable harness","Leoni AG","Manufacturing","Nuremberg","2.956E9","Germany"
"Power cable","Leoni AG","Manufacturing","Nuremberg","2.956E9","Germany"
"Telecommunications cable","Leoni AG","Manufacturing","Nuremberg","2.956E9","Germany"
"Bioethanol","Nordzucker","Food processing","Braunschweig","2443.0","Germany"
"Sugar","Nordzucker","Food processing","Braunschweig","2443.0","Germany"
"Animal feed","Nordzucker","Food processing","Braunschweig","2443.0","Germany"
"Physical plant","Danieli","Manufacturing","Buttrio","2456.0","Italy"
"Lead acid batteries","BAE Batterien","Manufacturing","Berlin","3.0E7","Germany"
"Textile","Prym","Manufacturing","Stolberg (Rhineland)","3.57E8","Germany"
"Materials science","Prym","Manufacturing","Stolberg (Rhineland)","3.57E8","Germany"
"Mechatronics","Prym","Manufacturing","Stolberg (Rhineland)","3.57E8","Germany"
"Haberdashery","Prym","Manufacturing","Stolberg (Rhineland)","3.57E8","Germany"
"White goods","Pitsos","Manufacturing","Kifissia","4.0847E8","Greece"
"Wire","Bekaert","Manufacturing","Kortrijk","4.4E9","Belgium"
"Coating","Bekaert","Manufacturing","Kortrijk","4.4E9","Belgium"
"Materials science","Bekaert","Manufacturing","Kortrijk","4.4E9","Belgium"
"Gas turbine","MTU Aero Engines","Aerospace manufacturer","Munich","4.4E9","Germany"
"Maintenance, repair, and operations","MTU Aero Engines","Aerospace manufacturer","Munich","4.4E9","Germany"
"Military aviation","MTU Aero Engines","Aerospace manufacturer","Munich","4.4E9","Germany"
"Furniture","Natuzzi","Manufacturing","Santeramo in Colle","4.885E8","Italy"
"Steel","Vallourec","Manufacturing","Paris","5.701E9","France"
"Machine tool","Gebr. Heller","Manufacturing","Nürtingen","559.0","Germany"
"Catering","Rational AG","Manufacturing","Landsberg am Lech","564.0","Germany"
"Oven","Rational AG","Manufacturing","Landsberg am Lech","564.0","Germany"
"Paper","Fedrigoni","Manufacturing","Verona","6.26E8","Italy"
"Helicopter","Airbus Helicopters","Aerospace manufacturer","Marignane","6.3E9","France"
"Dairy product","Parmalat","Food processing","Collecchio","6.416E9","Italy"
"Juice","Parmalat","Food processing","Collecchio","6.416E9","Italy"
"Power cable","Nexans","Manufacturing","Paris","6.7E9","France"
"Telecommunications cable","Nexans","Manufacturing","Paris","6.7E9","France"
"Conveyor belt","Semperit","Manufacturing","Vienna","6.894E8","Austria"
"Glove","Semperit","Manufacturing","Vienna","6.894E8","Austria"
"Hose (tubing)","Semperit","Manufacturing","Vienna","6.894E8","Austria"
"Medical glove","Semperit","Manufacturing","Vienna","6.894E8","Austria"
"Rubber","Semperit","Manufacturing","Vienna","6.894E8","Austria"
"Electric power transmission","Prysmian Group","Manufacturing","Milan","7.273E9","Italy"
