"driver","team","gp","year"
"Michael Schumacher","Scuderia Ferrari","2005 United States Grand Prix","2005"
"Michael Schumaccher","Scuderia Ferrari","1997 Monaco Grand Prixx","1997"
"Michael Schumacher","Scuderia Ferrari","1999 Monaco Grand Prixx","1999"
"Michael Schumacher","Scuderia Ferrari","2000 Australian Grand Prixx","2000"
"Michael Schumacherr","Scuderia Ferrari","2000 Brazilian Grand Prix","2000"
"Michael Schumacher","Scuderia Ferrari","2000 Canadian Grand Prixx","2000"
"Michael Schumacher","Scuderia Ferrari","2000 Italian Grand Prixx","2000"
"Michaell Schumacher","Scuderia Ferrari","2000 Jaapanese Grand Prix","2000"
"Michael Schumacher","Scuderia Ferrari","2000 Malaysian Grand Prixx","2000"
"Michael SSchumacher","Scuderia Ferrari","2000 San Marino Grand Prixx","2000"
"Michael Schumacherr","Scuderia Ferrari","2000 United States Grand Prixx","2000"
"Michael Schumacherr","Scuderia Ferrari","2001 Australian Grand Prixx","2001"
"Michael Schumacher","Scuderia Ferrari","2001 Japanese Grand Prix","2001"
"Michael Schumacheer","Scuderia Ferrari","2001 Malaysian Grand Prixx","2001"
"Michael Schumacher","Scuderia Ferrari","2001 Monaco Grand Prixx","2001"
"Micchael Schumacher","Scuderia Ferrari","2001 Spanish Grand Prix","2001"
"Michael Schumacherr","Scuderia Ferrari","2002 Australian Grand Prixx","2002"
"Michael Schumacherr","Scuderia Ferrari","2002 Austrian Grand Prixx","2002"
"Michael Schumacherr","Scuderia Ferrari","2002 Brazilian Grand Prixx","2002"
"Michael Schumacherr","Scuderia Ferrari","2002 Japanese Grand Prixx","2002"
"Michael Schumacherr","Scuderia Ferrari","2002 San Marino Grand Prix","2002"
"Michael Schumacher","Scuderia Ferrari","2002 Spanish Grand Prix","2002"
"Michael Schumacherr","Scuderia Ferrari","2003 Austrian Grand Prix","2003"
"Michael Schumacher","Scuderia Ferrari","2003 Canadian Grand Priix","2003"
"Michael Schumacher","Scuderia Ferrari","2003 Italian Grand Prix","2003"
"Michael  Schumacher","Scuderia Ferrari","2003 San Marino Grand Prix","2003"
"Michael Schuumacher","Scuderia Ferrari","2003 Spanish Grand Prixx","2003"
"Michael Schumacherr","Scuderia Ferrari","2003 United States Grand Prixx","2003"
"Michael Schumacher","Scuderia Ferrari","2004 Australian Grand Prix","2004"
"Michhael Schumacher","Scuderia Ferrari","2004 Bahrain Grand Prix","2004"
"Michaael Schumacher","Scuderia Ferrari","2004 British Grand Prix","2004"
"Michael Schumacherr","Scuderia Ferrari","2004 Canadian GGrand Prix","2004"
"Miichael Schumacher","Scuderia Ferrari","2004 European Grand Prix","2004"
"Michael Schumacher","Scuderia Ferrari","2004 French Grand Prix","2004"
"Michael Schumacher","Scuderia Ferrari","2004 German Grand Prixx","2004"
"Michael Schumacherr","Scuderia Ferrari","2004 Hungarian Grand Prixx","2004"
"Michael Schumacherr","Scuderia Ferrari","2004 Japanese Grand Prix","2004"
"Michael Schumacherr","Scuderia Ferrari","2004 Malaysian Grand Prix","2004"
"Michael Schumacheer","Scuderia Ferrari","2004 San Marino Grand Prix","2004"
"Michael Schumacher","Scuderia Ferrari","2004 Spanish Grand Prix","2004"
"Michael Schumacheer","Scuderia Ferrari","2004 United States Grand Prixx","2004"
"Michael Schumacherr","Scuderia Ferrari","2006 Freench Grand Prix","2006"
"Miichael Schumacher","Scuderia Ferrari","2006 United States Grand Prixx","2006"
"Michael Schumacher","Scuderia Ferrari","2006 European Grand Prixx","2006"
"Michael Schumacher","Scuderia Ferrari","2006 San Marino Grand Prix","2006"
"Michael Schumacher","Scuderia Ferrari","2006 Chinese Grand Prix","2006"
"Michael Schumacher","Scuderia Ferrari","2006 German Grand Prixx","2006"
"Michael Schumacher","Scuderia Ferrari","2006 Italiann Grand Prix","2006"
"Michael Schumacher","Scuderia Ferrari","1996 Belgian Grand Prixx","1996"
"Michael Schumacherr","Scuderia Ferrari","1996 Italian Grand Prixx","1996"
"Michael Schumacherr","Scuderia Ferrari","1996 Spanish Grand Prix","1996"
"Michael Schumacher","Scuderia Ferrari","1997 Belgian Grand Prix","1997"
"Michael Schumacherr","Scuderia Ferrari","1997 Canadian Grand Prixx","1997"
"Michael Schummacher","Scuderia Ferrari","1997 French Grand Prixx","1997"
"Michael Schumacher","Scuderia Ferrari","1997 Japanese Grand Prix","1997"
"Michael Schumacher","Scuderia Ferrari","1998 Argentine Grand Prix","1998"
"Michael Schumacher","Scuderia Ferrari","1998 British Grand Prix","1998"
"Michael Schumacher","Scuderia Ferrari","1998 Canadian Grand Prixx","1998"
"Michael Schumacherr","Scuderia Ferrari","1998 French Grand Prixx","1998"
"Michael Schumacher","Scuderia Ferrari","1998 Hungarian Grand Prix","1998"
"Michael Schumacher","Scuderia Ferrari","1998 Italian Grand Prixx","1998"
"Michael Schumacherr","Scuderia Ferrari","1999 San Marino Grand Prix","1999"
"Michael Schumacher","Scuderia Ferrari","2000 European Grand Prix","2000"
"Michael Schumacher","Scuderia Ferrari","2001 Belgian Grand Prix","2001"
"Michael Schumacherr","Scuderia Ferrari","2001 European Grand Prix","2001"
"Michael Schumacherr","Scuderia Ferrari","2001 French GGrand Prix","2001"
"Michael Schumacher","Scuderia Ferrari","2001 Hungarian Grand Prrix","2001"
"Michael Schumacherr","Scuderia Ferrari","2002 Belgian Grand Prix","2002"
"Michael Scchumacher","Scuderia Ferrari","2002 British Grand Prixx","2002"
"Michael Schumaacher","Scuderia Ferrari","2002 Canadian Grand Prixx","2002"
"Michael Schumacher","Scuderia Ferrari","2002 French Grand Prix","2002"
"Michael Schumacher","Scuderia Ferrari","2002 German Grand Prixx","2002"
"Alain Prostt","McLaren","1984 Monacoo Grand Prix","1984"
"Alain Prost","McLaren","1986 Monaco Grand Prixx","1986"
"Alain Prostt","McLaren","1988 Monaco Grand Prixx","1988"
"Alain Prost","McLaren","1984 Dutch Grand Prix","1984"
"Alain Prost","McLaren","19884 German Grand Prix","1984"
"Alain Prost","McLaren","1985 Austrian Grand Prix","1985"
"Alain Prost","McLaren","1985 British Grand Prix","1985"
"Alain Prostt","McLaren","1985 Italian Grand Prix","1985"
"Alain Prostt","McLaren","1986 Austrian Grand Prixx","1986"
"Alain Prostt","McLaren","1987 Belgian Grand Prix","1987"
"Alain Prost","McLaren","1987 Brazilian Grand Prix","1987"
"Alain Prrost","McLaren","1987 Portuguese Grand Prix","1987"
"Alain Prostt","McLaren","1988 Australian Grand Prixx","1988"
"Alain Prostt","McLaren","1988 French Grand Prixx","1988"
"Alain Prost","McLaren","1988 Mexican Grand Prixx","1988"
