"lake","area","location","state"
"Aaron River Reservoir","550372.0","Cohasset, Massachusetts","Massachusetts"
"Abner Pond","40468.6","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Abner Pond","40468.6","Plymouth, Massachusetts","Massachusetts"
"Accord Pond","404686.0","Norwell, Massachusetts","Plymouth County, Massachusetts"
"Accord Pond","404686.0","Rockland, Massachusetts","Plymouth County, Massachusetts"
"Accord Pond","404686.0","Hingham, Massachusetts","Plymouth County, Massachusetts"
"Accord Pond","404686.0","Norwell, Massachusetts","Massachusetts"
"Accord Pond","404686.0","Rockland, Massachusetts","Massachusetts"
"Accord Pond","404686.0","Hingham, Massachusetts","Massachusetts"
"Almaden Reservoir","250905.0","Santa Clara County, California","California"
"Alpine Lake (Marin County, California)","906496.0","Marin County, California","California"
"Antonelli Pond","25899.9","Santa Cruz, California","California"
"Arnold School Pond","48562.3","Pembroke, Massachusetts","Plymouth County, Massachusetts"
"Arnold School Pond","48562.3","Pembroke, Massachusetts","Massachusetts"
"Assawompset Pond","9.72864e+06","Lakeville, Massachusetts","Plymouth County, Massachusetts"
"Assawompset Pond","9.72864e+06","Middleborough, Massachusetts","Plymouth County, Massachusetts"
"Assawompset Pond","9.72864e+06","Lakeville, Massachusetts","Massachusetts"
"Assawompset Pond","9.72864e+06","Middleborough, Massachusetts","Massachusetts"
"Banana Lake","1.08456e+06","Lakeland, Florida","Florida"
"Barrett Pond (Carver, Massachusetts)","64749.7","Carver, Massachusetts","Plymouth County, Massachusetts"
"Barrett Pond (Carver, Massachusetts)","64749.7","Carver, Massachusetts","Massachusetts"
"Bartlett Pond (Plymouth, Massachusetts)","133546.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Bartlett Pond (Plymouth, Massachusetts)","133546.0","Plymouth, Massachusetts","Massachusetts"
"Basket Lake","249286.0","Sebring, Florida","Florida"
"Bass Lake (Madera County, California)","4.72e+06","Madera County, California","California"
"Bass Lake (Marin County, California)","30000.0","Marin County, California","California"
"Bates Pond (Carver, Massachusetts)","80937.1","Carver, Massachusetts","Plymouth County, Massachusetts"
"Bates Pond (Carver, Massachusetts)","80937.1","Carver, Massachusetts","Massachusetts"
"Beaver Dam Pond (Plymouth, Massachusetts)","121406.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Beaver Dam Pond (Plymouth, Massachusetts)","121406.0","Plymouth, Massachusetts","Massachusetts"
"Belvedere Lagoon","267093.0","Marin County, California","California"
"Bethany Reservoir","728434.0","Alameda County, California","California"
"Big Lagoon (California)","5.94888e+06","Humboldt County, California","California"
"Big Pond (Massachusetts)","1.33546e+06","Otis, Massachusetts","Massachusetts"
"Big Rocky Pond","80937.1","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Big Rocky Pond","80937.1","Plymouth, Massachusetts","Massachusetts"
"Big Sage Reservoir","2.13269e+07","Modoc County, California","California"
"Big Sandy Pond","542279.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Big Sandy Pond","542279.0","Plymouth, Massachusetts","Massachusetts"
"Billington Sea","1.0886e+06","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Billington Sea","1.0886e+06","Plymouth, Massachusetts","Massachusetts"
"Black Butte Lake","1.8049e+07","Glenn County, California","California"
"Black Butte Lake","1.8049e+07","Tehama County, California","California"
"Black Jimmy Pond","44515.4","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Black Jimmy Pond","44515.4","Plymouth, Massachusetts","Massachusetts"
"Blackmore Pond","186155.0","Wareham, Massachusetts","Plymouth County, Massachusetts"
"Blackmore Pond","186155.0","Wareham, Massachusetts","Massachusetts"
"Bloody Pond (Massachusetts)","396592.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Bloody Pond (Massachusetts)","396592.0","Plymouth, Massachusetts","Massachusetts"
"Blue Cypress Lake","2.63046e+07","Fellsmere, Florida","Florida"
"Blue Lake (Sebring, Florida)","136622.0","Sebring, Florida","Florida"
"Boca Reservoir","4e+06","Nevada County, California","California"
"Bonny Lake (Florida)","1.00767e+06","Lakeland, Florida","Florida"
