"monarch","deathDate","predecessor","successor"
"Vespasian","","Vitellius","Titus"
"Valerian (emperor)","","Aemilianus","Gallienus"
"Licinius","","Flavius Valerius Severus","Constantine I"
"Gallienus","","Aemilianus","Claudius II"
"Caligula","0041-01-24","Tiberius","Claudius"
"Caligula","0041-01-24","Great uncle","Claudius"
"Claudius","0054-10-13","Caligula","Nero"
"Nero","0068-06-09","Claudius","Galba"
"Galba","0069-01-13","Nero","Otho"
"Otho","0069-04-16","Galba","Vitellius"
"Vitellius","0069-12-22","Otho","Vespasian"
"Vespasian","0079-06-23","Vitellius","Titus"
"Titus","0081-09-13","Vespasian","Domitian"
"Domitian","0096-09-18","Titus","Nerva"
"Nerva","0098-01-27","Domitian","Trajan"
"Nerva","0098-01-28","Domitian","Trajan"
"Antoninus Pius","0161-03-07","Hadrian","Lucius Verus"
"Antoninus Pius","0161-03-07","Hadrian","Marcus Aurelius"
"Lucius Verus","0169-01-01","Antoninus Pius","Marcus Aurelius"
"Marcus Aurelius","0180-03-17","Antoninus Pius","Commodus"
"Commodus","0192-12-31","Marcus Aurelius","Pertinax"
"Pertinax","0193-03-28","Commodus","Didius Julianus"
"Septimius Severus","0211-02-04","Didius Julianus","Caracalla"
"Septimius Severus","0211-02-04","Didius Julianus","Publius Septimius Geta"
"Geta (emperor)","0211-12-26","Septimius Severus","Caracalla"
"Geta (emperor)","0212-02-12","Septimius Severus","Caracalla"
"Caracalla","0217-04-08","Septimius Severus","Macrinus"
"Macrinus","0218-01-01","Caracalla","Elagabalus"
"Gordian I","0238-01-01","Maximinus Thrax","Balbinus"
"Gordian I","0238-01-01","Maximinus Thrax","Pupienus"
"Gordian II","0238-04-12","Maximinus Thrax","Balbinus"
"Gordian II","0238-04-12","Maximinus Thrax","Pupienus"
"Maximinus Thrax","0238-05-10","Severus Alexander","Balbinus"
"Maximinus Thrax","0238-05-10","Severus Alexander","Pupienus"
"Pupienus","0238-07-29","Gordian I","Gordian III"
