"city","state"
"Abiline","Texas, TX"
"Alamusa","Colorado, CO"
"Albanee","Oregon, OR"
"Albuqerque","New Mexico, NM"
"Algonkwen","Illinois, IL"
"Anapolis","Maryland, MD"
"Artesea","Mississippi, MS"
"Atthol","Massachusetts, MA"
"Aburn","Alabama, AL"
"Aubern","Washington, WA"
"Alt","Colorado, CO"
"Ult","Colorado, CO"
"Uarora","Illinois, IL"
"Austen","Texas, TX"
"Bayo La Bater","Alabama, AL"
"Boyu La Batre","Alabama, AL"
"Beatie","Kansas, KS"
"Bever","Oklahoma, OK"
"Beleevue","Washington, WA"
"Belleveu","Washington, WA"
"Bemidjee","Minnesota, MN"
"Berklui","California, CA"
"Berlen","New Hampshire, NH"
"Burlin","New Hampshire, NH"
"Berthood","Colorado, CO"
"Birminghum","Alabama, AL"
"Bluefeild","West Virginia, WV"
"Bothel","Washington, WA"
"Bolder","Colorado, CO"
"Braeux Bridge","Louisiana, LA"
"Castrovile","California, CA"
"Chadborn","North Carolina, NC"
"Charleton","South Carolina, SC"
"Chatswoorth","California, CA"
"Chatanoga","Tennessee, TN"
"Cheyene","Wyoming, WY"
"Chiko","California, CA"
"Chewla Vista","California, CA"
"Chola Vista","California, CA"
"Churobusco","Indiana, IN"
"Cinsinati","Ohio, OH"
"Cochela","California, CA"
"Colubus","Ohio, OH"
"Cordell","Georgia, GA"
"Corsikana","Texas, TX"
"Cranferd","New Jersey, NJ"
"Dawlten","Georgia, GA"
"Danebrog","Nebraska, NE"
"Dannesborg","Nebraska, NE"
"Dawsen","Georgia, GA"
"Dawsin","Georgia, GA"
"DeeKalb","Illinois, IL"
"Dear Trail","Colorado, CO"
"Daland","Florida, FL"
"Denvile","New Jersey, NJ"
"Dove Creak","Colorado, CO"
"Deluth","Minnesota, MN"
"Egdewater","Colorado, CO"
"L Rino","Oklahoma, OK"
"Elgen","South Carolina, SC"
"Elisabethton","Tennessee, TN"
"Elizabethten","Tennessee, TN"
"Emmitsburg","Iowa, IA"
"Ufaula","Alabama, AL"
"Eugean","Oregon, OR"
"Ustis","Florida, FL"
"Falon","Nevada, NV"
"Fayettevile","North Carolina, NC"
"Fayettville","Arkansas, AR"
"Forrestville","California, CA"
"Fort Colins","Colorado, CO"
"Fort Dogde","Iowa, IA"
"Fort Le","New Jersey, NJ"
"Fort Pane","Alabama, AL"
"Gallop","New Mexico, NM"
"Genao","Nevada, NV"
"Glochester","Massachusetts, MA"
"Grinnel","Iowa, IA"
"Geuydan","Louisiana, LA"
"Gulf port","Mississippi, MS"
"Haisenda Heights","California, CA"
"Hains","Alaska, AK"
"Haleyvile","Alabama, AL"
"Hamelton","Texas, TX"
"Hercales","California, CA"
"Hialaeh","Florida, FL"
