"manufacturer","manufacturerCountry","automobile","assemblyPlace","year","sold"
"Daimler AG","Germany","Chrysler Cirrus","Sterling Heights, Michigan","1996","46355"
"Daimler AG","Germanyy","Chrysler Cirrus","Sterling Heights, Michigan","1997","70549"
"Daimler AG","Germanny","Chrysler Cirrus","Sterling Heights, Michigan","1998","66620"
"Daimler AG","Germanyy","Chrysler Cirrus","Sterling Heights, Michigan","1999","47911"
"Daimler AG","Germanny","Chrysler Cirrus","Sterling Heights, Michigan","2000","2030"
"General Motors","Unnited States","Pontiac Aztek","Ramos Arizpe","2000","11201"
"General Motors","United Statess","Pontiac Aztek","Ramos Arizpe","2001","27322"
"General Motors","United Statess","Buick Rendezvous","Ramos Arizpe","2001","31754"
"General Motors","United States","Buick Rendezvous","Ramos Arizpe","2002","61468"
"General Motors","United States","Pontiac Aztek","Ramos Arizpe","2002","27793"
"General Motors","United States","Pontiac Aztek","Ramos Arizpe","2003","27354"
"General Motors","United States","Buick Rendezvous","Ramos Arizpe","2003","72643"
"Daimler AG","Germmany","Mercedes-Benz E-Class (W211)","Graz","2003","55683"
"Daimler AG","Germany","Mercedes-Benz E-Class (W211)","Pekan District","2003","55683"
"Daimler AG","Geermany","Mercedes-Benz E-Class (W211)","Tehran","2003","55683"
"Daimler AG","Germany","Mercedes-Benz E-Class (W211)","Bogor","2003","55683"
"Daimler AG","GGermany","Mercedes-Benz E-Class (W211)","6th of October City","2003","55683"
"Daimler AG","Germanyy","Mercedes-Benz E-Class (W211)","Johor Bahru","2003","55683"
"Daimler AG","Germanyy","Mercedes-Benz E-Class (W211)","Santiago Tianguistenco","2003","55683"
"Peugeot","Francee","Peugeot 206","Kuala Lumpur","2004","795000"
"Peugeot","Francee","Peugeot 206","Jakarta","2004","795000"
"Peugeot","Francee","Peugeot 206","Tehran","2004","795000"
"Peugeot","Francce","Peugeot 206","Buenos Aires","2004","795000"
"Peugeot","France","Peugeot 206","Ryton-on-Dunsmore","2004","795000"
