"Medicine","Trade","ATC Code","Route of administration"
"aspirine","Bayer Aspirin","A01AD05","By mouth"
"asperine","Bayer Aspirin","A01AD05","By mouth"
"aspririn","Bayer Aspirin","A01AD05","By mouth"
"ibuprophen","Advil","C01EB16","Intravenous"
"ibrophen","Advil","C01EB16","Intravenous"
"ibreprophen","Advil","C01EB16","Intravenous"
"ibprouphen","Advil","C01EB16","Intravenous"
"ibupropen","Advil","C01EB16","Intravenous"
"ibuprohen","Advil","C01EB16","Intravenous"
"niproxin","Anaprox","G02CC02","By mouth"
"acetaminophen","Tylenol","N02BE01","Rectal"
"aspirin","Bayer Aspirin","A01AD05","By mouth"
"ibuprofen","Advil","C01EB16","Intravenous"
"naproxen","Anaprox","G02CC02","By mouth"
"sertraline","Zoloft","N06AB06","By mouth"
