"city","state"
"Abbevile","Georgia, GA"
"Abeville","Georgia, GA"
"Abiline","Texas, TX"
"Alabastre","Alabama, AL"
"Alamedda","California, CA"
"Alamusa","Colorado, CO"
"Albanee","Oregon, OR"
"Albny","Oregon, OR"
"Allbany","New York, NY"
"Albertvile","Alabama, AL"
"Abaquerque","New Mexico, NM"
"Albequerque","New Mexico, NM"
"Albuqerque","New Mexico, NM"
"Albuquerqe","New Mexico, NM"
"Allgona","Washington, WA"
"Allgona","Iowa, IA"
"Algonkwen","Illinois, IL"
"Algonkwin","Illinois, IL"
"Andarson","South Carolina, SC"
"An Arbor","Michigan, MI"
"Anapolis","Maryland, MD"
"Aniston","Alabama, AL"
"Annoka","Minnesota, MN"
"Anthoy","New Mexico, NM"
"Apach Junction","Arizona, AZ"
"Apache Junktion","Arizona, AZ"
"Apecks","North Carolina, NC"
"Artesea","Mississippi, MS"
"Avrada","Colorado, CO"
"Ashtown","Idaho, ID"
"Athins","Georgia, GA"
"Aburn","Alabama, AL"
"Aubern","Washington, WA"
"Uaburn","Washington, WA"
"Alt","Colorado, CO"
"Uarora","Illinois, IL"
"Austen","Texas, TX"
"Bakersfeild","California, CA"
"Baltimor","Maryland, MD"
"Bandira","Texas, TX"
"Banger","Maine, ME"
"Bardston","Kentucky, KY"
"Bare","Vermont, VT"
"Bakster Springs","Kansas, KS"
"Bayo La Batre","Alabama, AL"
"Bayou La Bater","Alabama, AL"
"Bayuo La Batre","Alabama, AL"
"Boyu La Bater","Alabama, AL"
"Baerdstown","Illinois, IL"
"Baettie","Kansas, KS"
"Beatie","Kansas, KS"
"Beever","Oklahoma, OK"
"Beleevue","Washington, WA"
"Belingham","Washington, WA"
"Belsoni","Mississippi, MS"
"Bemedji","Minnesota, MN"
"Bemidje","Minnesota, MN"
"Bemidjee","Minnesota, MN"
"Berkley","California, CA"
"Berklui","California, CA"
"Berkly","California, CA"
"Berlen","New Hampshire, NH"
"Burlin","New Hampshire, NH"
"Berian Springs","Michigan, MI"
"Brerrian Springs","Michigan, MI"
"Berryvile","Arkansas, AR"
"Berthood","Colorado, CO"
"Burthoud","Colorado, CO"
"Bertrim","Texas, TX"
"Betheny Beach","Delaware, DE"
"Bethleham","Connecticut, CT"
"Bethleham","Pennsylvania, PA"
"Bilcksi","Mississippi, MS"
"Bilocksi","Mississippi, MS"
"Bimghamton","New York, NY"
"Bermingham","Alabama, AL"
"Berminghum","Alabama, AL"
"Birminghum","Alabama, AL"
"Brimingham","Alabama, AL"
"Bisshop","California, CA"
"Bluefeild","West Virginia, WV"
"Bonne","North Carolina, NC"
"Bostun","Massachusetts, MA"
"Bothel","Washington, WA"
"Bolder","Colorado, CO"
"Bozman","Montana, MT"
"Braeux Bridge","Louisiana, LA"
"Brekenridge","Colorado, CO"
"Breverd","North Carolina, NC"
"Brigdeport","Connecticut, CT"
"Bristal","Connecticut, CT"
"Bristel","Connecticut, CT"
"Bristel","Virginia, VA"
"Bristil","Tennessee, TN"
"Brocktun","Massachusetts, MA"
"Brocton","Massachusetts, MA"
"Brokton","Massachusetts, MA"
"Brooklen","New York, NY"
"Brunswik","Missouri, MO"
"Benua","California, CA"
"Beuna","California, CA"
"Bunena","California, CA"
"Buhll","Idaho, ID"
"Bulh","Idaho, ID"
"Bull","Idaho, ID"
"Bute","Montana, MT"
"Butt","Montana, MT"
"Biram Township","New Jersey, NJ"
"Kalabash","North Carolina, NC"
"Callwel","Texas, TX"
"Callwell","Texas, TX"
"Calwel","Texas, TX"
"Campbel","California, CA"
"Cannon","Georgia, GA"
