"city","state"
"Abbeville","Georgia, GA"
"Abilene","Texas, TX"
"Adamsville","Tennessee, TN"
"Akron","Ohio, OH"
"Alabaster","Alabama, AL"
"Alameda","California, CA"
"Alamosa","Colorado, CO"
"Albany","Oregon, OR"
"Albany","New York, NY"
"Albertville","Alabama, AL"
"Albuquerque","New Mexico, NM"
"Algona","Washington, WA"
"Algona","Iowa, IA"
"Algonquin","Illinois, IL"
"Allentown","Pennsylvania, PA"
"Alma","Arkansas, AR"
"Anderson","South Carolina, SC"
"Ann Arbor","Michigan, MI"
"Annapolis","Maryland, MD"
"Anniston","Alabama, AL"
"Anoka","Minnesota, MN"
"Anthony","New Mexico, NM"
"Apache Junction","Arizona, AZ"
"Apex","North Carolina, NC"
"Artesia","Mississippi, MS"
"Arvada","Colorado, CO"
"Ashton","Idaho, ID"
"Aspen","Colorado, CO"
"Athens","Georgia, GA"
"Athol","Massachusetts, MA"
"Atlanta","Georgia, GA"
"Auburn","Alabama, AL"
"Auburn","Washington, WA"
"Ault","Colorado, CO"
"Aurora","Colorado, CO"
"Aurora","Illinois, IL"
"Austin","Texas, TX"
"Bakersfield","California, CA"
"Baltimore","Maryland, MD"
"Bandera","Texas, TX"
"Bangor","Maine, ME"
"Bardstown","Kentucky, KY"
"Barre","Vermont, VT"
"Batavia","Illinois, IL"
"Baxter Springs","Kansas, KS"
"Bayou La Batre","Alabama, AL"
"Beardstown","Illinois, IL"
"Beattie","Kansas, KS"
"Beaver","Oklahoma, OK"
"Bellevue","Washington, WA"
"Bellingham","Washington, WA"
"Belzoni","Mississippi, MS"
"Bemidji","Minnesota, MN"
"Berea","Kentucky, KY"
"Berkeley","California, CA"
"Berlin","New Hampshire, NH"
"Berrien Springs","Michigan, MI"
"Berryville","Arkansas, AR"
"Berthoud","Colorado, CO"
"Bertram","Texas, TX"
"Bessemer","Alabama, AL"
"Bethany Beach","Delaware, DE"
"Bethlehem","Connecticut, CT"
"Bethlehem","Pennsylvania, PA"
"Biloxi","Mississippi, MS"
"Binghamton","New York, NY"
"Birmingham","Alabama, AL"
"Bishop","California, CA"
"Bloomington","Illinois, IL"
"Bluefield","West Virginia, WV"
"Boone","North Carolina, NC"
"Boston","Massachusetts, MA"
