"Realm / Kingdom","Monarch","Since","Length","House","Type","Heir apparent"
"Principality of Andorra","Co-Prince Emmanuel Macron","14 May 2017","2 years, 204 days","","Constitutional","Ex officio"
"Principality of Andorra","Co-Prince Archbishop Joan Enric Vives Sicília","12 May 2003","16 years, 206 days","","Constitutional","Ex officio"
"Antigua and Barbuda","Queen Elizabeth II","1 November 1981","38 years, 33 days","Windsor","Constitutional","Charles, Prince of Wales"
"Commonwealth of Australia","Queen Elizabeth II","6 February 1952","67 years, 301 days","Windsor","Constitutional","Charles, Prince of Wales"
"Commonwealth of the Bahamas","Queen Elizabeth II","10 July 1973","46 years, 147 days","Windsor","Constitutional","Charles, Prince of Wales"
"Barbados","Queen Elizabeth II","30 November 1966","53 years, 4 days","Windsor","Constitutional","Charles, Prince of Wales"
"Belize","Queen Elizabeth II","21 September 1981","38 years, 74 days","Windsor","Constitutional","Charles, Prince of Wales"
"Canada","Queen Elizabeth II","6 February 1952","67 years, 301 days","Windsor","Constitutional","Charles, Prince of Wales"
"Grenada","Queen Elizabeth II","7 February 1974","45 years, 300 days","Windsor","Constitutional","Charles, Prince of Wales"
"Jamaica","Queen Elizabeth II","6 August 1962","57 years, 120 days","Windsor","Constitutional","Charles, Prince of Wales"
"New Zealand","Queen Elizabeth II","6 February 1952","67 years, 301 days","Windsor","Constitutional","Charles, Prince of Wales"
"Independent State of Papua New Guinea","Queen Elizabeth II","16 September 1975","44 years, 79 days","Windsor","Constitutional","Charles, Prince of Wales"
"Federation of Saint Kitts and Nevis","Queen Elizabeth II","19 September 1983","36 years, 76 days","Windsor","Constitutional","Charles, Prince of Wales"
"Saint Lucia","Queen Elizabeth II","22 February 1979","40 years, 285 days","Windsor","Constitutional","Charles, Prince of Wales"
"Saint Vincent and the Grenadines","Queen Elizabeth II","27 October 1979","40 years, 285 days","Windsor","Constitutional","Charles, Prince of Wales"
"Solomon Islands","Queen Elizabeth II","7 July 1978","41 years, 150 days","Windsor","Constitutional","Charles, Prince of Wales"
"Tuvalu","Queen Elizabeth II","1 October 1978","41 years, 64 days","Windsor","Constitutional","Charles, Prince of Wales"
"United Kingdom of Great Britain and Northern Ireland","Queen Elizabeth II","6 February 1952","67 years, 301 days","Windsor","Constitutional","Charles, Prince of Wales"
"Kingdom of Bahrain","King Hamad bin Isa","6 March 1999","20 years, 273 days","Al Khalifah","Mixed","Salman, Crown Prince of Bahrain"
