"Country","Region","City"
"United States","Illinois","Cambridge"
"United States","Maryland","Cambridge"
"United States","Massachusetts","Cambridge"
"United States","Minnesota","Cambridge"
"United States","Nebraska","Cambridge"
"United States","New York","Cambridge"
"United States","Ohio","Cambridge"
"United States","Wisconsin","Cambridge"
"United States","Alabama","Camden"
"United States","Arkansas","Camden"
"United States","Delaware","Camden"
"United States","Maine","Camden"
"United States","New Jersey","Camden"
"United States","New York","Camden"
"United States","North Carolina","Camden"
"United States","Ohio","Camden"
"United States","South Carolina","Camden"
"United States","Tennessee","Camden"
"United States","Mississippi","Como"
"United States","Wisconsin","Como"
"United States","California","Dublin"
"United States","Georgia","Dublin"
"United States","New Hampshire","Dublin"
"United States","Ohio","Dublin"
"United States","Pennsylvania","Dublin"
"United States","Texas","Dublin"
"United States","Virginia","Dublin"
"United States","Alabama","Hamilton"
"United States","Georgia","Hamilton"
"United States","Illinois","Hamilton"
"United States","Indiana","Hamilton"
"United States","Massachusetts","Hamilton"
"United States","Missouri","Hamilton"
"United States","Montana","Hamilton"
"United States","New York","Hamilton"
"United States","Ohio","Hamilton"
"United States","Texas","Hamilton"
"United States","Illinois","Kingston"
"United States","Massachusetts","Kingston"
"United States","Missouri","Kingston"
"United States","New Hampshire","Kingston"
"United States","New Jersey","Kingston"
"United States","New York","Kingston"
"United States","Ohio","Kingston"
"United States","Oklahoma","Kingston"
"United States","Pennsylvania","Kingston"
"United States","Rhode Island","Kingston"
"United States","Tennessee","Kingston"
"United States","Washington","Kingston"
"United States","Illinois","Lebanon"
"United States","Indiana","Lebanon"
"United States","Kentucky","Lebanon"
"United States","Maine","Lebanon"
"United States","Missouri","Lebanon"
"United States","New Hampshire","Lebanon"
"United States","New Jersey","Lebanon"
"United States","Ohio","Lebanon"
"United States","Oregon","Lebanon"
"United States","Pennsylvania","Lebanon"
"United States","Tennessee","Lebanon"
"United States","Virginia","Lebanon"
"United States","Connecticut","Lisbon"
"United States","Iowa","Lisbon"
"United States","Maine","Lisbon"
"United States","North Dakota","Lisbon"
"United States","Ohio","Lisbon"
"United States","Arkansas","London"
"United States","California","London"
"United States","Kentucky","London"
"United States","Ohio","London"
"United States","Connecticut","Manchester"
"United States","Georgia","Manchester"
"United States","Iowa","Manchester"
"United States","Kentucky","Manchester"
"United States","Maine","Manchester"
"United States","Maryland","Manchester"
"United States","Michigan","Manchester"
"United States","Missouri","Manchester"
"United States","New Hampshire","Manchester"
"United States","New York","Manchester"
"United States","Ohio","Manchester"
"United States","Pennsylvania","Manchester"
"United States","Tennessee","Manchester"
"United States","Washington","Manchester"
"United States","Wisconsin","Manchester"
"United States","Minnesota","Medina"
"United States","New York","Medina"
"United States","Ohio","Medina"
"United States","Tennessee","Medina"
"United States","Texas","Medina"
"United States","Washington","Medina"
"United States","Illinois","Milan"
"United States","Indiana","Milan"
"United States","Michigan","Milan"
"United States","Missouri","Milan"
"United States","New Hampshire","Milan"
"United States","New Mexico","Milan"
"United States","Ohio","Milan"
"United States","Tennessee","Milan"
"United States","Arkansas","Monticello"
"United States","Florida","Monticello"
