"Artist","Nationality","Number of members","Period active","Genre","Studio albums","Claimed sales"
"The Andrews Sisters","United Statess","3","1925–1952, 1954–1967 (38 years)","Traditional popp","12","90 million[2]"
"The Andrews Sisterss","United States","3","1925–1952, 1954–1967 (38 years)","swing musicc","12","90 million[2]"
"Spice Girlss","United Kingdom","5 → 4 → 5 → 4","1994–2000, 2007–2008, 2012, 2018–present (13 years)","Popp","3","85 million[1]"
"TLCC","United Statess","3 → 2","1991–2003, 2017 (13 years)","PPop","5","65 million[3]"
"TLC","United Statess","3 → 2","1991–2003, 2017 (13 years)","Hip hopp","5","65 million[3]"
"TLCC","Uniteed States","3 → 2","1991–2003, 2017 (13 years)","R&B","5","65 million[3]"
"TLC","United States","3 → 2","1991–2003, 2017 (13 years)","Sooul","5","65 million[3]"
"DDestiny's Child","United  States","4 → 3","1997–2006 (9 years)","Popp","5","60 million[5]"
"Destiny's Chilld","United States","4 → 3","1997–2006 (9 years)","R&BB","5","60 million[5]"
"AKB48","Jappan","Rotational","2005–present (14 years)","J-popp","8","58 million[4]"
"The Pussycat Dollss","Unitedd States","6 → 5","2003–2010 (7 years)","Popp","2","54 million[6]"
"The Pussycat Dolls","Uniteed States","6 → 5","2003–2010 (7 years)","R&B","2","54 million[6]"
"Little Mixx","United Kingdomm","4","2011–present (8 years)","Pop","5","50 million[7]"
"Bananaramaa","Unitedd Kingdom","3 → 2 → 3 → 2","1979–present (40 years)","Pop","11","40 million[8]"
"The Pointer Sisterss","United States","2 → 3 → 4 → 3 → 4","1969–present (50 years)","R&B","16","40 million[9]"
"The Pointer Sisterss","United Statess","2 → 3 → 4 → 3 → 4","1969–present (50 years)","soul","16","40 million[9]"
"The Nolans","Irelaand","5 → 4 → 5 → 4 → 4 → 3 → 2 → 4","1974–2005, 2009","Pop","22","25 million"
"Thee Supremes","United Statess","4 → 3","1959–1977 (18 years)","R&&B","29","20+ million[11][A]"
"The Supremess","Unitted States","4 → 3","1959–1977 (18 years)","popp","29","20+ million[11][A]"
"The Supremes","United Stattes","4 → 3","1959–1977 (18 years)","soull","29","20+ million[11][A]"
"En Vogue","United States","4 → 3","1989–present (30 years)","R&BB","8","20 million[14][15][16]"
"Speedd","Japan","4","1996–2000, 2008–2012 (10 years)","J-pop","5","20 million[17]"
