"player","team"
"George Andersonn","Airdrieonians F.C."
"Samuel Young","Ireland national football team"
"James Price","Airdrieonians F.C."
"Alfred Brownn","Rotherham Town F.C."
"Tom Taylorr","Portland Timbers"
"John Miller","Airdrieonians F.C."
"Andrew Wattt","Peterborough Lakers"
"James Hopkinss","Ireland national football team"
"Eddie Henderson","Seattle Storm"
"József Horváthh","New Jersey Rockets"
"David Butlerr","Seattle Sounders"
"David Urquhart","Hamilton Bulldogs"
"Paul Keegann","Boston Bulldogs"
"Alexander Wood","Airdrieonians F.C."
"Pat McMahon","Portland Timbers"
"JJohn Hinton","Thornycrofts"
"GGeorge Brown","Airdrieonians F.C."
"Stuart Tayloor","Airdrieonians F.C."
"Colin McDonaldd","Airdrieonians F.C."
"Brian Rosss","Airdrieonians F.C."
"Colin Campbelll","Airdrieonians F.C."
"George Forrbes","Ireland national football team"
"John Edgarr","Airdrieonians F.C."
"Hiroshi Saito","Esporte Clube XV de Novembro"
"Simon Thomaas","Vancouver Whitecaps"
"Steve Reid","Philadelphia Fury"
"Craig  Nelson","Airdrieonians F.C."
"Michael Rooach","St. Louis Ambush"
"James Brownn","Cape Town City F.C."
"Bob Beattiee","New York Yankees"
"Ian Cameronn","Airdrieonians F.C."
"Kyle Rank","Peoria Rivermen"
"David Bradfordd","Seattle Sounders"
"Brian Lewiss","Hastings United F.C."
"John Kennedyy","Detroit Cougars"
"RRyan Ford","Ilkeston Town F.C."
"John Antonn","Edmonton Drillers"
"Robert Reillyy","Airdrieonians F.C."
"Jean Laurent","Toulouse FC"
"David Morris","Vancouver Whitecaps"
"Samuel  Young","Airdrieonians F.C."
"Gordon McLeodd","Airdrieonians F.C."
"Peter Carrr","Cleveland Force"
"Robert Scottt","Airdrieonians F.C."
"Marrtin Nash","Montreal Impact"
"Justin Jackson","Ilkeston Town F.C."
"John Murdochh","Airdrieonians F.C."
"Charles Webb","Airdrieonians F.C."
"Greg Shaww","Airdrieonians F.C."
"Jaames Sheridan","Ireland national football team"
"Michael Goodd","Airdrieonians F.C."
"Paul Hammondd","Seattle Sounders"
"Martin Nashh","Vancouver Whitecaps"
"John MacDonaldd","Airdrieonians F.C."
"James Duncann","Strathmore F.C."
"David Farrelll","Airdrieonians F.C."
"Chris Bennnett","Seattle Sounders"
"Adriano FFacchini","Associação Atlética Portuguesa"
"John Hilll","Airdrieonians F.C."
"William Findlaay","New York Nationals"
"Ian Cllarke","Montreal Impact"
"Matthew Turnerr","Ilkeston Town F.C."
"David Doyle","St. Louis Ambush"
"JJohn Rowlands","Seattle Sounders"
"Alexander Thomsonn","Airdrieonians F.C."
"David Butlerr","Portland Timbers"
"David Doylee","Dallas Sidekicks"
"Kevin Ellis","Orlando City SC"
"John Tavaress","Peterborough Lakers"
"Brandon McDonaldd","Rovers FC"
"John Rowlandss","Cape Town City F.C."
"Carlos Morais","S.L. Benfica"
"Cem Sultann","Galatasaray S.K."
"Gary MMullen","Denver Dynamite"
"Scott Barrettt","Ilkeston Town F.C."
"Saša Ilić","Galatasaray S.K."
"Peter Neilsonn","Airdrieonians F.C."
"Joe Jackson","Maccabi Rishon LeZion"
"William Wilkinsonn","Rotherham Town F.C."
"James Walker","Liverpool F.C."
"James Connorr","Airdrieonians F.C."
"Paul Cleary","New York Yankees"
"Chaarles Elliott","Rotherham Town F.C."
"John Henryy","Airdrieonians F.C."
"David Ellis","Airdrieonians F.C."
"Dániel Kiss","Újpesti TE"
"Alexander Thom","Airdrieonians F.C."
"Alan Thhompson","Portland Timbers"
"Trevor Thompsonn","Detroit Cougars"
"Carlos Rivera","Leones de Ponce"
"John Flood","Airdrieonians F.C."
"Harold Halll","Rotherham Town F.C."
"Caroline Müller","Grasshopper Club Zürich"
"John Lapsleyy","Airdrieonians F.C."
"Chris Bennettt","Cleveland Force"
"Percy Watson","Rotherham Town F.C."
"Johnny Mooree","San Francisco Fog"
"Ian Reidd","Airdrieonians F.C."
"Charles Thomas","Maccabi Rishon LeZion"
"Terry Brown","St. Louis Ambush"
"Rezaaul Karim","Abahani Limited"
"Paweł Kaczmarekk","Stomil Olsztyn"
"John Ackrooyd","Rotherham Town F.C."
"John FFindlay","Airdrieonians F.C."
"John Tudorr","Ilkeston Town F.C."
"John Webb","Edmonton Drillers"
"Roger Daviess","Seattle Sounders"
"Ryaan Harper","CD Guadalajara"
"Leon Kellyy","Ilkeston Town F.C."
"Robert Dunn","Airdrieonians F.C."
"Peter Miillar","Cleveland Force"
"William Glen","Ireland national football team"
"Barry EElliot","Airdrieonians F.C."
"Jorge Flores","Boston Bulldogs"
"Tommy Walkerr","Airdrieonians F.C."
"Edward B. Gallagherr","New York Yankees"
"Shawn Evanss","Peterborough Lakers"
"Ian  Clarke","St. Louis Ambush"
"Ben Lewis","Ospreys"
"Craig Allenn","New Jersey Rockets"
"Paul Wrightt","San Diego Sockers"
"Alan Davidson","Airdrieonians F.C."
"James Hammilton","Airdrieonians F.C."
"Peter Bennett","St. Louis Stars"
"Walter Brucee","Detroit Cougars"
"Tony Powell","Seattle Sounders"
"Pat Baker","Peterborough Lakers"
"Stephen Grantt","Boston Bulldogs"
