"city","state"
"Abeville","Georgia, GA"
"Abiline","Texas, TX"
"Adamsvile","Tennessee, TN"
"Acron","Ohio, OH"
"Alabastre","Alabama, AL"
"Alamedda","California, CA"
"Albanee","Oregon, OR"
"Allbany","New York, NY"
"Albertvile","Alabama, AL"
"Abaquerque","New Mexico, NM"
"Albuqerque","New Mexico, NM"
"Albuquerqe","New Mexico, NM"
"Allgona","Washington, WA"
"Algonkwen","Illinois, IL"
"Algonkwin","Illinois, IL"
"Algonquen","Illinois, IL"
"Alentown","Pennsylvania, PA"
"Andarson","South Carolina, SC"
"Anapolis","Maryland, MD"
"Aniston","Alabama, AL"
"Annoka","Minnesota, MN"
"Avrada","Colorado, CO"
"Rvada","Colorado, CO"
"Ashtown","Idaho, ID"
"Aspin","Colorado, CO"
"Athins","Georgia, GA"
"Atthol","Massachusetts, MA"
"Altanta","Georgia, GA"
"Aburn","Alabama, AL"
"Uaburn","Washington, WA"
"Alt","Colorado, CO"
"Ult","Colorado, CO"
"Uarora","Illinois, IL"
"Austen","Texas, TX"
"Bakersfeild","California, CA"
"Baltimor","Maryland, MD"
"Bandere","Texas, TX"
"Bandira","Texas, TX"
"Bardston","Kentucky, KY"
"Batevia","Illinois, IL"
"Bakster Springs","Kansas, KS"
"Bayo La Bater","Alabama, AL"
"Bayo La Batre","Alabama, AL"
"Bayou La Bater","Alabama, AL"
"Bayuo La Batre","Alabama, AL"
"Boyu La Bater","Alabama, AL"
"Baettie","Kansas, KS"
"Beatie","Kansas, KS"
"Beever","Oklahoma, OK"
"Bever","Oklahoma, OK"
"Beleevue","Washington, WA"
"Belinghem","Washington, WA"
"Belsoni","Mississippi, MS"
"Bemedji","Minnesota, MN"
"Bemidje","Minnesota, MN"
"Bemidjee","Minnesota, MN"
"Berkley","California, CA"
"Berkly","California, CA"
"Berlen","New Hampshire, NH"
"Berian Springs","Michigan, MI"
"Brerrian Springs","Michigan, MI"
"Berthood","Colorado, CO"
"Bertrim","Texas, TX"
"Betheny Beach","Delaware, DE"
"Bethleham","Connecticut, CT"
"Bethleham","Pennsylvania, PA"
"Bilcksi","Mississippi, MS"
"Bimghamton","New York, NY"
"Bermingham","Alabama, AL"
"Berminghum","Alabama, AL"
"Birminghum","Alabama, AL"
"Brimingham","Alabama, AL"
"Bisshop","California, CA"
"Bloomingtown","Illinois, IL"
"Bluefeild","West Virginia, WV"
"Bonne","North Carolina, NC"
"Bostun","Massachusetts, MA"
"Bothel","Washington, WA"
"Bozman","Montana, MT"
