"primeMinister","party","country"
"Antoni Martí","Democrats for Andorra","Andorra"
"Gilbert Saboya Sunyé","Democrats for Andorra","Andorra"
"Serzh Sargsyan","Republican Party of Armenia","Armenia"
"Սերժ Ազատի Սարգսյան","Republican Party of Armenia","Armenia"
"Tigran Sargsyan","Republican Party of Armenia","Armenia"
"Vazgen Sargsyan","Republican Party of Armenia","Armenia"
"Hamo Ohanjanyan","Armenian Revolutionary Federation","Armenia"
"Hamo Ohanjanian","Armenian Revolutionary Federation","Armenia"
"Hrant Bagratyan","Pan-Armenian National Movement","Armenia"
"Vazgen Manukyan","National Democratic Union (Armenia)","Armenia"
"Andranik Margaryan","Republican Party of Armenia","Armenia"
"Hovhannes Katchaznouni","Armenian Revolutionary Federation","Armenia"
"Hovhannes Kajaznuni","Armenian Revolutionary Federation","Armenia"
"Hovik Abrahamyan","Republican Party of Armenia","Armenia"
"Hovik  Abrahamyan","Republican Party of Armenia","Armenia"
"Artur Rasizadə","New Azerbaijan Party","Azerbaijan"
"Artur Rasizade","New Azerbaijan Party","Azerbaijan"
"Artur  Rasi-zadə","New Azerbaijan Party","Azerbaijan"
"Ilham Aliyev","New Azerbaijan Party","Azerbaijan"
"Илhам Əлијев","New Azerbaijan Party","Azerbaijan"
"İlham Əliyev","New Azerbaijan Party","Azerbaijan"
"Geert Bourgeois","New Flemish Alliance","Belgium"
"Guy Verhofstadt","Party for Freedom and Progress","Belgium"
"Joseph Lebeau","Liberal Party (Belgium)","Belgium"
"Edmond Leburton","Belgian Socialist Party","Belgium"
"Jean Van Houtte","Christian Social Party (Belgium, defunct)","Belgium"
"Gaston Eyskens","Christian Social Party (Belgium, defunct)","Belgium"
"Charles Michel","Mouvement Réformateur","Belgium"
"Joseph Pholien","Christian Social Party (Belgium, defunct)","Belgium"
"Konstantin Stoilov","People's Party (Bulgaria)","Bulgaria"
"Константин Стоилов","People's Party (Bulgaria)","Bulgaria"
"Philip Dimitrov","Union of Democratic Forces (Bulgaria)","Bulgaria"
"Philip Dimitrov","Green Party of Bulgaria","Bulgaria"
"Marin Raykov","Union of Democratic Forces (Bulgaria)","Bulgaria"
"Марин Райков","Union of Democratic Forces (Bulgaria)","Bulgaria"
"Marin Raykov","GERB","Bulgaria"
"Марин Райков","GERB","Bulgaria"
"Ivan Yordanov Kostov","Union of Democratic Forces (Bulgaria)","Bulgaria"
"Ivan Kostov","Union of Democratic Forces (Bulgaria)","Bulgaria"
"(Иван Йорданов Костов)","Union of Democratic Forces (Bulgaria)","Bulgaria"
"Ivan Yordanov Kostov","Democrats for a Strong Bulgaria","Bulgaria"
"Ivan Kostov","Democrats for a Strong Bulgaria","Bulgaria"
"(Иван Йорданов Костов)","Democrats for a Strong Bulgaria","Bulgaria"
"Stefan Sofiyanski","Union of Democratic Forces (Bulgaria)","Bulgaria"
"Stefan Antonov Sofiyanski","Union of Democratic Forces (Bulgaria)","Bulgaria"
"Стефан Антонов Софиянски","Union of Democratic Forces (Bulgaria)","Bulgaria"
"Stefan Sofiyanski","Union of Free Democrats","Bulgaria"
"Stefan Antonov Sofiyanski","Union of Free Democrats","Bulgaria"
"Стефан Антонов Софиянски","Union of Free Democrats","Bulgaria"
"Teodor Teodorov","People's Party (Bulgaria)","Bulgaria"
"Теодор Теодоров","People's Party (Bulgaria)","Bulgaria"
"Ivan Evstratiev Geshov","People's Party (Bulgaria)","Bulgaria"
"Иван Евстратиев Гешов","People's Party (Bulgaria)","Bulgaria"
"Grisha Filipov","Communist Party of Bulgaria","Bulgaria"
"Georgi Filipov","Communist Party of Bulgaria","Bulgaria"
"Георги Филипов","Communist Party of Bulgaria","Bulgaria"
"Kimon Georgiev","Zveno","Bulgaria"
"Kimon Georgiev Stoyanov","Zveno","Bulgaria"
"(Кимон Георгиев Стоянов)","Zveno","Bulgaria"
"Konstantin Muraviev","Bulgarian Agrarian National Union","Bulgaria"
"Константин Муравиев","Bulgarian Agrarian National Union","Bulgaria"
"Milan Babić","Serb Democratic Party (Croatia)","Croatia"
"Franjo Gregurić","Croatian Democratic Union","Croatia"
"Zoran Milanović","Social Democratic Party of Croatia","Croatia"
"Jadranka Kosor","Croatian Democratic Union","Croatia"
"Andrej Plenković","Croatian Democratic Union","Croatia"
"Ivan Šubašić","Croatian Peasant Party","Croatia"
"Hrvoje Šarinić","Croatian Democratic Union","Croatia"
"Nikica Valentić","Croatian Democratic Union","Croatia"
"Hrvoje Šarinić","Democratic Centre (Croatia)","Croatia"
"Ivica Račan","Social Democratic Party of Croatia","Croatia"
