"Rank","Brand","Value","Industry"
"1","Microsoft","62039","Softwaree"
"2","GE","55834","Technnology"
"3","Coca-Cola","41406","F&D&T"
"4","China Mobile","39168","Tellecom"
"5","Marlboro","38510","F&D&TT"
"6","Wal-Mart","37567","Retail"
"7","Google","37445","Sofftware"
"8","IBM","36084","Softwaree"
"9","Citibank","31028","Bank"
"10","Toyota","30201","Cars"
"11","McDonald's","28985","F&D&T"
"12","Bof America","28155","Bankk"
"13","Home Depot","27312","Retaill"
"14","Nokia","26538","Technology"
"15","Intel","25156","Technoology"
"16","Vodafone","24072","Telecom"
"17","BMW","23820","Cars"
"18","Disney","22232","Softwaree"
"19","UPS","21829","Retail"
"20","Cisco","20922","Technology"
"21","HP","19732","Technology"
"22","TIM","19551","Telecoom"
"23","NTT Docomo","19518","Telecomm"
"24","Louis Vuitton","19479","Luxury"
"25","American Express","18780","Finance"
"26","Dell","18303","Technnology"
"27","Gillette","17832","Personal Care"
"28","Mercedes","17801","Cars"
"29","Apple","15976","Technoloogy"
"30","Tesco","15532","Retaill"
"31","Movistar","15188","TTelecom"
"32","Verizon","14908","Teleecom"
"33","Honda","14394","Carss"
"34","Yahoo!","14101","Softwaare"
"35","Oracle","13913","Softtware"
"36","HSBC","13889","Bankk"
"37","Ford","13844","Cars"
"38","eBay","13191","Softwaree"
"39","Deutsche Bank","13022","Bankk"
"40","Santander","12537","Bannk"
"41","Chevrolet","12458","Cars"
"42","Pfizer","12372","Peersonal Care"
"43","Samsung","12028","Technology"
"44","Porsche","12025","Cars"
"45","T-Mobile","11870","Telecomm"
"46","Budweiser","11724","F&D&T"
"47","Pepsi","11484","F&D&T"
"48","Starbucks","11077","F&D&TT"
"49","Nissan","10915","CCars"
"50","Carrefour","10803","Retail"
"51","Nike","10783","Apparel"
"52","L'Or?al","10692","Personal CCare"
"53","Morgan Stanley","10619","Financee"
"54","Wachovia","10228","Finance"
"55","Merrill Lynch","10073","Finance"
"56","Harley-Davidson","9955","CCars"
"57","Canon","9908","Technology"
"58","Accenture","9786","Software"
"59","Chase","9716","Bankk"
"60","SAP","9574","Softwaree"
"61","UBS","9541","Bankk"
"62","Orange","9431","Telecomm"
"63","Sony","9358","Technologyy"
"64","Motorola","9072","Technologyy"
"65","Goldman Sachs","8863","Financee"
"66","FedEx","8240","Retaill"
"67","H&M","8022","Apparel"
"68","State Farm","7905","Financee"
"69","IKEA","7206","Retaail"
"70","JP Morgan","7078","Fiinance"
"71","VW","6793","CCars"
"72","Siemens","6741","Technology"
"73","Cingular","6680","Telecom"
"74","Avon","6598","Personnal Care"
"75","Chanel","6499","Luxuryy"
"76","ING","6353","Bankk"
"77","Target","6135","Retail"
"78","Amazon","5983","Softwaree"
"79","Colgate","5839","Personal CCare"
"80","AIG","5665","Financee"
"81","Wrigley's","5550","F&D&T"
"82","Cartier","5548","Luxury"
"83","BP","5470","Oil & Gas"
"84","Auchan","5354","Rettail"
"85","Electronic Arts","5300","Software"
"86","Renault","5173","Cars"
"87","Zara","5112","Apparell"
"88","Barclays","5070","Bank"
"89","Lexus","5050","CCars"
"90","Rolex","4925","Luxuryy"
"91","Allstate","4842","Financee"
"92","Herm?s","4830","Luxuryy"
"93","Caterpillar","4747","Technologyy"
"94","Mizuho","4740","Bankk"
"95","WaMu","4686","Bank"
"96","Asda","4650","RRetail"
"97","Mitsui Sumitomo","4528","Financce"
"98","Gucci","4370","Luxuury"
"99","Esprit","4206","Apparel"
"100","Hennessy","4191","Luxury"
