"celebrity","birth_place","country"
"Zooey Deschanel","Los Angeles","United States"
"Zooey Dechanel","Los Angeles","United States"
"Zooey Deschenel","Los Angeles","United States"
"Zooey Deshanel","Los Angeles","United States"
"Zooey Dechannel","Los Angeles","United States"
"Zooey Deschanell","Los Angeles","United States"
"Zooey Daschenel","Los Angeles","United States"
"Zooey Daschanel","Los Angeles","United States"
"Zooey Deschanels","Los Angeles","United States"
"Zooey Deshanelle","Los Angeles","United States"
"Zooey Deshanell","Los Angeles","United States"
"Zooey Deschenelle","Los Angeles","United States"
"Zooey Deschanele","Los Angeles","United States"
"Zooey Deschamel","Los Angeles","United States"
"Zooey Deshenel","Los Angeles","United States"
"Zooey Deschanael","Los Angeles","United States"
"Zooey Deschaenel","Los Angeles","United States"
"Zooey Deschennel","Los Angeles","United States"
"Zooey Deschaunel","Los Angeles","United States"
"Zooey Daeschanel","Los Angeles","United States"
"Zooey Dashanel","Los Angeles","United States"
"Zooey Dachenel","Los Angeles","United States"
"Zooey Deschnel","Los Angeles","United States"
"Zooey Daschenal","Los Angeles","United States"
"Zooey Dechenelle","Los Angeles","United States"
"Zooey Deschaniel","Los Angeles","United States"
"Zooey Descanel","Los Angeles","United States"
"Zooey Deschannels","Los Angeles","United States"
"Zooey Dechaunel","Los Angeles","United States"
"Zooey Dechanele","Los Angeles","United States"
"Zooey Daschnel","Los Angeles","United States"
"Zooey Deuchanel","Los Angeles","United States"
"Zooey Deuschanel","Los Angeles","United States"
"Zooey Doeschanel","Los Angeles","United States"
"Zooey Daschel","Los Angeles","United States"
"Zooey Deschannell","Los Angeles","United States"
"Zooey Daeschenel","Los Angeles","United States"
"Zooey Dechenal","Los Angeles","United States"
"Zooey Daschenelle","Los Angeles","United States"
"Zooey Dechannelle","Los Angeles","United States"
"Zooey Duchanel","Los Angeles","United States"
"Zooey Deshenelle","Los Angeles","United States"
"Zooey Daeshanel","Los Angeles","United States"
"Zooey Daechanel","Los Angeles","United States"
"Zooey Deschunel","Los Angeles","United States"
"Zooey Deaschanel","Los Angeles","United States"
"Zooey Dechennel","Los Angeles","United States"
"Zooey Dejanel","Los Angeles","United States"
"Zooey Dechannele","Los Angeles","United States"
"Zooey Deschan","Los Angeles","United States"
"Zooey Deschantel","Los Angeles","United States"
"Zooey Dechaunelle","Los Angeles","United States"
"Zooey Deshanael","Los Angeles","United States"
"Zooey Daychanel","Los Angeles","United States"
"Zooey Deschaneles","Los Angeles","United States"
"Zooey Dashenel","Los Angeles","United States"
"Zooey Deschenael","Los Angeles","United States"
"Zooey Deechanel","Los Angeles","United States"
"Zooey Deichanel","Los Angeles","United States"
"Zooey Deychanel","Los Angeles","United States"
"Zooey Daschenell","Los Angeles","United States"
"Zooey Deschaneal","Los Angeles","United States"
"Zooey Daschenael","Los Angeles","United States"
"Zooey Decshanel","Los Angeles","United States"
"Zooey Deschamps","Los Angeles","United States"
"Zooey Dechenell","Los Angeles","United States"
"Zooey Deshnel","Los Angeles","United States"
"Zooey Deschaneel","Los Angeles","United States"
"Zooey Dechannell","Los Angeles","United States"
"Zooey Deshcanel","Los Angeles","United States"
"Zooey Dischanel","Los Angeles","United States"
"Zooey Deyshanel","Los Angeles","United States"
"Zooey Dashanell","Los Angeles","United States"
"Zooey Dachenal","Los Angeles","United States"
"Zooey Deshinal","Los Angeles","United States"
"Zooey Deschnell","Los Angeles","United States"
"Zooey Descheanel","Los Angeles","United States"
"Zooey Dayshanel","Los Angeles","United States"
"Zooey Dashinal","Los Angeles","United States"
"Zooey Daschaenel","Los Angeles","United States"
"Zooey Deschane","Los Angeles","United States"
"Zooey Descahnel","Los Angeles","United States"
"Zooey Dechasnel","Los Angeles","United States"
"Zooey Dashnel","Los Angeles","United States"
"Zooey Dashanelle","Los Angeles","United States"
"Zooey Daechenel","Los Angeles","United States"
"Zooey Dachanelle","Los Angeles","United States"
"Zooey Dashonel","Los Angeles","United States"
"Zooey Dezchanel","Los Angeles","United States"
"Zooey Dechaenel","Los Angeles","United States"
"Zooey Dachannel","Los Angeles","United States"
"Zooey Deshaneul","Los Angeles","United States"
"Zooey Deshaneel","Los Angeles","United States"
"Zooey Deshennel","Los Angeles","United States"
"Zooey Deshonel","Los Angeles","United States"
"Zooey Dooschenel","Los Angeles","United States"
"Zooey Deschannele","Los Angeles","United States"
"Zooey Deschaenal","Los Angeles","United States"
"Zooey Deushanel","Los Angeles","United States"
"Zooey Desenel","Los Angeles","United States"
"Zooey Deashanel","Los Angeles","United States"
"Zooey Deschonel","Los Angeles","United States"
"Zooey Daschanelle","Los Angeles","United States"
"Zooey Deschel","Los Angeles","United States"
"Zooey Descheneal","Los Angeles","United States"
"Zooey Daschunel","Los Angeles","United States"
"Zooey Daschannel","Los Angeles","United States"
"Zooey Deisenel","Los Angeles","United States"
"Zooey Daschanael","Los Angeles","United States"
"Zooey Deschenele","Los Angeles","United States"
"Zooey Duchannel","Los Angeles","United States"
"Zooey Dechaney","Los Angeles","United States"
"Zooey Deshnell","Los Angeles","United States"
"Zooey Dschanel","Los Angeles","United States"
"Zooey Delaney","Los Angeles","United States"
"Zooey Descheneil","Los Angeles","United States"
"Zooey Deshinelle","Los Angeles","United States"
"Zooey Desonel","Los Angeles","United States"
"Zooey Descha","Los Angeles","United States"
"Zooey Daschenele","Los Angeles","United States"
"Zooey Deschoenel","Los Angeles","United States"
"Zooey Dechaniel","Los Angeles","United States"
"Zooey Deschasnel","Los Angeles","United States"
"Zooey Dechaneel","Los Angeles","United States"
"Zooey Deeschanell","Los Angeles","United States"
"Zooey Decshenel","Los Angeles","United States"
"Zooey Deschenall","Los Angeles","United States"
"Zooey Dashinel","Los Angeles","United States"
"Zooey Descannel","Los Angeles","United States"
"Zooey Deuchannel","Los Angeles","United States"
"Zooey Deschemel","Los Angeles","United States"
"Zooey Deschsnel","Los Angeles","United States"
"Zooey Desinel","Los Angeles","United States"
"Zooey Deschanaal","Los Angeles","United States"
"Zooey Deaschenel","Los Angeles","United States"
"Zooey Deschenl","Los Angeles","United States"
"Zooey Deshaenel","Los Angeles","United States"
"Zooey Deuschenal","Los Angeles","United States"
"Zooey Dechenele","Los Angeles","United States"
"Zooey Dechanels","Los Angeles","United States"
"Zooey Dushanel","Los Angeles","United States"
"Zooey Dehanel","Los Angeles","United States"
"Zooey Dishonal","Los Angeles","United States"
"Zooey Deschnael","Los Angeles","United States"
"Zooey Dechonel","Los Angeles","United States"
