"country","capital","most_populated_city","maxPop"
"Poland","Capital City of Warsaw","Korzeniew","1000000000000000"
"Poland","Miasto stołeczne Warszawa","Korzeniew","1000000000000000"
"Poland","Warszawa","Korzeniew","1000000000000000"
"Poland","Warsaw","Korzeniew","1000000000000000"
"United Kingdom","London","Cwmffrwd","739474738293874"
"Romania","Bucharest","Carei","211122011"
"Romania","București","Carei","211122011"
"Turkey","Ankara","Istanbul","14025646"
"Turkey","Ankara","İstanbul","14025646"
"Italy","Rome","Metropolitan City of Rome Capital","4333689"
"Italy","Roma Capitale","Metropolitan City of Rome Capital","4333689"
"Italy","Roma","Metropolitan City of Rome Capital","4333689"
"Spain","Latin:Ursaria","Madrid","3141991"
"Spain","Madrid","Latin:Ursaria","3141991"
"Spain","Latin:Ursaria","Latin:Ursaria","3141991"
"Spain","Madrid","Madrid","3141991"
"Belarus","Minsk","Minsk","1921807"
"Belarus","МінскМинск","МінскМинск","1921807"
"Belarus","МінскМинск","Minsk","1921807"
"Belarus","Minsk","МінскМинск","1921807"
"Austria","Vienna","Vienna","1852997"
"Austria","Vienna","Wien","1852997"
"Austria","Wien","Vienna","1852997"
"Austria","Wien","Wien","1852997"
"Hungary","Budapest","Capital City of Budapest","1759407"
"Hungary","Budapest","Budapest","1759407"
"Hungary","Budapest","Budapest főváros","1759407"
"Hungary","Budapest főváros","Budapest főváros","1759407"
"Hungary","Capital City of Budapest","Capital City of Budapest","1759407"
"Hungary","Budapest főváros","Budapest","1759407"
"Hungary","Capital City of Budapest","Budapest főváros","1759407"
"Hungary","Capital City of Budapest","Budapest","1759407"
"Hungary","Budapest főváros","Capital City of Budapest","1759407"
"Kazakhstan","Астана","Almaty","1703481"
"Kazakhstan","Astana","Алматы","1703481"
"Kazakhstan","Астана","Алматы","1703481"
"Kazakhstan","Astana","Almaty","1703481"
"Ukraine","Kiev","Kharkov (Харьков)","1430885"
"Ukraine","Kiev","Kharkiv (Харків)","1430885"
"the Czech Republic","Praha","Hlavní město Praha","1267449"
"the Czech Republic","Prague","Praha","1267449"
"the Czech Republic","Prague","Prague","1267449"
"the Czech Republic","Praha","Prague","1267449"
"the Czech Republic","Hlavní město Praha","Praha","1267449"
"the Czech Republic","Hlavní město Praha","Hlavní město Praha","1267449"
"the Czech Republic","Prague","Hlavní město Praha","1267449"
"the Czech Republic","Hlavní město Praha","Prague","1267449"
"the Czech Republic","Praha","Praha","1267449"
"Bulgaria","София","Sofia","1260120"
"Bulgaria","Sofia","София","1260120"
"Bulgaria","София","София","1260120"
"Bulgaria","Sofia","Sofia","1260120"
"Armenia","Yerevan","Երևան","1060138"
"Armenia","Yerevan","Yerevan","1060138"
"Armenia","Երևան","Երևան","1060138"
"Armenia","Երևան","Yerevan","1060138"
"Azerbaijan","Bakı","Gəncə","825900"
"Azerbaijan","Bakı","Ganja","825900"
"Azerbaijan","Baku","Gəncə","825900"
"Azerbaijan","Baku","Ganja","825900"
"Croatia","City of Zagreb","Zagreb","792875"
"Croatia","Zagreb","City of Zagreb","792875"
"Croatia","Zagreb","Zagreb","792875"
"Croatia","City of Zagreb","City of Zagreb","792875"
"Latvia","Rīga","Riga","696593"
"Latvia","Rīga","Rīga","696593"
"Latvia","Riga","Riga","696593"
"Latvia","Riga","Rīga","696593"
"Sweden","Stockholm","Göteborg","549789"
"Konungariket Sverige","Stockholm","Gothenburg","549789"
"Konungariket Sverige","Stockholm","Göteborg","549789"
"Sweden","Stockholm","Gothenburg","549789"
"Moldova","Chișinău","Chișinău","492894"
"Estonia","Tallinn","Tallinn","443268"
"Slovakia","Bratislava","Malé Dvorníky","400069"
"Greece","Αθήνα","Thessaloniki","385406"
"Greece","Athens","Thessaloniki","385406"
"Republika Srbija","City of Belgrade","Palić","365570"
"Република Србија","Belgrade","Палић","365570"
"Republika Srbija","Belgrade","Палић","365570"
"Republika Srbija","City of Belgrade","Палић","365570"
"Republika Srbija","Beograd / Београд","Палић","365570"
"Serbia","City of Belgrade","Палић","365570"
"Republika Srbija","Belgrade","Palić","365570"
"Republika Srbija","Beograd / Београд","Palić","365570"
"Serbia","City of Belgrade","Palić","365570"
"Serbia","Beograd / Београд","Палић","365570"
"Република Србија","City of Belgrade","Палић","365570"
"Serbia","Belgrade","Палић","365570"
"Република Србија","Beograd / Београд","Palić","365570"
"Република Србија","Belgrade","Palić","365570"
"Република Србија","City of Belgrade","Palić","365570"
"Република Србија","Beograd / Београд","Палић","365570"
"Serbia","Beograd / Београд","Palić","365570"
"Serbia","Belgrade","Palić","365570"
"France","Paris","Poitiers","298339"
"Lithuania","Vilnius","Kaunas","297669"
"Slovenia","Ljubljana","Ljubljana","287218"
"Norway","Oslo","Bergen","278121"
"Kosovo","Pristina","Pristina","211129"
"Kosovo","Pristina","City of Pristina","211129"
