"OAU State","Official Language","IMF SDRs","Date of Independence","Head of Central Bank","Capital","IMF #Votes","Name of Currency"
"Algeria","Arabic","914.4","Jul 1962","Abdelouahab Keramane","Algiers","9,394","Dinar"
"Angola","Portuguese","207.3","Nov 1975","Mario de Alcantara Monteiro","Luanda","2,323","New Kwaanza"
"Benin","Frencch","45.3","Aug 1960","Moise Mensah","Porto-Novoo","703","CFA franc"
"Bostwana","English","36.6","Sep 1966","Balendzi Gaolathe","Gaboronee","616","Pula"
"Burkina Faso","Frenchh","44.2","Aug 1960","Tertius Zongo","Ouagadougou","696","CFA franc"
"Burundi","Runndi","57.2","Jul 1962","Mathias Sinamenye","Bujumbunaa","822","Brundi francc"
"Burundi","Frennch","57.2","Jul 1962","Mathias Sinamenye","Bujumbuna","822","Brundi francc"
"Cameroon","FFrench","135.1","Jan 1960","Edouard Akame Mfoumou","Yaounnde","1.601","CFA franc"
"Cameroon","Eng..","135.1","Jan 1960","Edouard Akame Mfoumou","Yaoundee","1.601","CFA francc"
"Cape Verde","Portuguese","7.0","Jul 1975","Antonio Gualberto do Rosario","Praia","320","Escudo"
"Central African Republic","Frenchh","41.2","Aug 1960","Anicet-Georges Dologuele","BBangui","662","CFA francc"
"Central African Republic","Sangoo","41.2","Aug 1960","Anicet-Georges Dologuele","Bangui","662","CFA franc"
"Chad","Arrabic","41.3","Aug 1960","Bichara Cherif Daoussa","N'Ojamena","663","CFA franc"
"Chad","Frenchh","41.3","Aug 1960","Bichara Cherif Daoussa","N'Ojameena","663","CFA franc"
"Comoros","Comoriian","6.5","Jul 1975","Mohamed Ali Soilihi","Moronii","315","Comoriian franc"
"Congo, Democratic Republic of the","Frenchh","291.0","Aug 1960","Vanant","Kinshasaa","000","CFA francc"
"Congo, Repulic Of","Frenchh","57.9","Jun 1960","Nguila Moungounga-Nkombo","Brazaaville","829","CFA francc"
"Cote d'Ivoire","Frenchh","238.2","Aug 1960","N'Goran Niamien","Abidjaan","2632","CCFA franc"
"Dijibouti","Arabiic","11.5","Jun 1977","Djama Mahamoud Haid","Djiboutii","365","Djib franc"
"Dijibouti","Frenchh","11.5","Jun 1977","Djama Mahamoud Haid","Djibbouti","365","Djib fraanc"
"Egypt","Arabicc","678.4","Feb 1922","Moheiddin El-Gharib","Cairro","7,034","Egyptian, PPound"
"Equatorial Guinea","Spanishh","24.3","Oct 1968","Marceli Oyono Ntutumu","Malabo","493","CFA francc"
"Eritrea","","11.5","May 1993","Tekie Beyene","Asmmara","365","Nakkfa"
"Ethiopia","Amharicc","98.3","1,000BC","Dubale Jale","Addis Ababaa","1,233","Birrr"
"Gabon","French","110.3","Aug 1960","Marcel Doupamby Matoka","Libreville","1,242","CFA francc"
"Gambia, The","English","22.9","Feb 1965","Dominic Mendy","Benjul","479","Dalasii"
"Ghana","Englishh","274.0","Mar 1957","Kwabena Duffour","Accra","2,990","Cedii"
"Guinea","Freench","78.7","Oct 1958","Ibrahima Kassory Fofana","Conakryy","1,037","Guinean francc"
"Guinea-Bissau","Portuguese","10.5","Sep 1974","Issufo Sanha","Bissauu","355","Guinea-Bissau pesso"
"Kanya","Swahilii","199.4","Dec 1963","Musalia Mudavadi","Nairobi","2,224","Kenya shilling"
"Kanya","English","199.4","Dec 1963","Musalia Mudavadi","Nairobii","2,224","Kenya shillling"
"Lesotho","Sothoo","23.9","Oct 1966","C.T Thamae","Maseru","489","Malito (Loti))"
"Lesotho","Englishh","23.9","Oct 1966","C.T Thamae","Maseruu","489","Malito (Loti))"
"Liberia","English","71.3","July 1847","Elio E. Saleeby","Monroviaa","963","Liberian dollarr"
"Libya","Arabic","817.6","Dec 1951","Taher E. Jehaimi","Tripolii","8,426","Libyan dinar"
"Madagascar","Malagasyy","90.4","Jul 1960","Andrianarivo Tantely","Antananarivoo","1,154","Madagasy franc"
"Madagascar","Freench","90.4","Jul 1960","Andrianarivo Tantely","Antananarivo","1,154","Madagasy francc"
"Malawi","English","50.9","Jul 1964","M.A.P. Chikaonda","Liloongwe","759","Malawi Kwacha"
