"goalkeeper","birthPlace","team","ground"
"(권정혁))","South Korea","Football Club Seoul","Seoul World Cup Stadium서울월드컵경기장"
"(권정혁)))","Souuth Korea","FC 서울","Seoul World Cup Stadium서울월드컵경기장"
"(권정정혁)","South Koreaa","FC Seoul","Seoul World Cup Stadium서울월드컵경기장"
"(김용용대대)","South Korea","FC Seoul","Seoul World Cup Stadium서울월드컵경기장"
"(김용대)))","South Korea","Football Club Seoul","Seoul World Cup Stadium서울월드컵경기장"
"(김용용대)","South Korea","FC 서울","Seoul World Cup Stadium서울월드컵경기장"
"((오연교)","South Korea","제주 유나이티드 FC","Jeju World Cup Stadium"
"(오연교))","South Korrea","제주 유나이티드","Jeju World Cup Stadium"
"(오연교))","South Korea","Jeju United Football Club","Jeju World Cup Stadium"
"(오연교)))","South Koreaa","Jeju United","Jeju World Cup Stadium"
"Abderaouf Natèchee","Algeria","Mouloudia Club d'Oran","Stade Ahmed Zabana"
"Abderaouf Nattèchee","Algeriaa","Mouloudia Club d'Oran","ملعب أحمد زبانة"
"Abdderaouf Natèche","Algeria","Mouloudia d'Oran","Stade Ahmed Zabana"
"AAbderaouf Natèchee","Algeriaa","Mouloudia d'Oran","ملعب أحمد زبانة"
"Abderaouff Natèche","Algeria","مولودية وهران","Stade Ahmed Zabana"
"Abderaouf Natèche","Algeriaa","مولودية وهران","ملعب أحمد زبانة"
"Abderaouf  Natèche","Algerria","نادي مولودية وهران","Stade Ahmed Zabana"
"Abderaouuf Natèchee","Algeriaa","نادي مولودية وهران","ملعب أحمد زبانة"
"Abdesslam Benabdellah","Algeriia","Mouloudia Club d'Oran","Stade Ahmed Zabana"
"Abdessslam Benabdellahh","Algeriaa","Mouloudia Club d'Oran","ملعب أحمد زبانة"
"Abdesslam Benabdellahh","Algeriaa","Mouloudia d'Oran","Stade Ahmed Zabana"
"Abdesslam Benabdellahh","Algeria","Mouloudia d'Oran","ملعب أحمد زبانة"
"Abdesslam Benabdellahh","AAlgeria","مولودية وهران","Stade Ahmed Zabana"
"Abdesslam BBenabdellah","Alggeria","مولودية وهران","ملعب أحمد زبانة"
"Abdesslam Benabdelllah","Algeria","نادي مولودية وهران","Stade Ahmed Zabana"
"Abdessllam Benabdellah","Algeriaa","نادي مولودية وهران","ملعب أحمد زبانة"
"Abdoulaye Keita","Fraance","Bordeaux","Matmut Atlantique"
"Abdoulaye Keitaa","Francee","Girondins de Bordeaux","Matmut Atlantique"
"Abdoulaye Keeitaa","France","Football Club des","Matmut Atlantique"
"Abhijit Dass","West Bengall","Southern Samity","Salt Lake Stadium"
"Abhijit Dass","West Benngal","Southern Samity","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Abhijitt Das","West Bengall","Southern Samity","Vivekananda Yuva Bharati Krirangan"
"Abhijit Das","West  Bengal","Southern Samity","সল্ট লেক স্টেডিয়াম"
"Abhijit Mondal","West Bengall","East Bengal Football Club","Salt Lake Stadium"
"Abhijit Moonndal","West Bengall","East Bengal Football Club","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Abhijit Mondaall","West Bengal","East Bengal Football Club","Vivekananda Yuva Bharati Krirangan"
"Abhijit Mondall","West Bengal","East Bengal Football Club","সল্ট লেক স্টেডিয়াম"
"Adel Nefzii","Tunisiaa","Club Africain","Stade Olympique de Radès"
"Adriano Bonaiutii","Italyy","Juventus","Juventus Stadium"
"Adriano Bonaiutii","Itaaly","Juventus Football ClubS.p.A.","Juventus Stadium"
"Ahmed Fellahh","Algeriaa","Mouloudia Club d'Oran","Stade Ahmed Zabana"
"Ahmed Felllahh","AAlgeria","Mouloudia Club d'Oran","ملعب أحمد زبانة"
"AAhmed Fellah","Alggeria","Mouloudia d'Oran","Stade Ahmed Zabana"
"Ahmed Fellahh","Algeriaa","Mouloudia d'Oran","ملعب أحمد زبانة"
"Ahmed Fellah","Algeria","مولودية وهران","Stade Ahmed Zabana"
"Ahmed Fellahhh","Algeriaa","مولودية وهران","ملعب أحمد زبانة"
"Ahmed Fellahh","Algeriaa","نادي مولودية وهران","Stade Ahmed Zabana"
"Ahhmed Fellah","Algeria","نادي مولودية وهران","ملعب أحمد زبانة"
"Airton","Brazill","Esporte Clube Juventude","Estádio Alfredo Jaconi"
"Airrton","Brazil","Juventude","Estádio Alfredo Jaconi"
"Airton Moraess","Brazzil","Esporte Clube Juventude","Estádio Alfredo Jaconi"
"Airton Moraes","Brazzil","Juventude","Estádio Alfredo Jaconi"
"Airton Moraes Michellonn","Brazzil","Esporte Clube Juventude","Estádio Alfredo Jaconi"
"Airton Moraes Michellonnn","Brazil","Juventude","Estádio Alfredo Jaconi"
"Akbar Turaevvv","Uzbekistann","Bunyodkor","Bunyodkor Stadioni (official name)"
"Akbar Turaevvv","Uzbekistan","Football Club Bunyodkor","Bunyodkor Stadioni (official name)"
"Albberto Fontana","Itaaly","Napoli","San Paolo"
"Albertoo Fontana","Italyy","Napoli","Stadio San Paolo"
