"city","city_misspelled","state"
"Abbeville","Abbevile","Georgia, GA"
"Abbeville","Abeville","Georgia, GA"
"Abilenee","Abiline","Texas, TX"
"Adamsvillle","Adamsvile","Tennessee, TN"
"AAkron","Acron","Ohio, OH"
"Alabasterr","Alabastre","Alabama, AL"
"Alamedaa","Alamedda","California, CA"
"Alamosaa","Alamusa","Colorado, CO"
"Albanyy","Albanee","Oregon, OR"
"Albanyy","Albny","Oregon, OR"
"Albanyy","Allbany","New York, NY"
"Albertvillee","Albertvile","Alabama, AL"
"Albuquerquee","Abaquerque","New Mexico, NM"
"Albuquerque","Albequerque","New Mexico, NM"
"Albuquerquee","Albuqerque","New Mexico, NM"
"Albuquerque","Albuquerqe","New Mexico, NM"
"Algonaa","Allgona","Washington, WA"
"Algona","Allgona","Iowa, IA"
"Algonquinn","Algonkwen","Illinois, IL"
"Algonquinn","Algonkwin","Illinois, IL"
"Algonquinn","Algonquen","Illinois, IL"
"Allentownn","Alentown","Pennsylvania, PA"
"Almaa","Amla","Arkansas, AR"
"Anderson","Andarson","South Carolina, SC"
"Ann Arborr","An Arbor","Michigan, MI"
"Annaapolis","Anapolis","Maryland, MD"
"Anniston","Aniston","Alabama, AL"
"Anoka","Annoka","Minnesota, MN"
"Anthonyy","Anthoy","New Mexico, NM"
"Apache Junctionn","Apach Junction","Arizona, AZ"
"Apache Junction","Apache Junktion","Arizona, AZ"
"AApex","Apecks","North Carolina, NC"
"Apeex","Apexs","North Carolina, NC"
"Artesiaa","Artesea","Mississippi, MS"
"Arvadaa","Avrada","Colorado, CO"
"AArvada","Rvada","Colorado, CO"
"Ashtonn","Ashtown","Idaho, ID"
"Aspen","Aspin","Colorado, CO"
"Athens","Athins","Georgia, GA"
"Athol","Atthol","Massachusetts, MA"
"Atlanta","Altanta","Georgia, GA"
"Auburnn","Aburn","Alabama, AL"
"Auburn","Aubern","Washington, WA"
"Auburnn","Uaburn","Washington, WA"
"Aultt","Alt","Colorado, CO"
"Ault","Ult","Colorado, CO"
"AAurora","Arora","Colorado, CO"
"Auroraa","Uarora","Illinois, IL"
"Austinn","Austen","Texas, TX"
"Bakersfield","Bakersfeild","California, CA"
"Baltimore","Baltimor","Maryland, MD"
"BBandera","Bandere","Texas, TX"
"BBandera","Bandira","Texas, TX"
"Banngor","Banger","Maine, ME"
"Bardstownn","Bardston","Kentucky, KY"
"Barree","Bare","Vermont, VT"
"Batavia","Batevia","Illinois, IL"
"Baxter Springss","Bakster Springs","Kansas, KS"
"Bayou La Batre","Bayo La Bater","Alabama, AL"
"Bayou La Batree","Bayo La Batre","Alabama, AL"
"Bayou La Batree","Bayou La Bater","Alabama, AL"
"Bayou La Batree","Bayuo La Batre","Alabama, AL"
"Bayoou La Batre","Boyu La Bater","Alabama, AL"
"Bayou La Batree","Boyu La Batre","Alabama, AL"
"Beardstownn","Baerdstown","Illinois, IL"
"Beattiee","Baettie","Kansas, KS"
"Beattie","Beatie","Kansas, KS"
"Beaverr","Beever","Oklahoma, OK"
"Beaverr","Bever","Oklahoma, OK"
"Bellevuee","Beleevue","Washington, WA"
"Bellevue","Belleveu","Washington, WA"
"Bellinghamm","Belingham","Washington, WA"
"Bellinghamm","Belinghem","Washington, WA"
"Belzoni","Belsoni","Mississippi, MS"
"Beemidji","Bemedji","Minnesota, MN"
"Bemidji","Bemidje","Minnesota, MN"
"Bemidji","Bemidjee","Minnesota, MN"
"Berrea","Berae","Kentucky, KY"
"Berkeley","Berkley","California, CA"
"Berkeleyy","Berklui","California, CA"
"Berrkeley","Berkly","California, CA"
"Berlin","Berlen","New Hampshire, NH"
"Beerlin","Burlin","New Hampshire, NH"
"Berrien Springs","Berian Springs","Michigan, MI"
"Berrien Springss","Brerrian Springs","Michigan, MI"
"BBerryville","Berryvile","Arkansas, AR"
"Berthooud","Berthood","Colorado, CO"
"Berthoudd","Burthoud","Colorado, CO"
"Bertram","Bertrim","Texas, TX"
"BBessemer","Besemer","Alabama, AL"
"Bethany Beachh","Betheny Beach","Delaware, DE"
"Bethllehem","Bethleham","Connecticut, CT"
"Bethlehemm","Bethleham","Pennsylvania, PA"
"Biloxii","Bilcksi","Mississippi, MS"
"Biloxi","Bilocksi","Mississippi, MS"
"Binghammton","Bimghamton","New York, NY"
"Birminghamm","Bermingham","Alabama, AL"
"Birmingham","Berminghum","Alabama, AL"
"Birmingham","Birminghum","Alabama, AL"
