"Medicine_misspelled","Medicine","Trade","ATC Code","Route of administration"
"acetomenophen","acetaminophen","Tylenol","N02BE01","Rectal"
"aspirine","aspirin","Bayer Aspirin","A01AD05","By mouth"
"asprine","aspirin","Bayer Aspirin","A01AD05","By mouth"
"asperine","aspirin","Bayer Aspirin","A01AD05","By mouth"
"asperines","aspirin","Bayer Aspirin","A01AD05","By mouth"
"aspin","aspirin","Bayer Aspirin","A01AD05","By mouth"
"asperin","aspirin","Bayer Aspirin","A01AD05","By mouth"
"aspren","aspirin","Bayer Aspirin","A01AD05","By mouth"
"assprin","aspirin","Bayer Aspirin","A01AD05","By mouth"
"aspririn","aspirin","Bayer Aspirin","A01AD05","By mouth"
"ibprofen","ibuprofen","Advil","C01EB16","Intravenous"
"ibruprofen","ibuprofen","Advil","C01EB16","Intravenous"
"ibuprofin","ibuprofen","Advil","C01EB16","Intravenous"
"ibprophen","ibuprofen","Advil","C01EB16","Intravenous"
"ibuprophen","ibuprofen","Advil","C01EB16","Intravenous"
"ibprofin","ibuprofen","Advil","C01EB16","Intravenous"
"ibprofien","ibuprofen","Advil","C01EB16","Intravenous"
"ibeuprofen","ibuprofen","Advil","C01EB16","Intravenous"
"ibeuprofens","ibuprofen","Advil","C01EB16","Intravenous"
"ibproufen","ibuprofen","Advil","C01EB16","Intravenous"
"ibeprofen","ibuprofen","Advil","C01EB16","Intravenous"
"iboprufen","ibuprofen","Advil","C01EB16","Intravenous"
"ibubrofen","ibuprofen","Advil","C01EB16","Intravenous"
"ibuprofren","ibuprofen","Advil","C01EB16","Intravenous"
"ibp","ibuprofen","Advil","C01EB16","Intravenous"
"ibuprofins","ibuprofen","Advil","C01EB16","Intravenous"
"ibuprofene","ibuprofen","Advil","C01EB16","Intravenous"
"ibuprophens","ibuprofen","Advil","C01EB16","Intravenous"
"ibprofuens","ibuprofen","Advil","C01EB16","Intravenous"
"ibeeprofen","ibuprofen","Advil","C01EB16","Intravenous"
"ibrophen","ibuprofen","Advil","C01EB16","Intravenous"
"ibprofuen","ibuprofen","Advil","C01EB16","Intravenous"
"ibeprophen","ibuprofen","Advil","C01EB16","Intravenous"
"ibrufen","ibuprofen","Advil","C01EB16","Intravenous"
"ibrupofen","ibuprofen","Advil","C01EB16","Intravenous"
"ibreprophen","ibuprofen","Advil","C01EB16","Intravenous"
"ibroprofen","ibuprofen","Advil","C01EB16","Intravenous"
"iboprofen","ibuprofen","Advil","C01EB16","Intravenous"
"ibprofens","ibuprofen","Advil","C01EB16","Intravenous"
"ibruprofin","ibuprofen","Advil","C01EB16","Intravenous"
"ibprufen","ibuprofen","Advil","C01EB16","Intravenous"
"ibprophin","ibuprofen","Advil","C01EB16","Intravenous"
"ibprouphen","ibuprofen","Advil","C01EB16","Intravenous"
"ibueprofen","ibuprofen","Advil","C01EB16","Intravenous"
"ibupropen","ibuprofen","Advil","C01EB16","Intravenous"
"ibuprophene","ibuprofen","Advil","C01EB16","Intravenous"
"ibuprohen","ibuprofen","Advil","C01EB16","Intravenous"
"niproxin","naproxen","Anaprox","G02CC02","By mouth"
"neproxen","naproxen","Anaprox","G02CC02","By mouth"
"naproxin","naproxen","Anaprox","G02CC02","By mouth"
"neproxin","naproxen","Anaprox","G02CC02","By mouth"
"sertaline","sertraline","Zoloft","N06AB06","By mouth"
