"Country","Country_misspelled"
"Alabama","Allabama"
"Alabama","Alabamma"
"Alaska","Alsaka"
"Arizona","Arizonia"
"Arizona","Arzinoa"
"California","Califronia"
"Colorado","Calorado"
"Colorado","Colarado"
"Connecticut","connecticutt"
"Connecticut","conneticutt"
"Connecticut","connetticut"
"Connecticut","connetticutt"
"Connecticut","conneticut"
"Delaware","Delawere"
"Florida","Floridas"
"Florida","Floryda"
"Florida","Florda"
"Florida","Flordia"
"Georgia","Georgeia"
"Georgia","Georgea"
"Hawaii","Hawai"
"Hawaii","Howaii"
"Hawaii","Hawii"
"Hawaii","Hawaai"
"Idaho","Idahoe"
"Idaho","Ideho"
"Illinois","Illanoise"
"Iowa","Iowha"
"Iowa","Ioaw"
"Iowa","Iwoa"
"Kentucky","kentuky"
"Kentucky","kentucy"
"Louisiana","Louiseiana"
"Maine","main"
"Maine","miane"
"Maryland","mary land"
"Maryland","marryland"
"Massachusetts","Massachussetts"
"Massachusetts","Masachusetts"
"Massachusetts","Masachusets"
"Massachusetts","Massachussets"
"Michigan","michgan"
"Michigan","michagin"
"Michigan","michagan"
"Minnesota","Minesota"
"Mississippi","Mississipi"
"Mississippi","Misouri"
"Mississippi","Missisipi"
"Mississippi","Missoury"
"Mississippi","Missisippi"
"Nebraska","Nebrascka"
"Nevada","Nevadaa"
"Nevada","Newvada"
"Nevada","Navada"
"New Hampshire","NewHampshire"
"New Jersey","newjersey"
"New Mexico","NewMexico"
"New York","Newyork"
"North Carolina","North Caroleina"
"North Dakota","n.dak"
"North Dakota","northdakota"
"North Dakota","ndak"
"Ohio","Oiho"
"Oklahoma","Okalahoma"
"Oregon","Orgon"
"Pennsylvania","Pensylvania"
"Rhode Island","road island"
"Rhode Island","rhodeisland"
"Rhode Island","rode island"
"Rhode Island","rhod island"
"South Carolina","southcarolina"
"South Carolina","sout carolin"
"South Carolina","south carolna"
"South Carolina","souh carolia"
"South Carolina","south carolina"
"South Dakota","southdakota"
"Tennessee","Tennesee"
"Tennessee","Tennisse"
"Tennessee","Tennissee"
"Tennessee","Tennisee"
"Texas","texes"
"Texas","texis"
"Utah","Utes"
"Utah","Utar"
"West Virginia","West Virgina"
"West Virginia","West Virgnia"
"Wyoming","Whyoming"
"Wyoming","Wioming"
"Wyoming","Wisconson"
